scientific_slot_id,execution_complete,n,agent_ids,metrics,logical_additive_cost
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 1]","{""EA_MI"": 0.7941176470588235, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8529411764705882, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 254017.0, ""output_tokens"": 136151.0, ""reasoning_tokens"": 134276.0, ""total_tokens"": 390168.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 2]","{""EA_MI"": 0.7352941176470589, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8529411764705882, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 364684.0, ""output_tokens"": 132419.0, ""reasoning_tokens"": 130817.0, ""total_tokens"": 497103.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 3]","{""EA_MI"": 0.6764705882352942, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 337341.0, ""output_tokens"": 121047.0, ""reasoning_tokens"": 119568.0, ""total_tokens"": 458388.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 4]","{""EA_MI"": 0.7941176470588235, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 278989.0, ""output_tokens"": 122822.0, ""reasoning_tokens"": 121284.0, ""total_tokens"": 401811.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 5]","{""EA_MI"": 0.7352941176470589, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8529411764705882, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 269576.0, ""output_tokens"": 124621.0, ""reasoning_tokens"": 122615.0, ""total_tokens"": 394197.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 6]","{""EA_MI"": 0.7058823529411764, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 365369.0, ""output_tokens"": 151961.0, ""reasoning_tokens"": 149790.0, ""total_tokens"": 517330.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[0, 7]","{""EA_MI"": 0.7058823529411764, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8529411764705882, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 261778.0, ""output_tokens"": 128089.0, ""reasoning_tokens"": 126141.0, ""total_tokens"": 389867.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[1, 2]","{""EA_MI"": 0.7647058823529411, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 327123.0, ""output_tokens"": 131984.0, ""reasoning_tokens"": 129961.0, ""total_tokens"": 459107.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[1, 3]","{""EA_MI"": 0.7058823529411764, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.7941176470588235, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 299780.0, ""output_tokens"": 120612.0, ""reasoning_tokens"": 118712.0, ""total_tokens"": 420392.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[1, 4]","{""EA_MI"": 0.8235294117647058, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.7941176470588235, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 241428.0, ""output_tokens"": 122387.0, ""reasoning_tokens"": 120428.0, ""total_tokens"": 363815.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[1, 5]","{""EA_MI"": 0.7647058823529411, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 232015.0, ""output_tokens"": 124186.0, ""reasoning_tokens"": 121759.0, ""total_tokens"": 356201.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[1, 6]","{""EA_MI"": 0.7352941176470589, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.7941176470588235, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 327808.0, ""output_tokens"": 151526.0, ""reasoning_tokens"": 148934.0, ""total_tokens"": 479334.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[1, 7]","{""EA_MI"": 0.7352941176470589, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 224217.0, ""output_tokens"": 127654.0, ""reasoning_tokens"": 125285.0, ""total_tokens"": 351871.0}"
slot_fc3cb90a09a89324dea68213bed25a780660a015395581634dbcfd43f17f5dac,True,2,"[2, 3]","{""EA_MI"": 0.6470588235294118, ""EA_MV"": 0.7058823529411765, ""LA_MI"": 0.7941176470588235, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 410447.0, ""output_tokens"": 116880.0, ""reasoning_tokens"": 115253.0, ""total_tokens"": 527327.0}"
