model,system,scenario,item,family,regime,strategy,N,outerrep,metric,unit,higher_is_better,scope,analysis_id,value,known_component_subset_mean,expected_components,known_components,missing_components,components,orders,seed_labels
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,0.0,0.0,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":0},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":0},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":0}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,0.7647058823529411,0.7647058823529411,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":0.8823529411764706},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":0.7058823529411765},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":0.7058823529411765}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,29.666666666666668,29.666666666666668,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":29.0},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":30.0},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":30.0}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,feedback_cost_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,8862.006687450534,8862.006687450534,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":8671.908542355523},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":8928.191664870828},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":8985.919855125248}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,feedback_visible,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,29.666666666666668,29.666666666666668,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":29.0},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":30.0},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":30.0}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,input_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,366082.0,366082.0,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":446379},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":336868},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":314999}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,label_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,0.9411764705882352,0.9411764705882352,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":1.0},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":0.9411764705882353},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":0.8823529411764706}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,output_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,13204.666666666666,13204.666666666666,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":12565},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":13922},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":13127}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,protocol_failure_rate,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,0.01075268817204301,0.01075268817204301,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":0.03225806451612903},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":0.0},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":0.0}]","[0,1,2]","[2200,2201,2202]"
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,wall_time_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_1a0d4c7e0e9bc0fdd6f0cffb403d153057a3307b3f7cd66feb2bf5d431988895,554.4483831723531,554.4483831723531,3,3,0,"[{""execution_id"":""job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8"",""order"":0,""seed"":2200,""value"":528.0652368068695},{""execution_id"":""job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5"",""order"":1,""seed"":2201,""value"":584.6341574192047},{""execution_id"":""job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a"",""order"":2,""seed"":2202,""value"":550.6457552909851}]","[0,1,2]","[2200,2201,2202]"
