study_id,model,system,scenario,budget,strategy,N,metric,endpoint,unit,primary,slice,expected_outcomes,known_outcomes,missing_outcomes,expected_items,known_items,complete_items,full_mean,known_subset_item_weighted_mean,min_repeats_per_item,max_repeats_per_item,repeat_blocks,descriptive_repeat_sd
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,all,39,39,0,13,13,13,0.7043740573152337,0.7043740573152337,3,3,3,0.08541535526255062
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,contract_nli,39,39,0,13,13,13,0.7043740573152337,0.7043740573152337,3,3,3,0.08541535526255062
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,all,39,39,0,13,13,13,0.8597285067873303,0.8597285067873303,3,3,3,0.035915176168297605
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,contract_nli,39,39,0,13,13,13,0.8597285067873303,0.8597285067873303,3,3,3,0.035915176168297605
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,EA,single,fraction,True,all,39,39,0,13,13,13,0.6591251885369532,0.6591251885369532,3,3,3,0.027274722956297334
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,EA,single,fraction,True,contract_nli,39,39,0,13,13,13,0.6591251885369532,0.6591251885369532,3,3,3,0.027274722956297334
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,LA,single,fraction,False,all,39,39,0,13,13,13,0.8793363499245852,0.8793363499245852,3,3,3,0.010449778627866524
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,LA,single,fraction,False,contract_nli,39,39,0,13,13,13,0.8793363499245852,0.8793363499245852,3,3,3,0.010449778627866524
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_tight,single,1,EA,single,fraction,True,all,39,39,0,13,13,13,0.5414781297134238,0.5414781297134238,3,3,3,0.05473679430354165
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_tight,single,1,EA,single,fraction,True,contract_nli,39,39,0,13,13,13,0.5414781297134238,0.5414781297134238,3,3,3,0.05473679430354165
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_tight,single,1,LA,single,fraction,False,all,39,39,0,13,13,13,0.7873303167420814,0.7873303167420814,3,3,3,0.05669667007303924
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_tight,single,1,LA,single,fraction,False,contract_nli,39,39,0,13,13,13,0.7873303167420814,0.7873303167420814,3,3,3,0.05669667007303924
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_free,single,1,F1,single,fraction,True,all,73,73,0,73,73,73,0.6401135796784467,0.6401135796784467,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_free,single,1,F1,single,fraction,True,whatis,34,34,0,34,34,34,0.6542057999670456,0.6542057999670456,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_free,single,1,F1,single,fraction,True,whois,39,39,0,39,39,39,0.6278280542986425,0.6278280542986425,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_moderate,single,1,F1,single,fraction,True,all,73,73,0,73,73,73,0.5305997118648207,0.5305997118648207,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_moderate,single,1,F1,single,fraction,True,whatis,34,34,0,34,34,34,0.45387700534759357,0.45387700534759357,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_moderate,single,1,F1,single,fraction,True,whois,39,39,0,39,39,39,0.5974861739567622,0.5974861739567622,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_tight,single,1,F1,single,fraction,True,all,73,73,0,73,73,73,0.15548555661367908,0.15548555661367908,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_tight,single,1,F1,single,fraction,True,whatis,34,34,0,34,34,34,0.13868092691622103,0.13868092691622103,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_tight,single,1,F1,single,fraction,True,whois,39,39,0,39,39,39,0.17013574660633482,0.17013574660633482,1,1,1,
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,tuning,cost_free,single,1,Gap,single,Gap points,True,all,27,27,0,9,9,9,97.9732348609594,97.9732348609594,3,3,3,0.2285790418210484
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,tuning,cost_free,single,1,Gap,single,Gap points,True,nasbench101,9,9,0,3,3,3,98.37784249896156,98.37784249896156,3,3,3,0.19466623948136863
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,tuning,cost_free,single,1,Gap,single,Gap points,True,nasbench201,9,9,0,3,3,3,98.22953190702977,98.22953190702977,3,3,3,0.5615208952867433
