slot_id,model,model_id,beta,item,data_source,question_index,seed,repeat,system,scenario,strategy,main_overlap_slot_id,count_as_additional_main_sample,source_path,source_sha256,source_collection,original_execution_cohort,original_source_tree_sha256,source_bytes,source_schema_version,source_repository_commit,source_repository_tree_sha256,evaluation_questions_sha256,agent_id,terminal_message_id,terminal_llm_call_id,terminal_text_sha256,terminal_forced,terminal_finish_reason,extraction_source,old_answer_source,termination_reason,old_missing_final,new_missing_final,old_answer_sha256,new_answer_sha256,old_score,old_score_recomputed,new_score,delta_score,execution_complete,old_score_complete,new_score_complete,old_metrics_json,new_metrics_json,answer_changed,score_changed,runtime_counterfactual_changed,runtime_counterfactual_responses,reason,new_scoring_status,old_scoring_status
whois:gpt:beta1:phantom_seed2:0:R1,gpt,gpt-5.6-sol,1,phantom_seed2:0,phantom_seed2,0,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_b7b09c7af7af30acc4bf45931b734eeb8e1b8c13efaf6fe5d31ad6b46d9fc6b0/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_0_r0_s2200.json,e985f4d838520132953b9f4b55a5994eb9a3eb73e8d744ee69bf423bccd54a12,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,40984,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0008,llm0003,a422b292b40ed92721bcc8c50520a2b0644b1663a7d3e618445d00773447d533,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,4f9f9e2beb0a65809db7d887a0df1729b42dbe6635c3fa09ed04755dfffa9fdf,4f9f9e2beb0a65809db7d887a0df1729b42dbe6635c3fa09ed04755dfffa9fdf,1.0,1.0,1.0,0.0,True,True,True,"{""f1"": 1.0}","{""f1"": 1.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:1:R1,gpt,gpt-5.6-sol,1,phantom_seed2:1,phantom_seed2,1,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_ec7000389c4fce6a5565e164998130e3512a7b3c365d20515de358ad86e56f62/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_1_r0_s2200.json,15af9119a226c3ec2f6a45c4b25e10445b35206e52c6041d32944b713e47d873,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,42157,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0008,llm0003,b8a04e2b33d9663b5f750fe21a3baaa15209451f820581b683f0bec15b4bd539,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,bdf28d1b6015f8f831b5cf141df71de4166b7c419af26a2e39c0124995890c3a,bdf28d1b6015f8f831b5cf141df71de4166b7c419af26a2e39c0124995890c3a,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:2:R1,gpt,gpt-5.6-sol,1,phantom_seed2:2,phantom_seed2,2,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_1e714c78ac7db2a42e709d2b9b0908d7504ca7227708ef32cd3c206c3626e0e0/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_2_r0_s2200.json,3bff03eac20f498a3681b31e7ca0f8a7ef7f9c113d51eba62e9e5d8d20f0e3a7,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,44800,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0008,llm0003,983d9003e9b63ebc7ef4a9ca7cfefb2ba6d70359cc635219b9e8aaacb7f6a42a,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:3:R1,gpt,gpt-5.6-sol,1,phantom_seed2:3,phantom_seed2,3,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_2ab04ab77b38b0ad674c5b8c5c1e27968903d129265784ce14e14b48d50fc7b7/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_3_r0_s2200.json,a735cd2dc7de0840c19086a3cab49be278f382b0e33c210fb1caeb64126b7889,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,28292,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0006,llm0002,983d9003e9b63ebc7ef4a9ca7cfefb2ba6d70359cc635219b9e8aaacb7f6a42a,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:4:R1,gpt,gpt-5.6-sol,1,phantom_seed2:4,phantom_seed2,4,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_16475da9fd7811c986dfdacd02b6697e503202ab295b6ced41c4cdb2177fa440/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_4_r0_s2200.json,24ce467dd61271707716b9cecef07b9500bd49fc4da8599d27cf2d98bb02f08b,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,39522,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0008,llm0003,469ffb91f5bdd14d20c00d193f7bc1605959b4bd06f492a961dc5682dec2465e,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,ed164ad25567f7d30ff50fd1ffd75a81eb42aa42c31cd35ef49403c989a79e91,ed164ad25567f7d30ff50fd1ffd75a81eb42aa42c31cd35ef49403c989a79e91,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,True,True,True,"{""f1"": 0.6666666666666666}","{""f1"": 0.6666666666666666}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:5:R1,gpt,gpt-5.6-sol,1,phantom_seed2:5,phantom_seed2,5,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_49a8991d9b5978c9bc9cc86a7ec8e226a0199cc8846564212ef0279abb414016/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_5_r0_s2200.json,aa68625e529eca2d82d4faf40807561be88e1376a67dad6c41a143d976cb2001,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,28460,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0006,llm0002,10cd4e08c68928765214d1e6f2c7154811dc22e3ec339d63039ebcb2913f2572,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,ef6f2aabc7248777e3d7c8cacb75a269f1e7b1767406d1c5954555f8c24678aa,ef6f2aabc7248777e3d7c8cacb75a269f1e7b1767406d1c5954555f8c24678aa,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:6:R1,gpt,gpt-5.6-sol,1,phantom_seed2:6,phantom_seed2,6,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_89a643a23d7c99c90c78ab558c8e8fd42838c29d53c36dc9624309b89c4d6a94/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_6_r0_s2200.json,b681399796470026e6dc58e574f3faf15a42add2fbba6b615300ac2e537224b9,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,40690,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0008,llm0003,983d9003e9b63ebc7ef4a9ca7cfefb2ba6d70359cc635219b9e8aaacb7f6a42a,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:7:R1,gpt,gpt-5.6-sol,1,phantom_seed2:7,phantom_seed2,7,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_edafcdd6df6585296b149b9ca09c2c18d512f6d8c9e58f6d17ea2d45a93f4f55/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_7_r0_s2200.json,6d42909a6aa19c634a0b05923cf3c286d4e9eecc1af0b6d8d95449b3299d8928,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,53924,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0010,llm0004,983d9003e9b63ebc7ef4a9ca7cfefb2ba6d70359cc635219b9e8aaacb7f6a42a,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:8:R1,gpt,gpt-5.6-sol,1,phantom_seed2:8,phantom_seed2,8,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_0da2fc3e39e00128692f6f0f50376846a40c3d6c0ad21d5cb35999c4690503d2/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_8_r0_s2200.json,5ccf3c91aeb6d88050461eb12b9df524d4c2ce8b451909ecc250d3922bf23710,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,40311,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0008,llm0003,783bfdc2999f808c6ccc2dcb4b39e98f9be7c7d242f0b2200e57cb311f88e488,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,cecdcf841755bdc4e689108975fd4f0fb8ab33d065396f4254126b5688035aa2,cecdcf841755bdc4e689108975fd4f0fb8ab33d065396f4254126b5688035aa2,0.5,0.5,0.5,0.0,True,True,True,"{""f1"": 0.5}","{""f1"": 0.5}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
whois:gpt:beta1:phantom_seed2:9:R1,gpt,gpt-5.6-sol,1,phantom_seed2:9,phantom_seed2,9,2200,R1,expgym,restricted_search,single,,True,whois_budget_20260916/raw/whois_budget_gpt_formal_20260916_v1/invocations/job_dfcf25069883ca8e7f7db8843567a66c715539298b030bad0257f29ea0d842ff/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_9_r0_s2200.json,4b95b7d653263ad553665fc5adb24d5f535685a1c5d17fcc1c2fbbfbe5b6a82b,whois_budget_gpt_formal_20260916_v1,original_mixed,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,53309,2.1.0,5bf4ff7923e56b319d7f938da606c94ca9210664,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,0,m0010,llm0004,983d9003e9b63ebc7ef4a9ca7cfefb2ba6d70359cc635219b9e8aaacb7f6a42a,True,stop,parse_final_answer_native_terminal,forced_model_answer,time_budget_exceeded,False,False,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,14c4849191d018fc8b00b02dc1e49d9f8b36a152066023b3b4c609b2f62ba328,0.0,0.0,0.0,0.0,True,True,True,"{""f1"": 0.0}","{""f1"": 0.0}",False,False,False,0,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1,historical_adopted
