case,score_version,model,budget,strategy,slot_id,source_sha256,evidence_acc,label_acc,target_label_correct,target_evidence_exact,target_evidence_ids,feedback_visible,visible_hypotheses,frozen_case_still_qualifies,final_matches_peer_only_verified_nonempty
audit_correct_label_incomplete_evidence,old,qwen3.8-2.4t-a95b-fp8,cost_free,single,edbd8de5f3d4c0fbd2a40813,5881485db9e0ecdb2367fc45afa65803af651468d0a125b86ffc71faab3a3032,0.8235294117647058,0.9411764705882353,1,1,"[47, 51]",30,13,1,
audit_correct_label_incomplete_evidence,old,qwen3.8-2.4t-a95b-fp8,cost_tight,single,726933543ff5ae3b87767225,08872e0be9558869e380d1bc05979460b700d70c41f8f303e2f1f1c5ef17f6f5,0.29411764705882354,0.7647058823529411,1,0,[51],2,1,1,
poolact_coverage_and_verified_observation_reuse,old,kimi-k3,cost_moderate,cached,534f0c5a2bdfa7be10356aec,e6efe0b2e0edaea6f0c2a7caeec3991e7a37e4952f739e42f93ace3b96fbaf50,0.8823529411764706,0.8823529411764706,,,,46,12,1,0
poolact_coverage_and_verified_observation_reuse,old,kimi-k3,cost_moderate,naive,4196a9e78be9dbe18352c1a8,66d724c0c95d4fb36beb20ed43470bf4dd61326b04a7323bf66c8346451879ca,0.8235294117647058,0.8823529411764706,,,,40,10,1,0
poolact_coverage_and_verified_observation_reuse,old,kimi-k3,cost_moderate,poolact,e78ded9c3bb282b2d9d46551,45167d2013e5b279eb271a3338e192d750e08333347f6e3aa8ffede51162f2c9,1.0,0.9411764705882353,,,,38,16,1,13
audit_correct_label_incomplete_evidence,new,qwen3.8-2.4t-a95b-fp8,cost_free,single,edbd8de5f3d4c0fbd2a40813,5881485db9e0ecdb2367fc45afa65803af651468d0a125b86ffc71faab3a3032,0.8235294117647058,0.9411764705882353,1,1,"[47, 51]",30,13,1,
audit_correct_label_incomplete_evidence,new,qwen3.8-2.4t-a95b-fp8,cost_tight,single,726933543ff5ae3b87767225,08872e0be9558869e380d1bc05979460b700d70c41f8f303e2f1f1c5ef17f6f5,0.29411764705882354,0.7647058823529411,1,0,[51],2,1,1,
poolact_coverage_and_verified_observation_reuse,new,kimi-k3,cost_moderate,cached,534f0c5a2bdfa7be10356aec,e6efe0b2e0edaea6f0c2a7caeec3991e7a37e4952f739e42f93ace3b96fbaf50,0.8823529411764706,0.8823529411764706,,,,46,12,1,0
poolact_coverage_and_verified_observation_reuse,new,kimi-k3,cost_moderate,naive,4196a9e78be9dbe18352c1a8,66d724c0c95d4fb36beb20ed43470bf4dd61326b04a7323bf66c8346451879ca,0.8235294117647058,0.8823529411764706,,,,40,10,1,0
poolact_coverage_and_verified_observation_reuse,new,kimi-k3,cost_moderate,poolact,e78ded9c3bb282b2d9d46551,45167d2013e5b279eb271a3338e192d750e08333347f6e3aa8ffede51162f2c9,1.0,0.9411764705882353,,,,38,16,1,13
