model,regime,strategy,question_index,agent_id,feedback_attempts,feedback_visible,withheld,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,invalid_payload_attempts,own_verified_correct_queries,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,final_answer_hypotheses,evidence_acc,label_acc,termination_reason,slot_id,source_sha256,score_version,answer_change_reason,verification_eff
deepseek-v4-flash-0731,cost_moderate,cached,0,0,10,9,1,10,9,1,1,0,0,0,0,0,0,0,1,17,0.35294117647058826,0.9411764705882353,Time budget exceeded,37360edf6099ac1c16dd4453,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,old,unchanged,0.0
deepseek-v4-flash-0731,cost_moderate,cached,0,1,10,9,1,10,9,5,5,0,4,0,0,0,0,0,1,17,0.4117647058823529,0.9411764705882353,Time budget exceeded,37360edf6099ac1c16dd4453,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,old,unchanged,0.5714285714285714
deepseek-v4-flash-0731,cost_moderate,cached,0,2,11,10,1,11,10,5,5,0,4,0,0,0,0,0,1,16,0.4117647058823529,0.8235294117647058,Time budget exceeded,37360edf6099ac1c16dd4453,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,old,unchanged,0.5714285714285714
deepseek-v4-flash-0731,cost_moderate,cached,0,3,11,10,1,11,10,5,5,0,4,0,0,0,0,0,1,17,0.4117647058823529,0.8235294117647058,Time budget exceeded,37360edf6099ac1c16dd4453,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,old,unchanged,0.5714285714285714
deepseek-v4-flash-0731,cost_moderate,cached,1,0,11,10,1,10,9,5,5,0,4,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,5752d6b9d08c767a3bc5ba01,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,old,unchanged,0.36363636363636365
deepseek-v4-flash-0731,cost_moderate,cached,1,1,13,12,1,13,12,8,8,0,7,0,0,0,0,0,1,17,0.7647058823529411,0.8823529411764706,Time budget exceeded,5752d6b9d08c767a3bc5ba01,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,old,unchanged,0.5833333333333334
deepseek-v4-flash-0731,cost_moderate,cached,1,2,11,11,0,11,11,8,8,0,8,0,0,0,0,0,1,17,0.7647058823529411,0.8823529411764706,Natural answer,5752d6b9d08c767a3bc5ba01,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,old,unchanged,0.5833333333333334
deepseek-v4-flash-0731,cost_moderate,cached,1,3,11,10,1,11,10,8,7,0,7,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,5752d6b9d08c767a3bc5ba01,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,old,unchanged,0.5833333333333334
deepseek-v4-flash-0731,cost_moderate,cached,2,0,12,11,1,12,11,8,7,0,7,0,0,0,0,0,1,17,0.9411764705882353,0.9411764705882353,Time budget exceeded,3e5564dd85b405949523f2b4,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,old,unchanged,0.4375
deepseek-v4-flash-0731,cost_moderate,cached,2,1,11,11,0,11,11,8,8,0,8,0,0,0,0,0,1,17,0.8823529411764706,0.8823529411764706,Natural answer,3e5564dd85b405949523f2b4,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,old,unchanged,0.5333333333333333
deepseek-v4-flash-0731,cost_moderate,cached,2,2,19,18,1,19,18,13,12,0,12,0,0,0,0,0,1,17,1.0,1.0,Time budget exceeded,3e5564dd85b405949523f2b4,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,old,unchanged,0.7647058823529411
deepseek-v4-flash-0731,cost_moderate,cached,2,3,17,17,0,17,17,11,11,0,11,0,0,0,0,0,1,17,1.0,1.0,Natural answer,3e5564dd85b405949523f2b4,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,old,unchanged,0.6470588235294118
deepseek-v4-flash-0731,cost_moderate,cached,3,0,15,15,0,15,15,10,10,0,10,0,0,0,0,0,1,17,1.0,0.9411764705882353,Natural answer,b6ceab17a23b23daaf14bbf2,6e5f2028a25ca444ffad065e1b30f009ef93b813bf8815c074cc749123b1b76f,old,unchanged,0.5625
deepseek-v4-flash-0731,cost_moderate,cached,3,1,17,17,0,17,17,10,10,0,10,0,0,0,0,0,1,17,1.0,0.9411764705882353,Natural answer,b6ceab17a23b23daaf14bbf2,6e5f2028a25ca444ffad065e1b30f009ef93b813bf8815c074cc749123b1b76f,old,unchanged,0.5625
