scientific_slot_id,source_scientific_slot_id,study_group,scenario,regime,strategy,reported_agents,effort,cohort,item,repeat,derivation,metrics,logical_additive_cost
slot_bbd809b9ae6a8b264caa9d6adbd000e11c5a13e99628d7ca32b873cde6b8af9b,slot_bbd809b9ae6a8b264caa9d6adbd000e11c5a13e99628d7ca32b873cde6b8af9b,ablation,restricted_search,cost_tight,cached,4,max,new,phantom_seed2/q15,0,direct,"{""F1_MI"": 0.0, ""F1_MV"": 0.0}","{""cached_input_tokens"": null, ""input_tokens"": 175685.0, ""output_tokens"": 151011.0, ""reasoning_tokens"": 149816.0, ""total_tokens"": 326696.0}"
slot_e1fc0e29e7c539e93e6be0030a56b5d161a3f9df24910ac59bb9b9f8eeff4cb8,slot_e1fc0e29e7c539e93e6be0030a56b5d161a3f9df24910ac59bb9b9f8eeff4cb8,ablation,restricted_search,cost_tight,poolact,4,max,new,phantom_seed2/q8,0,direct,"{""F1_MI"": 0.5833333333333333, ""F1_MV"": 0.6666666666666666}","{""cached_input_tokens"": null, ""input_tokens"": 303985.0, ""output_tokens"": 126265.0, ""reasoning_tokens"": 124042.0, ""total_tokens"": 430250.0}"
slot_1dd02d292ff93ddbd6affc087e136c88d9d3a4fbb7d919a857a7122f30c537d5,slot_1dd02d292ff93ddbd6affc087e136c88d9d3a4fbb7d919a857a7122f30c537d5,ablation,restricted_search,cost_tight,peer_context,4,max,new,phantom_seed2/q8,0,direct,"{""F1_MI"": 0.6666666666666666, ""F1_MV"": 0.6666666666666666}","{""cached_input_tokens"": null, ""input_tokens"": 137332.0, ""output_tokens"": 49787.0, ""reasoning_tokens"": 48348.0, ""total_tokens"": 187119.0}"
slot_e1b21ca8977dc6e608772bd7b3c7ce7e23b90a2f40051225a27ad747d31e785c,slot_e1b21ca8977dc6e608772bd7b3c7ce7e23b90a2f40051225a27ad747d31e785c,ablation,restricted_search,cost_tight,graph_no_lock,4,max,new,phantom_seed2/q8,0,direct,"{""F1_MI"": 0.625, ""F1_MV"": 0.6666666666666666}","{""cached_input_tokens"": null, ""input_tokens"": 42888.0, ""output_tokens"": 22591.0, ""reasoning_tokens"": 21576.0, ""total_tokens"": 65479.0}"
slot_47b173f17aebc483de2211f76eaa5eb59e1149879e6c0de92abece40102aef47,slot_47b173f17aebc483de2211f76eaa5eb59e1149879e6c0de92abece40102aef47,ablation,restricted_search,cost_tight,naive,4,max,new,phantom_seed3/q13,0,direct,"{""F1_MI"": 0.0, ""F1_MV"": 0.0}","{""cached_input_tokens"": null, ""input_tokens"": 12755.0, ""output_tokens"": 9856.0, ""reasoning_tokens"": 9429.0, ""total_tokens"": 22611.0}"
slot_0bcff37bd4000fadb622e9ff8c9f9049b085a3d8393d59faeb6cbdc9706082ee,slot_0bcff37bd4000fadb622e9ff8c9f9049b085a3d8393d59faeb6cbdc9706082ee,ablation,tuning,cost_tight,poolact,4,max,new,hpobench:nasbench101:C,0,direct,"{""Gap0_BoN"": 99.62194146355895, ""Gap0_MI"": 98.93227798795509, ""Gap_BoN"": 99.62194146355895, ""Gap_MI"": 98.93227798795509, ""RawPerf_BoN"": 0.9434428413709005, ""RawPerf_MI"": 0.9395449360211691}","{""cached_input_tokens"": null, ""input_tokens"": 288531.0, ""output_tokens"": 154304.0, ""reasoning_tokens"": 145646.0, ""total_tokens"": 442835.0}"
slot_60721f5644be98da2e90e2071622fbc23e9b4f0b7cc0732937a5e4bdcc48f3f0,slot_60721f5644be98da2e90e2071622fbc23e9b4f0b7cc0732937a5e4bdcc48f3f0,ablation,tuning,cost_tight,peer_context,4,max,new,hpobench:nasbench101:C,0,direct,"{""Gap0_BoN"": 98.77130448358758, ""Gap0_MI"": 94.42066877912079, ""Gap_BoN"": 98.77130448358758, ""Gap_MI"": 94.42066877912079, ""RawPerf_BoN"": 0.9386351307233175, ""RawPerf_MI"": 0.9140457957983017}","{""cached_input_tokens"": null, ""input_tokens"": 548370.0, ""output_tokens"": 193142.0, ""reasoning_tokens"": 181797.0, ""total_tokens"": 741512.0}"
slot_df363a3aa0714c444c6b04e8a1ed2988242e1affcb619f7e0204631e8e066403,slot_df363a3aa0714c444c6b04e8a1ed2988242e1affcb619f7e0204631e8e066403,ablation,tuning,cost_tight,graph_no_lock,4,max,new,hpobench:nasbench101:C,0,direct,"{""Gap0_BoN"": 98.96033726712749, ""Gap0_MI"": 96.29767619061532, ""Gap_BoN"": 98.96033726712749, ""Gap_MI"": 96.29767619061532, ""RawPerf_BoN"": 0.9397035241127014, ""RawPerf_MI"": 0.9246544440587361}","{""cached_input_tokens"": null, ""input_tokens"": 271019.0, ""output_tokens"": 65592.0, ""reasoning_tokens"": 56315.0, ""total_tokens"": 336611.0}"
slot_b542e1595a8b8518640d0cb798e709d53643c45f935eee3501073dac91c1b568,slot_b542e1595a8b8518640d0cb798e709d53643c45f935eee3501073dac91c1b568,ablation,restricted_search,cost_tight,poolact,4,max,new,phantom_seed2/q19,0,direct,"{""F1_MI"": 0.0, ""F1_MV"": 0.0}","{""cached_input_tokens"": null, ""input_tokens"": 52650.0, ""output_tokens"": 43605.0, ""reasoning_tokens"": 42543.0, ""total_tokens"": 96255.0}"
slot_4e5ba2e90c254368c3fef3744594bfe5949f86b21b91419d21da1b2cd54e006b,slot_4e5ba2e90c254368c3fef3744594bfe5949f86b21b91419d21da1b2cd54e006b,ablation,restricted_search,cost_tight,peer_context,4,max,new,phantom_seed2/q19,0,direct,"{""F1_MI"": 0.0, ""F1_MV"": 0.0}","{""cached_input_tokens"": null, ""input_tokens"": 202805.0, ""output_tokens"": 67110.0, ""reasoning_tokens"": 66178.0, ""total_tokens"": 269915.0}"
