model,model_id,cohort,execution_cohort,beta,budget_seconds,data_source,question_index,repeat,job_id,status,execution_complete,score_complete,f1,source_tree_sha256,source_input,result_collection,result_member,result_bytes,result_sha256
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,0,R1,job_b7b09c7af7af30acc4bf45931b734eeb8e1b8c13efaf6fe5d31ad6b46d9fc6b0,completed,True,True,1.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_b7b09c7af7af30acc4bf45931b734eeb8e1b8c13efaf6fe5d31ad6b46d9fc6b0/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_0_r0_s2200.json,40984,e985f4d838520132953b9f4b55a5994eb9a3eb73e8d744ee69bf423bccd54a12
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,1,R1,job_ec7000389c4fce6a5565e164998130e3512a7b3c365d20515de358ad86e56f62,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_ec7000389c4fce6a5565e164998130e3512a7b3c365d20515de358ad86e56f62/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_1_r0_s2200.json,42157,15af9119a226c3ec2f6a45c4b25e10445b35206e52c6041d32944b713e47d873
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,2,R1,job_1e714c78ac7db2a42e709d2b9b0908d7504ca7227708ef32cd3c206c3626e0e0,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_1e714c78ac7db2a42e709d2b9b0908d7504ca7227708ef32cd3c206c3626e0e0/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_2_r0_s2200.json,44800,3bff03eac20f498a3681b31e7ca0f8a7ef7f9c113d51eba62e9e5d8d20f0e3a7
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,3,R1,job_2ab04ab77b38b0ad674c5b8c5c1e27968903d129265784ce14e14b48d50fc7b7,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_2ab04ab77b38b0ad674c5b8c5c1e27968903d129265784ce14e14b48d50fc7b7/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_3_r0_s2200.json,28292,a735cd2dc7de0840c19086a3cab49be278f382b0e33c210fb1caeb64126b7889
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,4,R1,job_16475da9fd7811c986dfdacd02b6697e503202ab295b6ced41c4cdb2177fa440,completed,True,True,0.6666666666666666,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_16475da9fd7811c986dfdacd02b6697e503202ab295b6ced41c4cdb2177fa440/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_4_r0_s2200.json,39522,24ce467dd61271707716b9cecef07b9500bd49fc4da8599d27cf2d98bb02f08b
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,5,R1,job_49a8991d9b5978c9bc9cc86a7ec8e226a0199cc8846564212ef0279abb414016,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_49a8991d9b5978c9bc9cc86a7ec8e226a0199cc8846564212ef0279abb414016/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_5_r0_s2200.json,28460,aa68625e529eca2d82d4faf40807561be88e1376a67dad6c41a143d976cb2001
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,6,R1,job_89a643a23d7c99c90c78ab558c8e8fd42838c29d53c36dc9624309b89c4d6a94,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_89a643a23d7c99c90c78ab558c8e8fd42838c29d53c36dc9624309b89c4d6a94/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_6_r0_s2200.json,40690,b681399796470026e6dc58e574f3faf15a42add2fbba6b615300ac2e537224b9
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,7,R1,job_edafcdd6df6585296b149b9ca09c2c18d512f6d8c9e58f6d17ea2d45a93f4f55,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_edafcdd6df6585296b149b9ca09c2c18d512f6d8c9e58f6d17ea2d45a93f4f55/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_7_r0_s2200.json,53924,6d42909a6aa19c634a0b05923cf3c286d4e9eecc1af0b6d8d95449b3299d8928
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,8,R1,job_0da2fc3e39e00128692f6f0f50376846a40c3d6c0ad21d5cb35999c4690503d2,completed,True,True,0.5,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_0da2fc3e39e00128692f6f0f50376846a40c3d6c0ad21d5cb35999c4690503d2/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_8_r0_s2200.json,40311,5ccf3c91aeb6d88050461eb12b9df524d4c2ce8b451909ecc250d3922bf23710
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,9,R1,job_dfcf25069883ca8e7f7db8843567a66c715539298b030bad0257f29ea0d842ff,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_dfcf25069883ca8e7f7db8843567a66c715539298b030bad0257f29ea0d842ff/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_9_r0_s2200.json,53309,4b95b7d653263ad553665fc5adb24d5f535685a1c5d17fcc1c2fbbfbe5b6a82b
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,10,R1,job_cd89358a7cba8d5f8bce814e41fc7452b59fbcbabf9e176907c3c89141c39f5f,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_cd89358a7cba8d5f8bce814e41fc7452b59fbcbabf9e176907c3c89141c39f5f/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_10_r0_s2200.json,33398,f33cb206e52ff63e677f48a72267839a806cfe94d0812e2a5299085a694311d3
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,11,R1,job_cd94af96e9e1f07ec8ae56560b553a4746816634ff8f50dabaca55ae1f2d17a8,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_cd94af96e9e1f07ec8ae56560b553a4746816634ff8f50dabaca55ae1f2d17a8/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_11_r0_s2200.json,40795,8c6ca092ada0aa37db0854c12410759adf4b449c0073b9d61be8adfe7d137738
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,12,R1,job_d072b53ee2d3732607b2ab7842b672fba64152e7769bf44e1f73e9520a881725,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_d072b53ee2d3732607b2ab7842b672fba64152e7769bf44e1f73e9520a881725/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_12_r0_s2200.json,42493,6da39c2f2c74e312d9ba8650af39812ccd2b2dea27d20e877b98ac0893e7f377
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,13,R1,job_06ffd6624c1fbf7cf0f581c87a9f9fc751d2c44813b61a8c9690ec61ae35bc20,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_06ffd6624c1fbf7cf0f581c87a9f9fc751d2c44813b61a8c9690ec61ae35bc20/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_13_r0_s2200.json,28257,6d2e65d7025e6f053e9d166d5fad935e5b146667fb8213a707fab9560b15639f
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,14,R1,job_3bdbc6bd3a23e6cb7c555806363f69899400db4d09452ed378770571b40a7392,completed,True,True,0.5,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_3bdbc6bd3a23e6cb7c555806363f69899400db4d09452ed378770571b40a7392/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_14_r0_s2200.json,41723,c61fc41cb9f7924bc9f440b7ebf8e72521f9eb9687e11ceba3d75b910771f761
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,15,R1,job_ac965b8461f76021011ef6fff40b053365fa53076cc9aebb2bccff44f267e547,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_ac965b8461f76021011ef6fff40b053365fa53076cc9aebb2bccff44f267e547/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_15_r0_s2200.json,29060,dee5003e36177fd6e8189ba96578b9ac336a1d4dbae6a0dcc21f3730734253bc
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,16,R1,job_2dff5c22eb85501a6da28e93dc1c8d452e795cfb3f3e512345ef671f91fb38ab,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_2dff5c22eb85501a6da28e93dc1c8d452e795cfb3f3e512345ef671f91fb38ab/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_16_r0_s2200.json,28734,62f04d2deeb2b8f8eb8d68947679f981bd86f9691a328102c578e1a234321d34
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,17,R1,job_216ec39ce38477dfbd68d723683076e8d5c55557bf6ab3ce788cc57bf00280f1,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_216ec39ce38477dfbd68d723683076e8d5c55557bf6ab3ce788cc57bf00280f1/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_17_r0_s2200.json,28669,84c04099a854308f1bb99b117b196a3b4560a612ed631ffa5f8d1b027c1f66a5
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,18,R1,job_f877a1c5014bbb17672153c59683038884d5f42f81ef0297ebdc36979c3e4f6b,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_f877a1c5014bbb17672153c59683038884d5f42f81ef0297ebdc36979c3e4f6b/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_18_r0_s2200.json,28320,4fa6079eec54c81652298e3e76b6498723cd96d0f0c824e715e2da5d378afe45
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed2,19,R1,job_0aad66f2dce8f08c420df00ea7d9e4aa1432902c8b5e9b6d89fa099026947655,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_0aad66f2dce8f08c420df00ea7d9e4aa1432902c8b5e9b6d89fa099026947655/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed2_19_r0_s2200.json,35020,2d9d1ba03e7b862180f0692aa63df7eaa513a388c568f76607bb02e85d9490c8
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed3,0,R1,job_5a49591882b89ea244f90a6d5b50a53eaa5a3e984bfc3136b276111d94d3e1cf,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_5a49591882b89ea244f90a6d5b50a53eaa5a3e984bfc3136b276111d94d3e1cf/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed3_0_r0_s2200.json,28642,663cd91153d05cd6687c97004b0577eb760177f6fb35274a52e161403b41e9cd
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed3,1,R1,job_0bbf4995a6f101e906ac9b133174986f3cd9accfdf709e54972f388c708c8b53,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_0bbf4995a6f101e906ac9b133174986f3cd9accfdf709e54972f388c708c8b53/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed3_1_r0_s2200.json,28546,6c2b0c7f44e41b7ff3f83b75e489ddbf2cfce6b3c918b16b5a4b1b5237b98c0b
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed3,2,R1,job_3a454b10e14645a3e6545d6d31c9c87a03adf56483dec2930d5a2a1cf70688fe,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_3a454b10e14645a3e6545d6d31c9c87a03adf56483dec2930d5a2a1cf70688fe/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed3_2_r0_s2200.json,41136,d37d0458e783d3ec143014bf74bf5eebed582f8cbf03203f53275613a8687f7b
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed3,3,R1,job_da372adb3b704316fd039ed42db4171d30f297f210907ce245dfbf34e7231951,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_da372adb3b704316fd039ed42db4171d30f297f210907ce245dfbf34e7231951/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed3_3_r0_s2200.json,42900,c8041d75b6f813f5589bc812b987ab1e2f1e415457a16f44f230f0a45a56c99f
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed3,4,R1,job_088772c6153e721b13a1fa2226a5059b095e4cdf6fcd9e56f82ec576889f065f,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_088772c6153e721b13a1fa2226a5059b095e4cdf6fcd9e56f82ec576889f065f/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed3_4_r0_s2200.json,28560,fdace75a90f69564bb9f7059d149606ffe5c256e770007070ec1eae41ea0567f
gpt,gpt-5.6-sol,new_20260916,original_mixed,1,300,phantom_seed3,5,R1,job_4ec982840e606b966df0db976094bb5e88712a95efd62a10a8e8262942eef69f,completed,True,True,0.0,a7d5db962f50322564a27fe7a0632fcf3384aee35c1cac133c9c0dd9d2c8e1e4,gpt/item_metrics.csv,whois_budget_gpt_formal_20260916_v1,invocations/job_4ec982840e606b966df0db976094bb5e88712a95efd62a10a8e8262942eef69f/result/gpt-5.6-sol_custom_beta_1.0/traces-v2/restricted_search_phantom_seed3_5_r0_s2200.json,29040,3d22ce230716703a50b449e8dd8ac2d903899c3895287002016e6368315de8dd
