table,group,metric,old,new,delta,changed
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first3_mean,0.03830975844802082,0.03830975844802082,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first3_median,0.01362810825203542,0.01362810825203542,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first5_mean,0.03394086655230249,0.03394086655230249,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first5_median,0.008966666547987223,0.008966666547987223,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",budget_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",cap_n,8,8,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_budget_fraction_mean,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_budget_fraction_median,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_evaluations_mean,15.296296296296296,15.296296296296296,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_evaluations_median,15,15,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_total,413,413,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_above_observed_best_denom,19,19,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_above_observed_best_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_below_observed_best_denom,19,19,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_below_observed_best_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",first_best_fraction_mean,0.7549291795785704,0.7549291795785704,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",first_best_fraction_median,0.8514492753623188,0.8514492753623188,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",n,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",natural_n,2,2,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",natural_stop_budget_fraction_mean,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",natural_stop_budget_fraction_median,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observations_after_first_best_mean,4.1923076923076925,4.1923076923076925,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observations_after_first_best_median,2.5,2.5,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first3_denom,26,26,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first3_n,6,6,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first5_denom,26,26,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first5_n,9,9,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_in_first_half_denom,26,26,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_in_first_half_n,10,10,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",other_n,17,17,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",repeated_delivered_evaluations_mean,0.037037037037037035,0.037037037037037035,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",repeated_delivered_evaluations_median,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",repeated_delivered_total,1,1,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",score_complete_n,20,20,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",score_source_counts,"{""best_evaluated_fallback"": 2, ""matching_tool_call"": 17, ""missing"": 7, ""offline_final_answer"": 1}","{""best_evaluated_fallback"": 2, ""matching_tool_call"": 17, ""missing"": 7, ""offline_final_answer"": 1}",,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",strict_record_improvements_mean,3.962962962962963,3.962962962962963,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",strict_record_improvements_median,4,4,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",unique_delivered_configs_mean,15.25925925925926,15.25925925925926,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",unique_delivered_configs_median,15,15,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",withheld_evaluations_mean,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",withheld_evaluations_median,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",best_performance_gain_after_first3_mean,0.025425577128199563,0.025425577128199563,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",best_performance_gain_after_first3_median,0.003367483862379117,0.003367483862379117,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",best_performance_gain_after_first5_mean,0.017390792620355144,0.017390792620355144,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",best_performance_gain_after_first5_median,0.0,0.0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",budget_n,10,10,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",cap_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",delivered_budget_fraction_mean,0.7540291783124826,0.7540291783124826,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",delivered_budget_fraction_median,0.9250346608285406,0.9250346608285406,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",delivered_evaluations_mean,8.703703703703704,8.703703703703704,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",delivered_evaluations_median,9,9,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",delivered_total,235,235,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",final_above_observed_best_denom,24,24,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",final_above_observed_best_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",final_below_observed_best_denom,24,24,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",final_below_observed_best_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",first_best_fraction_mean,0.7615611334234816,0.7615611334234816,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",first_best_fraction_median,0.8166666666666667,0.8166666666666667,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",n,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",natural_n,10,10,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",natural_stop_budget_fraction_mean,0.7664128219563044,0.7664128219563044,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",natural_stop_budget_fraction_median,0.9729505350687023,0.9729505350687023,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_moderate""}",observations_after_first_best_mean,2.6923076923076925,2.6923076923076925,0.0,False
