model,regime,strategy,cohort_id,question_index,data_source,result_path,result_sha256,bytes,agents,feedback_attempts,feedback_visible,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,first_choice_unique_hypotheses,within_agent_repeated_attempts,cross_agent_overlap_queries,unique_verified_correct_queries,unique_verified_correct_nonempty,semantic_redundancy_fraction,correct_visible,incomplete_visible,irrelevant_visible,other_visible,withheld,invalid_payload_attempts,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,agents_with_peer_snapshot,agents_with_peer_only_nonempty_final_match,cache_hits,cache_size,graph_pending_claims
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,0,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_17725c23dd3fceb274ab493be9a30ea0fa0be084afd107f5f4368b12767a268c/result/cached/result.json,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,418625,4,42,38,32,28,8,8,2,0,10,6,3,0.23809523809523814,12,6,20,0,4,0,0,0,0,0,0,4,0,0,2,28,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,1,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_000beca28d379f1e0aa94f90237d4f0fceaa2bd8de9c7487c01d9dd5de5397d7/result/cached/result.json,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,475664,4,46,43,22,19,11,11,1,1,23,9,8,0.5217391304347826,26,7,10,0,3,0,0,0,0,0,0,4,0,0,4,19,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,2,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_015c98e8eb3826ba658b352b4a36bb0995791e3c75d8473500ab3fa47b8569ef/result/cached/result.json,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,368174,4,59,57,21,19,13,12,2,0,38,12,6,0.6440677966101696,38,2,17,0,2,0,0,0,0,0,0,4,0,0,20,19,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,3,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ee12cbb33dae2133fd3926277111ed526dbff5dd02730998c6e5ecd8ba783721/result/cached/result.json,6e5f2028a25ca444ffad065e1b30f009ef93b813bf8815c074cc749123b1b76f,453555,4,63,62,24,24,12,12,3,0,39,12,5,0.6190476190476191,35,10,17,0,1,0,0,0,0,0,0,4,0,0,22,24,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,4,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_79114aab190606f7c73f14d89c488c2fad14ef8635e22f2d980e913b00f1a3dd/result/cached/result.json,a1fa6268a33e838f3d547623b58e6749080697ba60511da867c6d6c1956e9091,395685,4,53,50,25,23,14,13,4,0,28,13,9,0.5283018867924528,28,6,16,0,3,0,0,0,0,0,0,4,0,0,11,24,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,5,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_12e21b490d83c57faf0b31e1bc39f205a6b1e417d228f933ff83f1b9fbcc35b8/result/cached/result.json,f6e1c41f34cd8d682e70e23b058caff839fd02667bd5212f6e27626fa65c91c6,504716,4,54,53,23,22,9,9,2,0,31,9,4,0.5740740740740741,25,4,24,0,1,0,0,0,0,0,0,4,0,0,15,22,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,6,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_52383846a3829d5887847539a616625d50cd576d50dfbf8245984324a70a102f/result/cached/result.json,372fe053d2a4a9126627de5aac4bd0f431587005875e44ef1ef55ee69b23e729,515322,4,71,69,33,31,13,13,3,0,38,12,8,0.5352112676056338,34,6,29,0,2,0,0,0,0,0,0,4,0,0,30,31,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,7,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_affdf50e38689827e70ac568e7d1115adc39528baf63041603598cee6a8f7c77/result/cached/result.json,6c4df997a8e14d896d97bd8e40e914bb38887830dd991076bdb9e060b5acbab7,392419,4,45,41,20,17,10,9,3,0,25,7,4,0.5555555555555556,22,5,14,0,4,0,0,0,0,0,0,4,0,0,5,17,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,8,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_929fdc8efbae26600e0564f3b814eff5769be2180745d380fce656f88de23738/result/cached/result.json,f88481d760ca37a1b76988db3b6952f2cd10df43584fa806ec584a384249c3e4,485877,4,43,40,32,31,14,14,4,0,11,12,7,0.2558139534883721,19,10,11,0,3,0,0,0,0,0,0,4,0,0,3,31,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,9,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e38b50884a01560e0b9646dabeed1542a62b963d4e6caec25daef29510ee9a35/result/cached/result.json,ec61b3a2411103a8f4981a2b10c5b315a385cca14d75496fde000285141b16bf,378441,4,47,44,28,26,13,12,3,0,19,11,9,0.4042553191489362,21,11,12,0,3,0,0,0,0,0,0,4,0,0,7,27,0
