model,task,family,repeat,seed,transition,free_score_complete,tight_score_complete,free_strict_gap,tight_strict_gap,free_gap0,tight_gap0,tight_minus_free_gap0,free_delivered_evaluations,tight_delivered_evaluations,free_best_observed_performance,tight_best_observed_performance,free_termination,tight_termination,free_repeat_csv_data_record,tight_repeat_csv_data_record,free_trace_path,tight_trace_path,free_trace_sha256,tight_trace_sha256
deepseek-v4-flash-0731,hpobench:nasbench101:A,nasbench101,0,2200,scored_to_scored,True,True,99.28332342644987,85.75664976157574,99.28332342644987,85.75664976157574,-13.526673664874124,27,3,0.941038986047109,0.845886747042338,max_steps_reached,natural_answer,94,106,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3c813f46fbcb140deee3a084f5768c40149b2648c2019588ecff4ea427b9eed4/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_A_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_f568dd4bd3e41d4ce8536abd6d20a44184ddd84d15305717b2792ca32ed0f5d6/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_A_r0_s2200.json,d2ff72dbb62df9bd601f8981f602727b1da5376d6a848e6a0dcfe718a88d328d,4ff4f035174606019c9574fe76e0c9756e21fd1985378bdbc8befceb2f1a2746
deepseek-v4-flash-0731,hpobench:nasbench101:A,nasbench101,1,2204,scored_to_scored,True,True,0.0,98.85142003009625,0.0,98.85142003009625,98.85142003009625,0,5,,0.9380007982254028,natural_answer,natural_answer,95,107,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3335fac2e8e3175e790f143039faa05469a5f4ffb2d25a479b726eb8c86c2926/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_A_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9cb608375968d0750d6653305ca49f3242684fb372dbccffdcaa947724270146/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_A_r0_s2204.json,f3a7984f5532e53e46c6ab8d840276353d1ad93bc9a857120cb3f8e6ac77c50b,a5caa497c91a0fcace257cca7352f931b0f1f83d550770715c03e3b5874d6fb1
deepseek-v4-flash-0731,hpobench:nasbench101:A,nasbench101,2,2208,missing_to_scored,False,True,,85.75664976157574,0.0,85.75664976157574,85.75664976157574,13,1,0.8903245131174723,0.845886747042338,aborted,time_budget_exceeded,96,108,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_8e759c39518933ead644cea62844b3a9a52d7dcfb91ec43a4de183b57b1ee786/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_A_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7ffef7c7136569f8e056919cb2e2ed45575a76ead9eb4818a713bbcd98a7c508/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_A_r0_s2208.json,cba57b66f5b1722848c458f201fa38fda60b858e8c918fcae9d96ce49aed6409,380c04d4fee89f7cef780bbaf88aabd093260b90bcd6a7f7bc824265bfb364b2
deepseek-v4-flash-0731,hpobench:nasbench101:B,nasbench101,0,2200,scored_to_scored,True,True,94.79889752195012,95.1657220396099,94.79889752195012,95.1657220396099,0.3668245176597793,27,6,0.9356971184412638,0.9366319378217062,max_steps_reached,empty_model_response,112,124,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_ede4d6c529bf2246a634ab6dff8cdb7e04b01b20a636ed1229002b7930e187aa/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_B_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_082a8ea111f8cbd3939e3a18555f09cbe212d3e951907cc778d04551826cea56/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_B_r0_s2200.json,465ef6fe34cf1031f1bdceb46efcb413e3b6853b84e86a54a13f66d79726e3a3,3229a3923b85b02aa91dd69ed4fb2d0a8b56a2d630fe7579e3a8c77f9c374351
deepseek-v4-flash-0731,hpobench:nasbench101:B,nasbench101,1,2204,scored_to_scored,True,True,98.49337730571698,84.92073761491496,98.49337730571698,84.92073761491496,-13.57263969080202,24,3,0.9451121687889099,0.910523513952891,max_steps_reached,natural_answer,113,125,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_91c7d20cd36df3e2231fad065ccff3f33b49ff6cc035a4165e2b37f7ae5bf765/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_B_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_d5ed814c12c83c33667f8fb6688e6a2cedac21edf083c58b41e0904d659307ab/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_B_r0_s2204.json,b4c8e3fbb5481a2c8c6fbd6dd5b5080e81fc87b65b3902adab36ddd0ca7f6f4f,aa5440a399a39a8717874fa541691e369be1137dfe398c13b05beb770555ca38
deepseek-v4-flash-0731,hpobench:nasbench101:B,nasbench101,2,2208,scored_to_scored,True,True,67.1164596858555,75.44870346023217,67.1164596858555,75.44870346023217,8.332243774376664,7,0,0.8651509086290995,,aborted,aborted,114,126,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b62578e1a534af7cd3002e7d94960e7452b1e4679851d007d3a459e853c0549f/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_B_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_98c591998cf7b88df38ae4bf583ffbe346e97602bf33273b6345d07311968c07/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_B_r0_s2208.json,ff09770251523dc5b512882a7bdbf443a28e11b6fb665a3ddd562dd5b1ef3634,1e4e5db7cc014ab0a7450d9ae9a3aac6316137beaf649e5c2956e1ceea27dd53
deepseek-v4-flash-0731,hpobench:nasbench101:C,nasbench101,0,2200,scored_to_scored,True,True,98.87172661189092,82.36116444504825,98.87172661189092,82.36116444504825,-16.510562166842675,20,2,0.9392027060190836,0.845886747042338,empty_model_response,time_budget_exceeded,130,142,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_8899ffca9b2b2682d075cf97e3950c602ba57c77a9d7691ef77f0fa784580bb0/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_C_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5771bd8ee1b060fd4c13fc0d9a023e7c8bbf2297fbd2c878ae27c16661bf85bf/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_C_r0_s2200.json,ba8a5e40a4040b6aa1114ed889b9eb0aaf271a30881243672feef1fa9838159f,2ee05aa8f44bbcce6078eae3c6cf24449ac1dc240d2bc204d8b0d8a8fe15d1ad
deepseek-v4-flash-0731,hpobench:nasbench101:C,nasbench101,1,2204,scored_to_scored,True,True,82.36116444504825,82.36116444504825,82.36116444504825,82.36116444504825,0.0,1,0,0.845886747042338,,empty_model_response,aborted,131,143,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4bf4667893396f7933fc7821a3de01f3fb53cb70956aeab807d9146b4fbc3cad/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_C_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b3a4bf8ea5d6d20837d89a04b0631bc5e7001db571012db4dc84cd85a7e38d37/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_C_r0_s2204.json,6a71992cc37603d52145befa83158ed3caac868e24b6a8deeca3dd0a7f0a8e60,4cf88013fc6795260f4eff66b3a113abf793fb69432e3c4ac0de4eba2f7168eb
deepseek-v4-flash-0731,hpobench:nasbench101:C,nasbench101,2,2208,missing_to_scored,False,True,,91.15695048809212,0.0,91.15695048809212,91.15695048809212,9,3,0.9412393172581991,0.8955996036529541,empty_model_response,time_budget_exceeded,132,144,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_77dac9d3201dcb63c8993175b9ad137755dad2bdc69abee5c78e2b5f67de817e/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_C_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7b001fc6a9b9d80fbc597b97dcca14fcf73ee9094e690a0394b30697b27cf683/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_C_r0_s2208.json,d053139e179a0651fad64830d4f44ecd2f251c604a92074554023cf7464fc456,bfa7e76453d424e0772c3c55ef42ac06bbffe3150241066a3d2e48cf7384ffad
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,nasbench201,0,2200,scored_to_scored,True,True,82.31154476532424,82.31154476532424,82.31154476532424,82.31154476532424,0.0,15,3,0.9019866665364583,0.9019866665364583,empty_model_response,time_budget_exceeded,148,160,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_12f257ef44f570fdf4aeb6037bb97a8b8b78162b85d8fdf7787666683906ba2f/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_cifar10-valid_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_1d635af189e0d56ef688f70a038f59a3240e1bc3401b977dabcd226d3f581cf7/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_cifar10-valid_r0_s2200.json,074128ea2dbc58a73acfbff039487a7fa03c747016f95494855ec7515adfa842,388337c0adb45fad029839b21c9ed6f5e4a600d92b78c0bf730bee22ddab9865
