budget,model,gold_subset,n_hypothesis_presentations,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_any,extra_any,queried,ever_exact_proposal,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,queried_first_wrong,queried_first_correct
cost_free,ALL,all,3978,3359,3194,3102,257,485,196,3035,2902,1257,289,1326,1419,1616
cost_free,ALL,nonempty,2160,1818,1648,1561,257,485,97,1648,1598,696,172,774,800,848
cost_free,ALL,empty,1818,1541,1546,1541,0,0,99,1387,1304,561,117,552,619,768
cost_free,deepseek-v4-flash-0731,all,663,443,424,407,36,144,21,457,437,181,92,218,233,224
cost_free,deepseek-v4-flash-0731,nonempty,360,230,211,194,36,144,15,254,240,118,60,148,157,97
cost_free,deepseek-v4-flash-0731,empty,303,213,213,213,0,0,6,203,197,63,32,70,76,127
cost_free,gemini-3.8-flash-medium,all,663,645,647,633,12,9,10,636,619,232,0,227,237,399
cost_free,gemini-3.8-flash-medium,nonempty,360,345,347,333,12,9,7,344,338,131,0,133,135,209
cost_free,gemini-3.8-flash-medium,empty,303,300,300,300,0,0,3,292,281,101,0,94,102,190
cost_free,glm-5.3,all,663,459,454,443,16,127,14,599,588,184,178,257,263,336
cost_free,glm-5.3,nonempty,360,235,230,219,16,127,10,326,320,98,107,143,144,182
cost_free,glm-5.3,empty,303,224,224,224,0,0,4,273,268,86,71,114,119,154
cost_free,gpt-5.6-sol,all,663,570,467,449,121,129,94,211,167,114,1,81,119,92
cost_free,gpt-5.6-sol,nonempty,360,327,221,206,121,129,38,106,100,45,0,45,48,58
cost_free,gpt-5.6-sol,empty,303,243,246,243,0,0,56,105,67,69,1,36,71,34
cost_free,kimi-k3,all,663,614,593,578,36,40,28,561,540,265,18,266,278,283
cost_free,kimi-k3,nonempty,360,342,319,306,36,40,12,313,303,153,5,155,161,152
cost_free,kimi-k3,empty,303,272,274,272,0,0,16,248,237,112,13,111,117,131
cost_free,qwen3.8-2.4t-a95b-fp8,all,663,628,609,592,36,36,29,571,551,281,0,277,289,282
