dimension,model,regime,metric,old_score,new_score,old_rank,new_rank,rank_changed,score_changed
Search whois,kimi-k3,cost_free,f1,0.6588618353324236,0.6588618353324236,3,3,False,False
Search whois,glm-5.3,cost_free,f1,0.6826510091215974,0.6826510091215974,2,2,False,False
Search whois,qwen3.8-2.4t-a95b-fp8,cost_free,f1,0.6411018175724058,0.6411018175724058,4,4,False,False
Search whois,deepseek-v4-flash-0731,cost_free,f1,0.498340874811463,0.49834087481146305,6,6,False,False
Search whois,gpt-5.6-sol,cost_free,f1,0.6278280542986425,0.6278280542986425,5,5,False,False
Search whois,gemini-3.8-flash-medium,cost_free,f1,0.7386339151045034,0.7386339151045034,1,1,False,False
Search whois,kimi-k3,cost_moderate,f1,0.5730039024156671,0.5730039024156671,5,5,False,False
Search whois,glm-5.3,cost_moderate,f1,0.642842148105306,0.642842148105306,1,1,False,False
Search whois,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1,0.6112834877540759,0.611283487754076,3,3,False,False
Search whois,deepseek-v4-flash-0731,cost_moderate,f1,0.4974861739567622,0.4974861739567622,6,6,False,False
Search whois,gpt-5.6-sol,cost_moderate,f1,0.5974861739567622,0.5974861739567622,4,4,False,False
Search whois,gemini-3.8-flash-medium,cost_moderate,f1,0.6276652541358424,0.6276652541358424,2,2,False,False
Search whois,kimi-k3,cost_tight,f1,0.17013574660633485,0.17013574660633485,5,5,False,False
Search whois,glm-5.3,cost_tight,f1,0.23057530704589527,0.23057530704589527,1,1,False,False
Search whois,qwen3.8-2.4t-a95b-fp8,cost_tight,f1,0.22569130216189043,0.2256913021618904,2,2,False,False
Search whois,deepseek-v4-flash-0731,cost_tight,f1,0.17782805429864254,0.17782805429864254,4,4,False,False
Search whois,gpt-5.6-sol,cost_tight,f1,0.17013574660633485,0.17013574660633485,5,5,False,False
Search whois,gemini-3.8-flash-medium,cost_tight,f1,0.20432378079436903,0.20432378079436903,3,3,False,False
Search whatis,kimi-k3,cost_free,f1,0.6095842882607588,0.6095842882607588,4,4,False,False
Search whatis,glm-5.3,cost_free,f1,0.6149144972674384,0.6149144972674384,3,3,False,False
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_free,f1,0.5131033182503771,0.513103318250377,5,5,False,False
Search whatis,deepseek-v4-flash-0731,cost_free,f1,0.36907308377896614,0.36907308377896614,6,6,False,False
Search whatis,gpt-5.6-sol,cost_free,f1,0.6542057999670456,0.6542057999670456,2,2,False,False
Search whatis,gemini-3.8-flash-medium,cost_free,f1,0.6992695117262592,0.6992695117262592,1,1,False,False
Search whatis,kimi-k3,cost_moderate,f1,0.4080341227400051,0.4080341227400051,3,4,True,False
Search whatis,glm-5.3,cost_moderate,f1,0.40649122119710357,0.41909626321391025,4,3,True,True
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1,0.3934509118332648,0.39345091183326475,5,5,False,False
Search whatis,deepseek-v4-flash-0731,cost_moderate,f1,0.33351648351648355,0.3335164835164835,6,6,False,False
Search whatis,gpt-5.6-sol,cost_moderate,f1,0.45387700534759357,0.45387700534759357,2,2,False,False
Search whatis,gemini-3.8-flash-medium,cost_moderate,f1,0.4613197260256084,0.4613197260256084,1,1,False,False
Search whatis,kimi-k3,cost_tight,f1,0.14313725490196078,0.14313725490196078,4,4,False,False
Search whatis,glm-5.3,cost_tight,f1,0.1484848484848485,0.1484848484848485,2,2,False,False
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_tight,f1,0.13770053475935828,0.13770053475935828,6,6,False,False
