model,target_beta,baseline_beta,direction,paired_expected,old_mean_f1_difference,new_mean_f1_difference,delta_difference,historical_cohort_comparison,provider_cohort_change
gpt,1,20,target minus beta20,39,-0.5642749407455291,-0.5642749407455291,0.0,False,False
gpt,5,20,target minus beta20,39,-0.2639804639804641,-0.2639804639804641,0.0,False,False
gpt,10,20,target minus beta20,39,-0.03516483516483537,-0.03516483516483537,0.0,True,False
gpt,15,20,target minus beta20,39,-0.0009768009768010844,-0.0009768009768010844,0.0,False,False
kimi,1,20,target minus beta20,39,-0.5751011515717398,-0.5751011515717398,0.0,False,False
kimi,5,20,target minus beta20,39,-0.3215710215710215,-0.3215710215710215,0.0,False,False
kimi,10,20,target minus beta20,39,-0.07047331753214114,-0.07047331753214114,0.0,True,False
kimi,15,20,target minus beta20,39,0.008547008547008517,0.008547008547008517,0.0,False,False
glm,1,20,target minus beta20,39,-0.6133404051956088,-0.6133404051956088,0.0,False,False
glm,5,20,target minus beta20,39,-0.32779784318245864,-0.32779784318245864,0.0,False,False
glm,10,20,target minus beta20,39,-0.04742133401337989,-0.04742133401337989,0.0,True,False
glm,15,20,target minus beta20,39,-0.0323377477223632,-0.0323377477223632,0.0,False,False
qwen,1,20,target minus beta20,39,-0.542256218726807,-0.542256218726807,0.0,False,False
qwen,5,20,target minus beta20,39,-0.2370888370888371,-0.2370888370888371,0.0,False,False
qwen,10,20,target minus beta20,39,-0.0036223036223035354,-0.0036223036223035354,0.0,True,False
qwen,15,20,target minus beta20,39,-0.0027676027676027948,-0.0027676027676027948,0.0,False,False
deepseek,1,20,target minus beta20,39,-0.5565641330347212,-0.5565641330347212,0.0,False,False
deepseek,5,20,target minus beta20,39,-0.27226477226477225,-0.27226477226477225,0.0,False,False
deepseek,10,20,target minus beta20,39,-0.11463351463351468,-0.11463351463351468,0.0,True,False
deepseek,15,20,target minus beta20,39,0.0090132090132089,0.0090132090132089,0.0,False,False
gemini,1,20,target minus beta20,39,-0.6371515195044607,-0.6371515195044607,0.0,False,False
gemini,5,20,target minus beta20,39,-0.3234667293490823,-0.3234667293490823,0.0,False,False
gemini,10,20,target minus beta20,39,-0.0966657525481055,-0.0966657525481055,0.0,True,True
gemini,15,20,target minus beta20,39,-0.05342903757226014,-0.05342903757226014,0.0,False,False
