model,regime,source,question_id,score,unique_visible_articles,attempted_feedback,termination_reason,trace_path,trace_sha256,selection,candidate_count
deepseek-v4-flash-0731,cost_tight,phantom_seed2,14,0.5,3,5,time_budget_exceeded,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2b5b372381d4ea08ef5574d40795ffacd40ab0363a88b6507f5fef5dfd79b03d/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_14_r0_s2200.json,e94110a7deb6aa6480988d97e8d5991970b3b0508ff5cb1924fc202e09f976d8,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,64
deepseek-v4-flash-0731,cost_free,phantom_seed2,31,0.33333333333333337,7,15,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_aca1fc0fcf26429d7fe012568d245094fde329ff77decfcac31b8da9a222557c/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_31_r0_s2200.json,17db59b1fddfe0b0a284f775fe0199e00b4cb7a959a0e89172d58edd1893f065,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,19
gemini-3.8-flash-medium,cost_tight,phantom_seed2,7,0.0,3,4,time_budget_exceeded,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_a10afc0296efd9d8454e6fa680dc61d6663f69727a488eab879d5f5611da76ab/result/gemini-3.8-flash-medium_cost_tight/traces-v2/restricted_search_phantom_seed2_7_r0_s2200.json,b856f61901136d7daccc04956619d4ae5d3bccd68aeb4bed89913fa58c428c85,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,61
gemini-3.8-flash-medium,cost_free,phantom_seed2,15,0.0,17,19,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_9f9d3a104db9f22f5eb3b9eacf34467153cc2961f5edf03fea4ac81c057e4435/result/gemini-3.8-flash-medium_cost_free/traces-v2/restricted_search_phantom_seed2_15_r0_s2200.json,a2073e8589b96ab594b3c34ae10406e5763f1b8875323fbeef7dbaa7507546d2,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,6
glm-5.3,cost_tight,phantom_seed2,11,0.0,3,4,time_budget_exceeded,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/results/restart-20260909-v5-glm-5.3-formal/glm-5.3/outer_00000/expgym/restricted_search/phantom_seed2-q11/cost_tight/single/glm-5.3_cost_tight/traces-v2/restricted_search_phantom_seed2_11_r0_s2200.json,00b17142b5a99393c9c9cf8210afc730f394b4441e425013210956558f278bb0,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,64
glm-5.3,cost_free,phantom_seed3,14,0.6666666666666666,9,9,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/results/restart-20260909-v5-glm-5.3-formal/glm-5.3/outer_00000/expgym/restricted_search/phantom_seed3-q14/cost_free/single/glm-5.3_cost_free/traces-v2/restricted_search_phantom_seed3_14_r0_s2200.json,ad96080af9a8b8c72b2da2749be5bbe3c64827400999c59b6aa95adcafa8cea4,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,14
gpt-5.6-sol,cost_tight,phantom_seed2,1,0.0,3,5,time_budget_exceeded,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/gpt56sol_medium_refmatrix_20260910_v1/invocations/job_7ca475f40700e120c1223150d159b1e453c6dd076ebbcd9c51f9ef1a65fdb137/result/gpt-5.6-sol_cost_tight/traces-v2/restricted_search_phantom_seed2_1_r0_s2200.json,7afa5d0d8034700771e96cc505d63a687dbb12d92a80812ef0effd6c6141ffd4,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,54
gpt-5.6-sol,cost_free,phantom_seed2,34,0.16666666666666669,6,6,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/gpt56sol_medium_refmatrix_20260910_v1/invocations/job_8703c5d713e3f569ed6fd8829a6d25e442451cce65586791cbda0691d23b169a/result/gpt-5.6-sol_cost_free/traces-v2/restricted_search_phantom_seed2_34_r0_s2200.json,a7ca7cff52b69e8016afdb7171fec066a5f0e8a1e9ed976f7d154ab7dbf23dbc,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,29
kimi-k3,cost_tight,phantom_seed3,35,0.0,2,3,time_budget_exceeded,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/expgym/restricted_search/phantom_seed3-q35/cost_tight/single/kimi-k3_cost_tight/traces-v2/restricted_search_phantom_seed3_35_r0_s2200.json,03f9b807bafe54b7b920c955bfc9906444db5196acc95e3ac9521a7e02764f1f,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,58
kimi-k3,cost_free,phantom_seed3,36,0.18181818181818182,9,12,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/expgym/restricted_search/phantom_seed3-q36/cost_free/single/kimi-k3_cost_free/traces-v2/restricted_search_phantom_seed3_36_r0_s2200.json,e4b98eee82acb601170b7c43caa2c383409a3644f9bd5cccae166e5e12d9cb3e,upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,27
