conclusion,historical,new,unit,status,evidence,old_identity,new_identity
N1 restricted_search Free-to-Tight declined models,6,6,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 restricted_search Free-to-Tight unchanged models,0,0,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 restricted_search Free-to-Tight improved models,0,0,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 evidence_audit Free-to-Tight declined models,6,6,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 evidence_audit Free-to-Tight unchanged models,0,0,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 evidence_audit Free-to-Tight improved models,0,0,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 tuning Free-to-Tight declined models,5,5,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 tuning Free-to-Tight unchanged models,0,0,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
N1 tuning Free-to-Tight improved models,1,1,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT all above both baselines,31,31,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT tight above both baselines,17,17,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whois cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whois cost_moderate highest mean,glm-5.3,glm-5.3,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whois cost_tight highest mean,glm-5.3,glm-5.3,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whatis cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whatis cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whatis cost_tight highest mean,deepseek-v4-flash-0731,deepseek-v4-flash-0731,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit EA cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit EA cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit EA cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit LA cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit LA cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit LA cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
ParamNet cost_free highest mean,gpt-5.6-sol,gpt-5.6-sol,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
ParamNet cost_moderate highest mean,gpt-5.6-sol,gpt-5.6-sol,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
ParamNet cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS101 cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS101 cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS101 cost_tight highest mean,gpt-5.6-sol,gpt-5.6-sol,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS201 cost_free highest mean,kimi-k3,kimi-k3,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS201 cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS201 cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,,保持,main/FINDINGS.json,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whois selection regret_min,2.6251526251526265,2.6251526251526265,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whois selection regret_max,2.6251526251526265,2.6251526251526265,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whatis selection regret_min,1.0784313725490193,1.0784313725490193,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search whatis selection regret_max,1.0784313725490193,1.0784313725490193,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit EA selection regret_min,0.0,0.0,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit EA selection regret_max,0.0,0.0,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit LA selection regret_min,0.0,0.0,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit LA selection regret_max,0.0,0.0,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
ParamNet selection regret_min,4.389786954654312,4.389786954654312,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
ParamNet selection regret_max,4.389786954654312,4.389786954654312,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS101 selection regret_min,0.41029384715054107,0.41029384715054107,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS101 selection regret_max,0.41029384715054107,0.41029384715054107,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS201 selection regret_min,0.20895772213368957,0.20895772213368957,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
NAS201 selection regret_max,0.20895772213368957,0.20895772213368957,reported points,保持,display/dimension_selection.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench101:A regret_min,2.3208917440148014,2.3208917440148014,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench101:A regret_max,2.3208917440148014,2.3208917440148014,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench101:B regret_min,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench101:B regret_max,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench101:C regret_min,0.3248940181360922,0.3248940181360922,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench101:C regret_max,0.3248940181360922,0.3248940181360922,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench201:cifar10-valid regret_min,1.9877178140526865,1.9877178140526865,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench201:cifar10-valid regret_max,7.448358424481455,7.448358424481455,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench201:cifar100 regret_min,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench201:cifar100 regret_max,1.1011490911204618,1.1011490911204618,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench201:imagenet16-120 regret_min,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:nasbench201:imagenet16-120 regret_max,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:paramnet:adult:steps regret_min,15.218399224359985,15.218399224359985,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:paramnet:adult:steps regret_max,15.218399224359985,15.218399224359985,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:paramnet:higgs:steps regret_min,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:paramnet:higgs:steps regret_max,0.0,0.0,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:paramnet:letter:steps regret_min,1.1329836653100642,1.1329836653100642,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
hpobench:paramnet:letter:steps regret_max,1.1329836653100642,1.1329836653100642,Gap points,保持,display/hpo_task_regret.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:evidence_audit:cost_moderate gain over naive,24.886877828054295,24.886877828054295,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:evidence_audit:cost_moderate gain over cached,22.17194570135746,22.17194570135746,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:evidence_audit:cost_tight gain over naive,9.502262443438916,9.502262443438916,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:evidence_audit:cost_tight gain over cached,9.502262443438916,9.049773755656112,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:restricted_search:cost_moderate gain over naive,1.0541310541310551,1.0541310541310551,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:restricted_search:cost_moderate gain over cached,-0.47397047397047487,-0.47397047397047487,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:restricted_search:cost_tight gain over naive,4.876822523881348,4.876822523881348,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:restricted_search:cost_tight gain over cached,3.167420814479639,3.1674208144796383,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:tuning:cost_moderate gain over naive,2.0141528010368006,2.0141528010368006,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:tuning:cost_moderate gain over cached,2.4733475739720348,2.4733475739720348,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:tuning:cost_tight gain over naive,12.088968404780957,12.088968404780957,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT deepseek-v4-flash-0731:tuning:cost_tight gain over cached,12.308185363208693,12.308185363208693,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:evidence_audit:cost_moderate gain over naive,17.194570135746602,16.7420814479638,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:evidence_audit:cost_moderate gain over cached,10.407239819004516,9.049773755656105,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:evidence_audit:cost_tight gain over naive,4.977375565610856,4.9773755656108705,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:evidence_audit:cost_tight gain over cached,2.262443438914019,2.2624434389140333,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:restricted_search:cost_moderate gain over naive,2.8408628408628402,2.8408628408628402,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:restricted_search:cost_moderate gain over cached,-0.06512006512006963,-0.06512006512005541,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:restricted_search:cost_tight gain over naive,12.967032967032964,12.967032967032964,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:restricted_search:cost_tight gain over cached,12.500832500832495,12.500832500832495,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:tuning:cost_moderate gain over naive,0.015955740800890794,0.015955740800890794,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:tuning:cost_moderate gain over cached,0.01647644558691752,0.01647644558691752,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:tuning:cost_tight gain over naive,1.640165345611436,1.640165345611436,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gemini-3.8-flash-medium:tuning:cost_tight gain over cached,1.5259745293500373,1.5259745293500373,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:evidence_audit:cost_moderate gain over naive,16.7420814479638,16.7420814479638,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:evidence_audit:cost_moderate gain over cached,13.122171945701353,14.932126696832569,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:evidence_audit:cost_tight gain over naive,15.83710407239819,16.7420814479638,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:evidence_audit:cost_tight gain over cached,16.289592760180994,17.194570135746602,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:restricted_search:cost_moderate gain over naive,3.7140637140637125,3.7140637140637125,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:restricted_search:cost_moderate gain over cached,0.0693750693750701,0.0693750693750701,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:restricted_search:cost_tight gain over naive,9.145299145299145,9.145299145299145,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:restricted_search:cost_tight gain over cached,9.145299145299145,9.145299145299145,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:tuning:cost_moderate gain over naive,1.092498217859017,1.092498217859017,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:tuning:cost_moderate gain over cached,0.9044949435070322,0.9044949435070322,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:tuning:cost_tight gain over naive,8.40153548753139,8.40153548753139,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT glm-5.3:tuning:cost_tight gain over cached,7.760288870120405,7.760288870120405,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:evidence_audit:cost_moderate gain over naive,2.714932126696837,2.714932126696837,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:evidence_audit:cost_moderate gain over cached,2.2624434389140333,2.2624434389140333,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:evidence_audit:cost_tight gain over naive,10.85972850678732,10.85972850678732,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:evidence_audit:cost_tight gain over cached,3.6199095022624377,3.6199095022624377,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:restricted_search:cost_moderate gain over naive,-1.7094017094017104,-1.7094017094017104,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:restricted_search:cost_moderate gain over cached,-3.1746031746031704,-3.1746031746031704,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
