execution_id,model,system,scenario,item,family,regime,strategy,N,outerrep,order,seed,agent_id,execution_complete,score_complete,raw_answer,raw_answer_perf,terminal_status,score_status,missing_final_policy,terminal_origin,answer_score_source,agent_wall_seconds
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{
  ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [44, 49, 50, 53]},
  ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [71]},
  ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [63, 67]},
  ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [76]},
  ""nda-3"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [84, 85, 86]},
  ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [25, 34]},
  ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [45]},
  ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [37, 38]},
  ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [60]},
  ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [60]},
  ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [63, 66]},
  ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [28, 29]},
  ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [37, 38, 55]},
  ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}
}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,528.0652368068695
job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,1,2201,0,True,True,"{
  ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [63, 66]},
  ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [63, 67]},
  ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [84, 85, 86]},
  ""nda-3"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [60]},
  ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [45]},
  ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [25, 34]},
  ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [76]},
  ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [60]},
  ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [44]},
  ""nda-1"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [37, 38, 40]},
  ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [37, 38]},
  ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [71]}
}",0.9411764705882353,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,584.6341574192047
job_130891d7e87217ae6452250b4ba425db396d26e5a4ecd2c02e324f2454f4b36a,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,2,2202,0,True,True,"{
  ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [76]},
  ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [71]},
  ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [63, 67]},
  ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [25]},
  ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [84, 85, 86]},
  ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-2"": {""label"": ""Entailment"", ""evidence_ids"": [25, 32]},
  ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [45]},
  ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [60]},
  ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [38, 40]},
  ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [63, 66]},
  ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [38]},
  ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [59]},
  ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [44]},
  ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [25]}
}",0.8823529411764706,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,550.6457552909851
job_55e240d370874cc773e54b8eeb4dc648791c29a008458e6796427dc8b7b8f591,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc2,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [20]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [48]}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [33, 37, 64]}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [27, 86]}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [15]}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [15, 16, 17]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [57]}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [23]}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-11"": {""label"": ""Entailment"", ""evidence_ids"": [24]}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [44]}, ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [33, 36, 64]}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [18]}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [22]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}}",0.8823529411764706,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,400.41225838661194
job_92f0958ff9f8219c3c578dc0b3a3425763b0fff1927ed3465334a8fe92e5adbd,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc2,evidence_audit,cost_free,single,1,0,1,2201,0,True,True,"{""nda-11"": {""label"": ""Entailment"", ""evidence_ids"": [24]}, ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [33, 36, 64]}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [33, 37, 64]}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [15]}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [57]}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [18]}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [27, 86]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [20]}, ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [15, 16, 17]}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [22, 23]}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [22]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [48]}}",0.8823529411764706,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,281.15747117996216
job_5182ac97b48eda85a37286fabbb897e2b252da36aa9bc90b382ad8c45f3010b6,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc2,evidence_audit,cost_free,single,1,0,2,2202,0,True,True,"{""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [27, 86]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [48]}, ""nda-11"": {""label"": ""Entailment"", ""evidence_ids"": [24]}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [33, 37, 64]}, ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [15, 16, 17]}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [18]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [57]}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [23]}, ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [33, 36, 64]}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [22]}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [44]}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [20]}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [15]}}",0.8823529411764706,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,240.42653632164001
job_a6af06b0f74051259805d7b26fdc043bc48f254dc58afc8c9514763eed6deffc,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc4,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [7]}, ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [7]}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [5]}, ""nda-5"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-7"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-8"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [12]}, ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [13]}, ""nda-20"": {""label"": ""Contradiction"", ""evidence_ids"": [11]}}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,858.7734606266022
job_c28b65d868b196f893428b09fa23b86107055014b26305360b173a4175b21742,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc4,evidence_audit,cost_free,single,1,0,1,2201,0,True,True,"{
  ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [7]},
  ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [12]},
  ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [13]},
  ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-20"": {""label"": ""Contradiction"", ""evidence_ids"": [11]},
  ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [5]},
  ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [7]},
  ""nda-7"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-5"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-8"": {""label"": ""NotMentioned"", ""evidence_ids"": []}
}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,454.89975810050964
job_11ae63b40cdf5c6838fd16693340f3159af1985ee02b1ba9c6d32c672889be46,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc4,evidence_audit,cost_free,single,1,0,2,2202,0,True,True,"{
  ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [13]},
  ""nda-8"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [7]},
  ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [12]},
  ""nda-20"": {""label"": ""Contradiction"", ""evidence_ids"": [11]},
  ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-7"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-5"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [5]},
  ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [7]}
}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,625.5494918823242
job_8251a9e405507c5e1cd77dac327456d80e373b8c8cf902576f3d376d48b28c3d,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc5,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-10"": {""label"": ""Entailment"", ""evidence_ids"": [5, 9]}, ""nda-4"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [21]}, ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-19"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [5, 6]}, ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-1"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-15"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [3]}, ""nda-20"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [3]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}}",0.9411764705882353,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,377.7510418891907
