model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,analysis_unit,repeat
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,evidence_acc,fraction,1,13,13,0,13,13,1,1,0.6395173453996983,0.6395173453996983,deepseek_original,slot_scalars.csv,"[""05de8e772e53af8f9f1a40d6"", ""13801e8fc8d8f749cabd2a65"", ""13d661ba6d4943df2bffbcae"", ""16661a382899189771e7624b"", ""19193789061d527701784c53"", ""19817686cb8d6cd6df2460ad"", ""1c9b1e6e57bb2810e4289647"", ""1f5ad7f5766bd28b4d63617d"", ""2ffc40e9fd1b73f2841e5acf"", ""34c8519d9ac7e26afa899a9e"", ""3acf599ce8059fb8cc4badfc"", ""3d5665bd363c2d70c0ff2a76"", ""3f42c6d29761ee5375eeac72"", ""4af6a2e4232e9d3ec61ae989"", ""4bc6433807e7a491ec0881a9"", ""5a1e62993e145d5a47809487"", ""5a9508756bb11b6f0edb7c6c"", ""63f323b7dd8e500d39134cb3"", ""67157c72625359b71d653c9c"", ""7135de92beef6bd20c7ee1f6"", ""730cc42d769eb84a8c01f776"", ""7e17f4ab23f22c65b0b987d8"", ""7e6507ffbc87bbb214732f5e"", ""92e65d20d48627574b9fc1a4"", ""93aa3fc23dedc57618a70392"", ""960ead1ec1ad7385a403f031"", ""97ee48f6181ec0fd1a3f860d"", ""9d63dd75dce6fee2b76604f3"", ""a3bcb8a213723c5491f29d1a"", ""a50c7f478b98947f3e26ab5c"", ""b6308e69838ae6d45da45b4d"", ""c78ae04e231c8b522439dcd2"", ""d3373a7f2a58802e9166fdf1"", ""d7516c8b7b723cb235036566"", ""e7adf01cd8cebd93935274af"", ""ed01f48bff576375491f2510"", ""f73094974758bb6de4836362"", ""f8b93f936dc35914d4fd0577"", ""ffcb699add103836ea12a816""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,label_acc,fraction,1,13,13,0,13,13,1,1,0.6681749622926093,0.6681749622926093,deepseek_original,slot_scalars.csv,"[""05de8e772e53af8f9f1a40d6"", ""13801e8fc8d8f749cabd2a65"", ""13d661ba6d4943df2bffbcae"", ""16661a382899189771e7624b"", ""19193789061d527701784c53"", ""19817686cb8d6cd6df2460ad"", ""1c9b1e6e57bb2810e4289647"", ""1f5ad7f5766bd28b4d63617d"", ""2ffc40e9fd1b73f2841e5acf"", ""34c8519d9ac7e26afa899a9e"", ""3acf599ce8059fb8cc4badfc"", ""3d5665bd363c2d70c0ff2a76"", ""3f42c6d29761ee5375eeac72"", ""4af6a2e4232e9d3ec61ae989"", ""4bc6433807e7a491ec0881a9"", ""5a1e62993e145d5a47809487"", ""5a9508756bb11b6f0edb7c6c"", ""63f323b7dd8e500d39134cb3"", ""67157c72625359b71d653c9c"", ""7135de92beef6bd20c7ee1f6"", ""730cc42d769eb84a8c01f776"", ""7e17f4ab23f22c65b0b987d8"", ""7e6507ffbc87bbb214732f5e"", ""92e65d20d48627574b9fc1a4"", ""93aa3fc23dedc57618a70392"", ""960ead1ec1ad7385a403f031"", ""97ee48f6181ec0fd1a3f860d"", ""9d63dd75dce6fee2b76604f3"", ""a3bcb8a213723c5491f29d1a"", ""a50c7f478b98947f3e26ab5c"", ""b6308e69838ae6d45da45b4d"", ""c78ae04e231c8b522439dcd2"", ""d3373a7f2a58802e9166fdf1"", ""d7516c8b7b723cb235036566"", ""e7adf01cd8cebd93935274af"", ""ed01f48bff576375491f2510"", ""f73094974758bb6de4836362"", ""f8b93f936dc35914d4fd0577"", ""ffcb699add103836ea12a816""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,evidence_acc,fraction,1,13,13,0,13,13,1,1,0.5867269984917044,0.5867269984917044,deepseek_original,slot_scalars.csv,"[""009520cbf83dcea0966e3c79"", ""050fbe998212b970817c5265"", ""27da5611990cc5790700d341"", ""2bfd1857af17a833b3b8ca16"", ""34cfcbc74b6072c7aba6d563"", ""37a3f9b576b3303bceab446e"", ""40fe5f998bc9f920d9ee4984"", ""4c0690a38a31e8ab690e24b4"", ""4c54bf5afc0435dcc4e156de"", ""533fa27fa6358553c9c0da85"", ""62baee4713820519f6a7aee3"", ""74e7834a5a8f7abfcefc8180"", ""762b1eec62f494686f47c7b7"", ""798f706f793bd1feb91dac94"", ""7a0b19a4262e5d401c3b1388"", ""7a63aac26271026be08489f5"", ""7cd23225eaca1472993ce465"", ""81da13a5b300364f0413f81a"", ""8378b84c3e283d6e15566739"", ""8766ed4b78b2c7bde70661b4"", ""87dbc63f3c8ab66e3ab18bdc"", ""8b1506bf6e9e05919a8e7a6f"", ""8e263b388ea8e0c013a16d90"", ""917d6a198cbab33c4e6c402d"", ""91c5fd90556ef6697db872d1"", ""9e6a4c00e5edf81ccdda6ff4"", ""9f02caa7c24dba70331a95bd"", ""a15e28cca21350241a0bf604"", ""a9296fb1503c202ceb5683be"", ""a979e927c8c42f5a9f7efbb9"", ""b4150cdad91242cd74726405"", ""bf307d6a25557ae5738f4903"", ""c73c16ad35a3dcda900b5a7a"", ""d7423df8205ac2a83165012b"", ""e369ad03eb049c81a69e77e8"", ""ef339f2310964d1a565efa71"", ""f50196fc13713fd8a61e0f74"", ""fc6893c0a9b87371d25f355d"", ""fdada0251594f81ebcf7194e""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,label_acc,fraction,1,13,13,0,13,13,1,1,0.755656108597285,0.755656108597285,deepseek_original,slot_scalars.csv,"[""009520cbf83dcea0966e3c79"", ""050fbe998212b970817c5265"", ""27da5611990cc5790700d341"", ""2bfd1857af17a833b3b8ca16"", ""34cfcbc74b6072c7aba6d563"", ""37a3f9b576b3303bceab446e"", ""40fe5f998bc9f920d9ee4984"", ""4c0690a38a31e8ab690e24b4"", ""4c54bf5afc0435dcc4e156de"", ""533fa27fa6358553c9c0da85"", ""62baee4713820519f6a7aee3"", ""74e7834a5a8f7abfcefc8180"", ""762b1eec62f494686f47c7b7"", ""798f706f793bd1feb91dac94"", ""7a0b19a4262e5d401c3b1388"", ""7a63aac26271026be08489f5"", ""7cd23225eaca1472993ce465"", ""81da13a5b300364f0413f81a"", ""8378b84c3e283d6e15566739"", ""8766ed4b78b2c7bde70661b4"", ""87dbc63f3c8ab66e3ab18bdc"", ""8b1506bf6e9e05919a8e7a6f"", ""8e263b388ea8e0c013a16d90"", ""917d6a198cbab33c4e6c402d"", ""91c5fd90556ef6697db872d1"", ""9e6a4c00e5edf81ccdda6ff4"", ""9f02caa7c24dba70331a95bd"", ""a15e28cca21350241a0bf604"", ""a9296fb1503c202ceb5683be"", ""a979e927c8c42f5a9f7efbb9"", ""b4150cdad91242cd74726405"", ""bf307d6a25557ae5738f4903"", ""c73c16ad35a3dcda900b5a7a"", ""d7423df8205ac2a83165012b"", ""e369ad03eb049c81a69e77e8"", ""ef339f2310964d1a565efa71"", ""f50196fc13713fd8a61e0f74"", ""fc6893c0a9b87371d25f355d"", ""fdada0251594f81ebcf7194e""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_tight,single,evidence_acc,fraction,1,13,13,0,13,13,1,1,0.4751131221719457,0.4751131221719457,deepseek_original,slot_scalars.csv,"[""167d06ea61fccd037cc2dec4"", ""2093b5f0907fc904da961adb"", ""25cb54bf12d79de9af424a62"", ""27f872b588f3cde9830513e8"", ""3087d2ad05b8ac84b6ec0e55"", ""308c8e9a376c8f4d428cb014"", ""3281d4637e9b5305dbe96329"", ""336cbd5de3588b7768f3021d"", ""3e459157350465cd8c5bb1c2"", ""424c1bf2440afd43cd1ab97f"", ""46650b884985577f3ad4909e"", ""481075ddc97608aee9a3996f"", ""4981054255a1237b3346122e"", ""4fc329468625d8f9d1bed4cd"", ""5cd0658074e17b1e2fddd7d9"", ""5e6e68d9e3a6b4646da4f94a"", ""66410eeca3df84b81a026300"", ""6ebdeb6164e66ec0a116b779"", ""712190650d80b377eac19700"", ""718174e02e353fc2a9d208a3"", ""77b203b787347ca462957d67"", ""7a393b24b9759fc82447eca7"", ""828daa41dc82cf9d6cb2c26f"", ""910bcf7c14d33a7314d97a49"", ""9be24d9d165d50529d8abdd0"", ""a9d05f523f83e96a5ff4a30a"", ""abdd4fcf3776c1d0f996dfde"", ""ad940c9f61e948b233df538d"", ""adc5d717d22da7dd5bb75303"", ""afc90167cd0b5992f845383e"", ""bb93859edd5406d4b9631cf1"", ""bcfba699dfaa169c22f5f594"", ""c133c832c03db78a0602e2ff"", ""dde922f43d40e0cfc2f92d65"", ""df70ef136137b44bc2964e66"", ""e4e35a791aaa66a8e841836f"", ""eca24fa65f8f01d72bd6a3d2"", ""fc2bbd130daf7142e015c60f"", ""fd1d022b9bd3f4ca527fff79""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_tight,single,label_acc,fraction,1,13,13,0,13,13,1,1,0.702865761689291,0.702865761689291,deepseek_original,slot_scalars.csv,"[""167d06ea61fccd037cc2dec4"", ""2093b5f0907fc904da961adb"", ""25cb54bf12d79de9af424a62"", ""27f872b588f3cde9830513e8"", ""3087d2ad05b8ac84b6ec0e55"", ""308c8e9a376c8f4d428cb014"", ""3281d4637e9b5305dbe96329"", ""336cbd5de3588b7768f3021d"", ""3e459157350465cd8c5bb1c2"", ""424c1bf2440afd43cd1ab97f"", ""46650b884985577f3ad4909e"", ""481075ddc97608aee9a3996f"", ""4981054255a1237b3346122e"", ""4fc329468625d8f9d1bed4cd"", ""5cd0658074e17b1e2fddd7d9"", ""5e6e68d9e3a6b4646da4f94a"", ""66410eeca3df84b81a026300"", ""6ebdeb6164e66ec0a116b779"", ""712190650d80b377eac19700"", ""718174e02e353fc2a9d208a3"", ""77b203b787347ca462957d67"", ""7a393b24b9759fc82447eca7"", ""828daa41dc82cf9d6cb2c26f"", ""910bcf7c14d33a7314d97a49"", ""9be24d9d165d50529d8abdd0"", ""a9d05f523f83e96a5ff4a30a"", ""abdd4fcf3776c1d0f996dfde"", ""ad940c9f61e948b233df538d"", ""adc5d717d22da7dd5bb75303"", ""afc90167cd0b5992f845383e"", ""bb93859edd5406d4b9631cf1"", ""bcfba699dfaa169c22f5f594"", ""c133c832c03db78a0602e2ff"", ""dde922f43d40e0cfc2f92d65"", ""df70ef136137b44bc2964e66"", ""e4e35a791aaa66a8e841836f"", ""eca24fa65f8f01d72bd6a3d2"", ""fc2bbd130daf7142e015c60f"", ""fd1d022b9bd3f4ca527fff79""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,cost_free,single,evidence_acc,fraction,1,13,13,0,13,13,1,1,0.6395173453996983,0.6395173453996983,deepseek_original,slot_scalars.csv,"[""05de8e772e53af8f9f1a40d6"", ""13801e8fc8d8f749cabd2a65"", ""13d661ba6d4943df2bffbcae"", ""16661a382899189771e7624b"", ""19193789061d527701784c53"", ""19817686cb8d6cd6df2460ad"", ""1c9b1e6e57bb2810e4289647"", ""1f5ad7f5766bd28b4d63617d"", ""2ffc40e9fd1b73f2841e5acf"", ""34c8519d9ac7e26afa899a9e"", ""3acf599ce8059fb8cc4badfc"", ""3d5665bd363c2d70c0ff2a76"", ""3f42c6d29761ee5375eeac72"", ""4af6a2e4232e9d3ec61ae989"", ""4bc6433807e7a491ec0881a9"", ""5a1e62993e145d5a47809487"", ""5a9508756bb11b6f0edb7c6c"", ""63f323b7dd8e500d39134cb3"", ""67157c72625359b71d653c9c"", ""7135de92beef6bd20c7ee1f6"", ""730cc42d769eb84a8c01f776"", ""7e17f4ab23f22c65b0b987d8"", ""7e6507ffbc87bbb214732f5e"", ""92e65d20d48627574b9fc1a4"", ""93aa3fc23dedc57618a70392"", ""960ead1ec1ad7385a403f031"", ""97ee48f6181ec0fd1a3f860d"", ""9d63dd75dce6fee2b76604f3"", ""a3bcb8a213723c5491f29d1a"", ""a50c7f478b98947f3e26ab5c"", ""b6308e69838ae6d45da45b4d"", ""c78ae04e231c8b522439dcd2"", ""d3373a7f2a58802e9166fdf1"", ""d7516c8b7b723cb235036566"", ""e7adf01cd8cebd93935274af"", ""ed01f48bff576375491f2510"", ""f73094974758bb6de4836362"", ""f8b93f936dc35914d4fd0577"", ""ffcb699add103836ea12a816""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,cost_free,single,label_acc,fraction,1,13,13,0,13,13,1,1,0.6681749622926093,0.6681749622926093,deepseek_original,slot_scalars.csv,"[""05de8e772e53af8f9f1a40d6"", ""13801e8fc8d8f749cabd2a65"", ""13d661ba6d4943df2bffbcae"", ""16661a382899189771e7624b"", ""19193789061d527701784c53"", ""19817686cb8d6cd6df2460ad"", ""1c9b1e6e57bb2810e4289647"", ""1f5ad7f5766bd28b4d63617d"", ""2ffc40e9fd1b73f2841e5acf"", ""34c8519d9ac7e26afa899a9e"", ""3acf599ce8059fb8cc4badfc"", ""3d5665bd363c2d70c0ff2a76"", ""3f42c6d29761ee5375eeac72"", ""4af6a2e4232e9d3ec61ae989"", ""4bc6433807e7a491ec0881a9"", ""5a1e62993e145d5a47809487"", ""5a9508756bb11b6f0edb7c6c"", ""63f323b7dd8e500d39134cb3"", ""67157c72625359b71d653c9c"", ""7135de92beef6bd20c7ee1f6"", ""730cc42d769eb84a8c01f776"", ""7e17f4ab23f22c65b0b987d8"", ""7e6507ffbc87bbb214732f5e"", ""92e65d20d48627574b9fc1a4"", ""93aa3fc23dedc57618a70392"", ""960ead1ec1ad7385a403f031"", ""97ee48f6181ec0fd1a3f860d"", ""9d63dd75dce6fee2b76604f3"", ""a3bcb8a213723c5491f29d1a"", ""a50c7f478b98947f3e26ab5c"", ""b6308e69838ae6d45da45b4d"", ""c78ae04e231c8b522439dcd2"", ""d3373a7f2a58802e9166fdf1"", ""d7516c8b7b723cb235036566"", ""e7adf01cd8cebd93935274af"", ""ed01f48bff576375491f2510"", ""f73094974758bb6de4836362"", ""f8b93f936dc35914d4fd0577"", ""ffcb699add103836ea12a816""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,cost_moderate,single,evidence_acc,fraction,1,13,13,0,13,13,1,1,0.5867269984917044,0.5867269984917044,deepseek_original,slot_scalars.csv,"[""009520cbf83dcea0966e3c79"", ""050fbe998212b970817c5265"", ""27da5611990cc5790700d341"", ""2bfd1857af17a833b3b8ca16"", ""34cfcbc74b6072c7aba6d563"", ""37a3f9b576b3303bceab446e"", ""40fe5f998bc9f920d9ee4984"", ""4c0690a38a31e8ab690e24b4"", ""4c54bf5afc0435dcc4e156de"", ""533fa27fa6358553c9c0da85"", ""62baee4713820519f6a7aee3"", ""74e7834a5a8f7abfcefc8180"", ""762b1eec62f494686f47c7b7"", ""798f706f793bd1feb91dac94"", ""7a0b19a4262e5d401c3b1388"", ""7a63aac26271026be08489f5"", ""7cd23225eaca1472993ce465"", ""81da13a5b300364f0413f81a"", ""8378b84c3e283d6e15566739"", ""8766ed4b78b2c7bde70661b4"", ""87dbc63f3c8ab66e3ab18bdc"", ""8b1506bf6e9e05919a8e7a6f"", ""8e263b388ea8e0c013a16d90"", ""917d6a198cbab33c4e6c402d"", ""91c5fd90556ef6697db872d1"", ""9e6a4c00e5edf81ccdda6ff4"", ""9f02caa7c24dba70331a95bd"", ""a15e28cca21350241a0bf604"", ""a9296fb1503c202ceb5683be"", ""a979e927c8c42f5a9f7efbb9"", ""b4150cdad91242cd74726405"", ""bf307d6a25557ae5738f4903"", ""c73c16ad35a3dcda900b5a7a"", ""d7423df8205ac2a83165012b"", ""e369ad03eb049c81a69e77e8"", ""ef339f2310964d1a565efa71"", ""f50196fc13713fd8a61e0f74"", ""fc6893c0a9b87371d25f355d"", ""fdada0251594f81ebcf7194e""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,cost_moderate,single,label_acc,fraction,1,13,13,0,13,13,1,1,0.755656108597285,0.755656108597285,deepseek_original,slot_scalars.csv,"[""009520cbf83dcea0966e3c79"", ""050fbe998212b970817c5265"", ""27da5611990cc5790700d341"", ""2bfd1857af17a833b3b8ca16"", ""34cfcbc74b6072c7aba6d563"", ""37a3f9b576b3303bceab446e"", ""40fe5f998bc9f920d9ee4984"", ""4c0690a38a31e8ab690e24b4"", ""4c54bf5afc0435dcc4e156de"", ""533fa27fa6358553c9c0da85"", ""62baee4713820519f6a7aee3"", ""74e7834a5a8f7abfcefc8180"", ""762b1eec62f494686f47c7b7"", ""798f706f793bd1feb91dac94"", ""7a0b19a4262e5d401c3b1388"", ""7a63aac26271026be08489f5"", ""7cd23225eaca1472993ce465"", ""81da13a5b300364f0413f81a"", ""8378b84c3e283d6e15566739"", ""8766ed4b78b2c7bde70661b4"", ""87dbc63f3c8ab66e3ab18bdc"", ""8b1506bf6e9e05919a8e7a6f"", ""8e263b388ea8e0c013a16d90"", ""917d6a198cbab33c4e6c402d"", ""91c5fd90556ef6697db872d1"", ""9e6a4c00e5edf81ccdda6ff4"", ""9f02caa7c24dba70331a95bd"", ""a15e28cca21350241a0bf604"", ""a9296fb1503c202ceb5683be"", ""a979e927c8c42f5a9f7efbb9"", ""b4150cdad91242cd74726405"", ""bf307d6a25557ae5738f4903"", ""c73c16ad35a3dcda900b5a7a"", ""d7423df8205ac2a83165012b"", ""e369ad03eb049c81a69e77e8"", ""ef339f2310964d1a565efa71"", ""f50196fc13713fd8a61e0f74"", ""fc6893c0a9b87371d25f355d"", ""fdada0251594f81ebcf7194e""]",2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,official-protocol-repair-v1,document_mean_3_fixed_orders,0
