model,doc_index,order,hypothesis,gold_evidence_ids,free_first_partial_and_tight_final_ids,free_feedback_calls,free_exact_feedback_seen,free_trace,tight_trace
deepseek-v4-flash-0731,11,0,nda-10,"[33, 34, 35, 37, 38, 39]",[39],8,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_06583c2b1026b83051ad653b5e53088a4c0167cb87fffb8455989fc42a1cd090/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_95f5f1cecdd639703c4bab237db147b8cfeec0d247f929c1923ae31856f419b0/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
deepseek-v4-flash-0731,11,0,nda-12,"[47, 48, 52]",[52],3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_06583c2b1026b83051ad653b5e53088a4c0167cb87fffb8455989fc42a1cd090/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_95f5f1cecdd639703c4bab237db147b8cfeec0d247f929c1923ae31856f419b0/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
deepseek-v4-flash-0731,11,0,nda-3,"[11, 12]",[12],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_06583c2b1026b83051ad653b5e53088a4c0167cb87fffb8455989fc42a1cd090/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_95f5f1cecdd639703c4bab237db147b8cfeec0d247f929c1923ae31856f419b0/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-4,"[31, 33]",[33],3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-8,"[37, 39]",[39],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-12,"[24, 28]",[28],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-19,"[31, 32, 62]",[62],3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-7,"[16, 37, 38]","[16, 38]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-13,"[24, 27]",[27],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
deepseek-v4-flash-0731,8,0,nda-2,"[19, 20, 23]",[23],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
