model,regime,search_f1,audit_ea,hpo_gap0
kimi-k3,cost_free,63.59106490250729,89.4419306184012,98.51291031515852
kimi-k3,cost_moderate,49.616866256672864,68.77828054298642,94.23010363061042
kimi-k3,cost_tight,15.75611066344346,51.58371040723983,89.68371695757193
glm-5.3,cost_free,65.11024967511672,68.47662141779789,97.91114276048467
glm-5.3,cost_moderate,53.276089447682814,67.87330316742081,96.15455969143889
glm-5.3,cost_tight,19.234139483938034,50.2262443438914,86.06688865843708
qwen3.8-2.4t-a95b-fp8,cost_free,58.14860781621458,91.8552036199095,97.46520547494104
qwen3.8-2.4t-a95b-fp8,cost_moderate,50.982721951698586,74.96229260935142,95.13336915970626
qwen3.8-2.4t-a95b-fp8,cost_tight,18.470930090591654,58.37104072398189,85.70999007309636
deepseek-v4-flash-0731,cost_free,43.81339584401631,63.95173453996983,61.093958124966825
deepseek-v4-flash-0731,cost_moderate,42.11167290941666,58.67269984917044,74.01985210220249
deepseek-v4-flash-0731,cost_tight,16.918418675066537,47.51131221719457,75.80946916471585
gpt-5.6-sol,cost_free,64.01135796784467,70.43740573152337,97.9732348609594
gpt-5.6-sol,cost_moderate,53.059971186482066,65.91251885369532,96.61109513450062
gpt-5.6-sol,cost_tight,15.54855566136791,54.14781297134238,91.66092926519349
gemini-3.8-flash-medium,cost_free,72.02998094214854,97.5867269984917,98.16108984350721
gemini-3.8-flash-medium,cost_moderate,55.018925474203485,82.8054298642534,97.27262466233921
gemini-3.8-flash-medium,cost_tight,17.83166068419896,72.09653092006033,93.85798234517002
