case_id,family,planned_edge,regime,item,budget_seconds,beta,seed,source_commit,pairing_pass,low_scientific_slot_id,low_stage,low_score_json,low_api_attempts,low_api_success_attempts,low_http_retry_attempts,low_executed_tools,low_visible_tools,low_withheld_tools,low_forced_calls,low_length_finishes,low_multicall_responses,low_protocol_failures,low_protocol_retries,low_model_no_answer_count,low_prompt_tokens,low_prompt_tokens_known_attempts,low_prompt_tokens_unknown_attempts,low_completion_tokens,low_completion_tokens_known_attempts,low_completion_tokens_unknown_attempts,low_reasoning_tokens,low_reasoning_tokens_known_attempts,low_reasoning_tokens_unknown_attempts,low_total_tokens,low_total_tokens_known_attempts,low_total_tokens_unknown_attempts,low_termination_reason,low_answer_source,low_answer_score_source,low_score_status,low_terminal,low_own_visible_best_performance,low_reasoning_total_chars,low_reasoning_reviewed_unique_chars,low_reasoning_unread_chars,low_semantic_path,low_semantic_sha256,low_observation,max_scientific_slot_id,max_stage,max_score_json,max_api_attempts,max_api_success_attempts,max_http_retry_attempts,max_executed_tools,max_visible_tools,max_withheld_tools,max_forced_calls,max_length_finishes,max_multicall_responses,max_protocol_failures,max_protocol_retries,max_model_no_answer_count,max_prompt_tokens,max_prompt_tokens_known_attempts,max_prompt_tokens_unknown_attempts,max_completion_tokens,max_completion_tokens_known_attempts,max_completion_tokens_unknown_attempts,max_reasoning_tokens,max_reasoning_tokens_known_attempts,max_reasoning_tokens_unknown_attempts,max_total_tokens,max_total_tokens_known_attempts,max_total_tokens_unknown_attempts,max_termination_reason,max_answer_source,max_answer_score_source,max_score_status,max_terminal,max_own_visible_best_performance,max_reasoning_total_chars,max_reasoning_reviewed_unique_chars,max_reasoning_unread_chars,max_semantic_path,max_semantic_sha256,max_observation,bounded_comparison
evidence_audit:first,evidence_audit,first,cost_free,"{""id"": 9, ""kind"": ""document"", ""split"": ""cc-large""}",,,2200,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_e7338bd92d5e8ac68b2c76f21b1e29c98f0342be7c3447cb088d1f976b282a6a,low-0005-expgym-low-single-n1,"{""metrics"": {""evidence_acc"": 1.0, ""label_acc"": 0.9411764705882353, ""verification_eff"": 1.0}, ""primary_metric"": ""label_acc""}",30,30,0,29,29,0,0,0,0,0,0,0,123955,30,0,2553,30,0,1451,30,0,126508,30,0,natural_answer,natural_model_answer,answer_evaluator,scored_final_answer,completed_scored,,5314,5314,0,analysis/formal-fidelity-v2/n1/slot_e7338bd92d5e8ac68b2c76f21b1e29c98f0342be7c3447cb088d1f976b282a6a.semantic.json,cf53fa30dc48ced13872b581519a3005b6f9534477727c506eb8835059a64c58,"29 次反馈逐步纠正证据：nda-16 [33]→[]；nda-19 [64]→[17,64]→[16,17,64]；nda-12/13 补齐 Carveout set。最终 17 项证据均对应 correct 反馈。模型知道反馈只核证据，对 nda-8 标签仍犹豫。",slot_bb7e9f9786f8ec26cb529fbec1497b2462d4fc46a2c97a9efc6f053cc7b57902,max_control-0005-expgym-max-single-n1,"{""metrics"": {""evidence_acc"": 1.0, ""label_acc"": 0.9411764705882353, ""verification_eff"": 1.0}, ""primary_metric"": ""label_acc""}",25,25,0,24,24,0,0,0,0,0,0,0,1483625,25,0,75371,25,0,72518,25,0,1558996,25,0,natural_answer,natural_model_answer,answer_evaluator,scored_final_answer,completed_scored,,283556,23350,260206,analysis/max-control-prep-v1/fidelity/slot_bb7e9f9786f8ec26cb529fbec1497b2462d4fc46a2c97a9efc6f053cc7b57902.semantic.json,672119f345bbdd344807bfa1ef55db9535fa595184fca732bb9212e66077dbba,"24 次反馈完成 17 项证据；nda-7 [17]→[]→[16,19]，nda-16/20 [33]→[]，nda-19 补 [16,17,64]。把标签也称 confirmed 超出了仅核证据的反馈能力。",两侧 EA=1、LA=16/17；Max 用较少核验得到相同最终指标。不能将证据全对当作标签全对；未重建未知 gold 标签。
evidence_audit:last,evidence_audit,last,cost_tight,"{""id"": 0, ""kind"": ""document"", ""split"": ""cc-large""}",900.0,3.0,2202,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_c779d88e089abd344e8cbfd0451aafb179846107f88674aa3bc2c0b1885b5236,low-0268-expgym-low-single-n1,"{""metrics"": {""evidence_acc"": 0.4117647058823529, ""label_acc"": 0.8235294117647058, ""verification_eff"": 0.14285714285714285}, ""primary_metric"": ""label_acc""}",5,5,0,4,3,1,1,0,0,0,0,0,25012,5,0,1154,5,0,667,5,0,26166,5,0,time_budget_exceeded,forced_model_answer,answer_evaluator,scored_final_answer,completed_scored,,2432,1910,522,analysis/formal-fidelity-v2/n1/slot_c779d88e089abd344e8cbfd0451aafb179846107f88674aa3bc2c0b1885b5236.semantic.json,1c60914cc9a9bdebaff2807befe6408934b0746ed2aa2fc185335b9a549a6472,nda-15 [50] 失败后改 [45] 正确；nda-7 [40] irrelevant 后过度推断 NotMentioned。剩余约 13 秒虽说 finalizing，仍调用 nda-3 [25] 并超预算；forced 提交完整 17 项。,slot_ffb57354433ca6f9a231c6791b95e796a39c11aa40bfe663376d7a1b4520b12b,max_control-0268-expgym-max-single-n1,"{""metrics"": {""evidence_acc"": 0.4117647058823529, ""label_acc"": 0.9411764705882353, ""verification_eff"": 0.0}, ""primary_metric"": ""label_acc""}",5,5,0,4,3,1,1,0,0,0,0,0,133853,5,0,42889,5,0,41810,5,0,176742,5,0,time_budget_exceeded,forced_model_answer,answer_evaluator,scored_final_answer,completed_scored,,164253,5740,158513,analysis/max-control-prep-v1/fidelity/slot_ffb57354433ca6f9a231c6791b95e796a39c11aa40bfe663376d7a1b4520b12b.semantic.json,5e1f6d5817f7a38b0a4a6dcccb48168f38f8bc3914c7fe36ade84c17b544a483,"仅实际查询 nda-3 与 nda-7；[25] irrelevant 后未验证空证据便推 NotMentioned；nda-7 [38] incomplete→[38,40] irrelevant。约 22 秒仍试 [38,39]，结果隐藏；forced 猜该证据集，其余 15 项未经工具验证。",同为 4 次工具、一次隐藏、一次 forced，EA 均 7/17；LA 为 Low14/17、Max16/17。差异来自不同查询和最终判断，不能从本对证明 effort 的一般因果效果。
nasbench101:first,nasbench101,first,cost_free,"{""id"": ""hpobench:nasbench101:C"", ""kind"": ""tuning_task""}",,,2200,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_01e45db7bf056f97b8f28b02f399f7ac1fc8fc72b73f54734724896189053d07,low-0006-expgym-low-single-n1,"{""value"": 0.9423744678497314}",12,12,0,11,11,0,0,0,0,0,0,0,61610,12,0,4996,12,0,1100,12,0,66606,12,0,natural_answer,natural_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9423744678497314,2464,2464,0,analysis/formal-fidelity-v2/n1/slot_01e45db7bf056f97b8f28b02f399f7ac1fc8fc72b73f54734724896189053d07.semantic.json,eb949eea8dfce0c4f37a74a06e5a3c938bc6d54c0c748af32ddc9e2b038fedf5,11 次评估后自然返回 tool0006，0.9423744678497314，为已见最佳；后五次尝试均未胜出。保留边优先级平局及文字计划与 native 参数不一致。,slot_72ab418d90843bfcd227d6c1df12670cc2bbcda4deafb9864fa69be7e8febfb3,max_control-0006-expgym-max-single-n1,"{""value"": 0.9465812047322592}",31,31,0,30,30,0,1,0,0,0,0,0,758886,31,0,52785,31,0,41962,31,0,811671,31,0,max_steps_reached,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9465812047322592,94484,31647,62837,analysis/max-control-prep-v1/fidelity/slot_72ab418d90843bfcd227d6c1df12670cc2bbcda4deafb9864fa69be7e8febfb3.semantic.json,9b73bea53bc49652ed92dab08ed098edcf6f52ea9b5c749b842445906240d0d6,用满 30 次评估后 forced 返回 tool0023，0.9465812047322592；tool0028 改无输入连接节点得到并列。23 个未超越先前最佳的评估保留；call24/26/29 的拓扑描述与实际边参数不一致。,Max 进行了更多评估并得到稍高的可见最佳；低效或失败尝试未剔除。两侧最终都对应各自可见 best，不能将架构文字解释直接当已执行网络。
nasbench101:last,nasbench101,last,cost_moderate,"{""id"": ""hpobench:nasbench101:A"", ""kind"": ""tuning_task""}",49441.52099609375,10.0,2208,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_a7e23970cbf488105f70dfe908fa9705bd5d807e9b87fda67954a48efda421ea,low-0337-expgym-low-single-n1,"{""value"": 0.9366319378217062}",9,9,0,8,8,0,0,0,0,0,0,0,33861,9,0,2992,9,0,694,9,0,36853,9,0,natural_answer,natural_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9366319378217062,1884,1884,0,analysis/formal-fidelity-v2/n1/slot_a7e23970cbf488105f70dfe908fa9705bd5d807e9b87fda67954a48efda421ea.semantic.json,386abf0b4529dbb36e2781cb09379cb1fcd5505990079432da7f69e1add84778,8 次评估、自然返回 tool0001，0.9366319378217062，与 tool0003/0008 并列。记录中完整链的文字描述不符实际缺失 1→2 边；五次更差评估保留。,slot_e7ffc2a066ec628a6ddb0f6bc0c2f8438e95a07c5fcc03c170294883384fd149,max_control-0337-expgym-max-single-n1,"{""value"": 0.9386351307233175}",5,5,0,4,3,1,1,0,0,0,0,0,20448,5,0,4595,5,0,3171,5,0,25043,5,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9386351307233175,9849,5438,4411,analysis/max-control-prep-v1/fidelity/slot_e7ffc2a066ec628a6ddb0f6bc0c2f8438e95a07c5fcc03c170294883384fd149.semantic.json,3519955408616f95c12b84ed11a9bfd69a230a031e6abc16a826e4b529ff6123,前三个可见结果 0.8458867470→0.9294871688→0.9386351307；仅余约 4944 秒仍发起约 16023 秒评估，第四次隐藏。forced 返回 tool0003，没有使用隐藏的 0.9387353063。,Max 用更少评估获得略高的可见最佳，同时以预算越界结束；Low 自然停止。隐藏结果不充作模型已知的更好解。
nasbench201:first,nasbench201,first,cost_tight,"{""id"": ""hpobench:nasbench201:cifar10-valid"", ""kind"": ""tuning_task""}",33930.14937022756,3.0,2200,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_1f77c0fc8a1acd6fa426828e7e03c18fe9ba8ac314a9c8b41200cb0a7ba75162,low-0002-expgym-low-single-n1,"{""value"": 0.9019866665364583}",4,4,0,3,2,1,1,0,0,0,0,0,4052,4,0,373,4,0,47,4,0,4425,4,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9019866665364583,164,164,0,analysis/formal-fidelity-v2/n1/slot_1f77c0fc8a1acd6fa426828e7e03c18fe9ba8ac314a9c8b41200cb0a7ba75162.semantic.json,995733345f47df814a9fd1af43e93ef1c1aba6e75427cae28ec30d188f6774ee,三次评估；第二个可见结果略低于基线，第三个超预算隐藏；forced 返回首次可见最佳 0.9019866665364583。,slot_5a151ea66164cf9d24eda7e7598e2aa2a72280b1b1033177a5f44aeeb4fc04f9,max_control-0002-expgym-max-single-n1,"{""value"": 0.9019866665364583}",6,6,0,4,3,1,1,0,1,1,1,0,14005,6,0,3736,6,0,2878,6,0,17741,6,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9019866665364583,8895,5260,3635,analysis/max-control-prep-v1/fidelity/slot_5a151ea66164cf9d24eda7e7598e2aa2a72280b1b1033177a5f44aeeb4fc04f9.semantic.json,a90ef234111f1d1eef29de8f8ed8edc2fdd3b4e7be2c45a2a8f45e102dec43cf,先提出四个 native 调用，整轮被单调用约束拒绝，再逐个执行四次评估。可见第二/第三次更差，第四次隐藏；forced 仍返回首次最佳 0.9019866665364583。,相同最终分数；Max 多一次实际评估及一次被拒绝决策。协议修复成本保留，不把四个未执行提案算成四次评估。
nasbench201:last,nasbench201,last,cost_tight,"{""id"": ""hpobench:nasbench201:cifar100"", ""kind"": ""tuning_task""}",55918.14884831224,3.0,2208,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_f16090b7df669e786820681b398fb603300b9544b9a1f4e65cfe51d52664e288,low-0333-expgym-low-single-n1,"{""value"": 0.7314666666666666}",4,4,0,3,2,1,1,0,0,0,0,0,4016,4,0,338,4,0,21,4,0,4354,4,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.7314666666666666,85,85,0,analysis/formal-fidelity-v2/n1/slot_f16090b7df669e786820681b398fb603300b9544b9a1f4e65cfe51d52664e288.semantic.json,5b502775bb9c33daeda0eae333d3ee3defc9ea07fcbf28422b9c503df49c7e34,三个配置依次评估，可见第一项 0.7314666666666666 胜第二项约 0.701333；第三项隐藏。forced 精确返回第一项。,slot_03318d4eee4d4e109314189614bdbb1e1fb42adb8ae3731362142be7b1ffdbe6,max_control-0333-expgym-max-single-n1,"{""value"": 0.7090666666666667}",4,4,0,3,2,1,1,0,0,0,0,0,6033,4,0,1294,4,0,908,4,0,7327,4,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.7090666666666667,3010,3010,0,analysis/max-control-prep-v1/fidelity/slot_03318d4eee4d4e109314189614bdbb1e1fb42adb8ae3731362142be7b1ffdbe6.semantic.json,2829ea392d2b5bfa113b2743f64a8f73e9de34603c1fa8a7f828662116afcd73,可见首次 0.7090666666666667 胜第二次 0.6682333333333335；第三次隐藏的 0.7158 未被采用。forced 返回首项；关于 batching 的规则回忆无指令支持，但实际仍单调用。,相同工具次数与预算停止形态，Low 找到更高的可见 best。均未泄漏隐藏评估结果；此差异不是缺答或评分记录故障。
paramnet:first,paramnet,first,cost_tight,"{""id"": ""hpobench:paramnet:higgs:steps"", ""kind"": ""tuning_task""}",703.071136379242,3.0,2200,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_4336f0a98272255fbb69764a37e6bcd1ecd28769ff1911fb7e1694e08b5ad303,low-0016-expgym-low-single-n1,"{""value"": 0.7098846886339992}",5,5,0,4,3,1,1,0,0,0,0,0,4607,5,0,497,5,0,41,5,0,5104,5,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.7098846886339992,138,138,0,analysis/formal-fidelity-v2/n1/slot_4336f0a98272255fbb69764a37e6bcd1ecd28769ff1911fb7e1694e08b5ad303.semantic.json,586583ec88d983b141d53d5b275083e6c45e55f25ccbbebc1db38be48ae11f17,三次可见性能 0.651582115→0.709165131→0.709884689；第四次更高结果被预算隐藏。forced 精确返回第三项。,slot_9fa9b78949ef5ab00ab1cd3c8a2501feb8bdfd77987fc8e0e46d0efdac1b406e,max_control-0016-expgym-max-single-n1,"{""value"": 0.7125784173786529}",5,5,0,4,4,0,0,0,0,0,0,0,12977,5,0,4807,5,0,4077,5,0,17784,5,0,natural_answer,natural_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.7125784173786529,13795,5928,7867,analysis/max-control-prep-v1/fidelity/slot_9fa9b78949ef5ab00ab1cd3c8a2501feb8bdfd77987fc8e0e46d0efdac1b406e.semantic.json,96934fc8eb064ba3ba1779e11d3ed913a8d3f29fa0f21ef0f60045ece95c6187,四次全部可见，第二次 0.712578417 为最佳，后两次下降。剩余约 28 秒自然停止；声称已无法评估过于绝对，未试配置耗时未知。,工具数同为 4；Max 稍高且自然停止，Low 第四次被隐藏后 forced。比较以各自可见最佳为准，不能用 Low 隐藏的 0.715096869 替换结果。
paramnet:last,paramnet,last,cost_tight,"{""id"": ""hpobench:paramnet:letter:steps"", ""kind"": ""tuning_task""}",294.81142101287844,3.0,2208,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_56d809bd26bc86b17f75740f0b073c2c713bba08d7b9ebe197b8f4f57ae915f4,low-0338-expgym-low-single-n1,"{""value"": 0.9367706891760897}",8,8,0,7,7,0,0,0,0,0,0,0,9820,8,0,909,8,0,113,8,0,10729,8,0,natural_answer,natural_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.9367706891760897,300,300,0,analysis/formal-fidelity-v2/n1/slot_56d809bd26bc86b17f75740f0b073c2c713bba08d7b9ebe197b8f4f57ae915f4.semantic.json,564268fde7b2201fd1e6320d1fb1ca520f1c9d53c3f067e7d6aac82985fd0b81,七次全可见，调宽度、批量、dropout、学习率、层数和形状；中途下降保留。最终自然选择第七次 0.936770689，最后剩余约 17 秒；少量短计划与实际 shape 参数不同。,slot_5e406c8efea2af5742e4f06a69d83b87f24e7ef5650ba817efece897c2bf7843,max_control-0338-expgym-max-single-n1,"{""value"": 0.7092944375216987}",6,6,0,5,4,1,1,0,0,0,0,0,7014,6,0,1116,6,0,473,6,0,8130,6,0,time_budget_exceeded,forced_model_answer,matching_tool_call,scored_final_answer,completed_scored,0.7092944375216987,1851,1851,0,analysis/max-control-prep-v1/fidelity/slot_5e406c8efea2af5742e4f06a69d83b87f24e7ef5650ba817efece897c2bf7843.semantic.json,6bce162f17c865cd6b47468218b4840c3c29e9da726f06b1503a6faeccc72ea5,前四次可见 0.475260070→0.684350974→0.700610584→0.709294438。剩余约 49 秒仍试已估约 126 秒的学习率变更，第五项隐藏；forced 返回第四项。,Low 以更多且较便宜的可见试验覆盖了不同配置，最终分数明显高于 Max；Max 隐藏的 0.834554501 不能代替返回值。这里只观察到具体搜索路径和预算使用差异。
whatis:first,whatis,first,cost_free,"{""id"": 20, ""kind"": ""question"", ""source"": ""phantom_seed3""}",,,2200,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_6c6b5284f8de733fd3ba4ba730b38c9d8e7c2e1112aa350186fa9aa21bbc02ec,low-0001-expgym-low-single-n1,"{""value"": 0.8571428571428571}",11,11,0,9,9,0,0,0,1,1,1,0,15095,11,0,341,11,0,174,11,0,15436,11,0,natural_answer,natural_model_answer,answer_evaluator,scored_final_answer,completed_scored,,614,614,0,analysis/formal-fidelity-v2/n1/slot_6c6b5284f8de733fd3ba4ba730b38c9d8e7c2e1112aa350186fa9aa21bbc02ec.semantic.json,cbc0900df38ac031b6ba4e52ed84bc49e606cf866dacc1dd68568cfad52c8304,九次有效搜索后返回 Bart/Hugh/Zachariah 三个有文章支持的生日；省略 son of sister of aunt 中的 sister 层，未把已见的 Darrell 生日纳入集合。先一次双调用被拒后逐次恢复。,slot_015f9b4483225f0cdde589a64d772834a9473b07e3a7c2661fbc7c96d150c5ff,max_control-0001-expgym-max-single-n1,"{""value"": 0.4}",12,12,0,9,9,0,1,1,1,2,1,0,63479,12,0,36092,12,0,35941,12,0,99571,12,0,aborted,forced_model_answer,answer_evaluator,scored_final_answer,completed_scored,,134480,6026,128454,analysis/max-control-prep-v1/fidelity/slot_015f9b4483225f0cdde589a64d772834a9473b07e3a7c2661fbc7c96d150c5ff.semantic.json,d2c4fad28abaa819fe568b95e5f42ef4654a48f6bd9721873e90bd9bcc1486e3,同样九次有效搜索，已见四个相关生日，但倾向假定只有一个 intended target，未遵循 ALL 的覆盖要求。call11 外部为空、length 截断；随后 forced 只返回 Zachariah 的生日。,Low F1=6/7，Max F1=0.4；两者都未满分。Max 的一次真实 length、forced 和候选集合收缩均保留；长 reasoning 中段未读，不能描述其全部思考过程。
whatis:last,whatis,last,cost_free,"{""id"": 34, ""kind"": ""question"", ""source"": ""phantom_seed2""}",,,2200,88e27ad5963625ccbd3f9269dce0f95412b8d786,True,slot_664f7076adaf261f51c1052b3ad4e78188c2503a8eadbd9eec3fa49b2f4df435,low-0284-expgym-low-single-n1,"{""value"": 0.0}",7,7,0,6,6,0,0,0,0,0,0,0,8432,7,0,439,7,0,285,7,0,8871,7,0,natural_answer,natural_model_answer,answer_evaluator,scored_final_answer,completed_scored,,1069,1069,0,analysis/formal-fidelity-v2/n1/slot_664f7076adaf261f51c1052b3ad4e78188c2503a8eadbd9eec3fa49b2f4df435.semantic.json,42e8005e9c2eb72f421449b114da397212518045232845c34aa853e5545f25f2,将 archivist August 的 sister Maryam 的 children 错当 cousins，查询其父 Jakob 后返回真实文章里的 0942-11-14，并附解释。日期有出处但关系路径错误。,slot_c4fec6b97f1686a7f270baeb17d65cc493eb70e06985f330778e2ece01f0ae5a,max_control-0284-expgym-max-single-n1,"{""value"": 0.16666666666666669}",8,8,0,7,7,0,0,0,0,0,0,0,13065,8,0,1296,8,0,911,8,0,14361,8,0,natural_answer,natural_model_answer,answer_evaluator,scored_final_answer,completed_scored,,3731,3615,116,analysis/max-control-prep-v1/fidelity/slot_c4fec6b97f1686a7f270baeb17d65cc493eb70e06985f330778e2ece01f0ae5a.semantic.json,9b32de4504c87283bbe3eab6b198dc78d2810606cd9e92f748f6e9970f71f26f,建立 August→母 Luisa→姐妹 Freda→女 Lyndsey→父 Rene 链，生日 0910-07-14 有直接出处。只覆盖首条职业文章，虽想到可能多名 archivist 仍假定单一目标；重复查询同文章为免费。,Low F1=0，Max F1=1/6；Max 有一条成立的路径但集合覆盖仍不完整。未重评 Low 附解释格式对零分的贡献，也未从部分分数重建 gold 全集。
