study_id,model,system,scenario,budget,strategy,N,metric,endpoint,unit,primary,slice,repeat,expected_outcomes,known_outcomes,missing_outcomes,expected_items,known_items,complete_items,full_mean,known_subset_item_weighted_mean,min_repeats_per_item,max_repeats_per_item
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,all,seed_2200,13,13,0,13,13,13,0.7239819004524887,0.7239819004524887,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,all,seed_2201,13,13,0,13,13,13,0.6108597285067874,0.6108597285067874,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,all,seed_2202,13,13,0,13,13,13,0.7782805429864253,0.7782805429864253,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,contract_nli,seed_2200,13,13,0,13,13,13,0.7239819004524887,0.7239819004524887,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,contract_nli,seed_2201,13,13,0,13,13,13,0.6108597285067874,0.6108597285067874,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,contract_nli,seed_2202,13,13,0,13,13,13,0.7782805429864253,0.7782805429864253,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,all,seed_2200,13,13,0,13,13,13,0.8868778280542986,0.8868778280542986,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,all,seed_2201,13,13,0,13,13,13,0.8190045248868778,0.8190045248868778,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,all,seed_2202,13,13,0,13,13,13,0.8733031674208145,0.8733031674208145,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,contract_nli,seed_2200,13,13,0,13,13,13,0.8868778280542986,0.8868778280542986,1,1
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,contract_nli,seed_2201,13,13,0,13,13,13,0.8190045248868778,0.8190045248868778,1,1
