model,beta,job_id,data_source,question_index,repeat,request_id,llm_call_index,attempt,state,http_status,input_tokens,output_tokens,total_tokens,reasoning_tokens,cached_input_tokens,dump_collection,dump_member
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,151d319521e74324bcef1f6fa6a7d772,14,1,success,,7171,69,7240,32,,protocol_repair_aux_controls_glm_20260918,api_dump/151d319521e74324bcef1f6fa6a7d772.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,2260f4c8c5004573ad2c3b45fbd6f5ed,7,1,success,,2272,101,2373,59,,protocol_repair_aux_controls_glm_20260918,api_dump/2260f4c8c5004573ad2c3b45fbd6f5ed.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,33cb2c7bede740e7b54111e70a7402e3,17,1,success,,7959,75,8034,42,,protocol_repair_aux_controls_glm_20260918,api_dump/33cb2c7bede740e7b54111e70a7402e3.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,3623d64179854253af181e76100b7492,10,1,success,,3165,82,3247,44,,protocol_repair_aux_controls_glm_20260918,api_dump/3623d64179854253af181e76100b7492.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,40f9a238ee3e4107a1be34046ecc8a47,20,1,success,,9100,79,9179,46,,protocol_repair_aux_controls_glm_20260918,api_dump/40f9a238ee3e4107a1be34046ecc8a47.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,4f36ad01b64c4b0ebf38e8c68d513886,19,1,success,,8840,83,8923,53,,protocol_repair_aux_controls_glm_20260918,api_dump/4f36ad01b64c4b0ebf38e8c68d513886.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,4f723e906bb24e5e97434aa3bdfe56a7,18,1,success,,8187,496,8683,462,,protocol_repair_aux_controls_glm_20260918,api_dump/4f723e906bb24e5e97434aa3bdfe56a7.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,65adba8dc0c44d56a0b83f99545b5c31,21,1,success,,9342,3815,13157,3383,,protocol_repair_aux_controls_glm_20260918,api_dump/65adba8dc0c44d56a0b83f99545b5c31.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,717e7e1e0b8b488ca254344dd87deda4,11,1,success,,3463,1829,5292,1720,,protocol_repair_aux_controls_glm_20260918,api_dump/717e7e1e0b8b488ca254344dd87deda4.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,73bd58f23f354cd28cee01bedff773c7,5,1,success,,1433,58,1491,23,,protocol_repair_aux_controls_glm_20260918,api_dump/73bd58f23f354cd28cee01bedff773c7.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,768ba6d157034d388aae06e78d24dc59,2,1,success,,744,84,828,43,,protocol_repair_aux_controls_glm_20260918,api_dump/768ba6d157034d388aae06e78d24dc59.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,76b48b1e2a36488ead4e07164b9cc6eb,6,1,success,,1705,348,2053,311,,protocol_repair_aux_controls_glm_20260918,api_dump/76b48b1e2a36488ead4e07164b9cc6eb.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,77b854df64f746628a26af3bbdc249c1,16,1,success,,7675,94,7769,63,,protocol_repair_aux_controls_glm_20260918,api_dump/77b854df64f746628a26af3bbdc249c1.json
glm,20,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,phantom_seed2,5,R1,87dec92885e74997aba551090e761c4b,3,1,success,,1014,146,1160,87,,protocol_repair_aux_controls_glm_20260918,api_dump/87dec92885e74997aba551090e761c4b.json
