model,system,scenario,regime,strategy,metric,cohort_id,source_input,source_row,planned_logical_jobs,fully_scored_logical_jobs,source_expected_units,source_known_units
deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,evidence_acc,deepseek_original,old_absolute,2,39,39,13,13
deepseek-v4-flash-0731,expgym,evidence_audit,cost_moderate,single,evidence_acc,deepseek_original,old_absolute,13,39,39,13,13
deepseek-v4-flash-0731,expgym,evidence_audit,cost_tight,single,evidence_acc,deepseek_original,old_absolute,24,39,39,13,13
deepseek-v4-flash-0731,expgym,restricted_search,cost_free,single,f1,deepseek_original,old_absolute,66,73,73,73,73
deepseek-v4-flash-0731,expgym,restricted_search,cost_moderate,single,f1,deepseek_original,old_absolute,76,73,73,73,73
deepseek-v4-flash-0731,expgym,restricted_search,cost_tight,single,f1,deepseek_original,old_absolute,86,73,73,73,73
deepseek-v4-flash-0731,expgym,tuning,cost_free,single,gap,deepseek_original,old_absolute,156,27,20,27,20
deepseek-v4-flash-0731,expgym,tuning,cost_moderate,single,gap,deepseek_original,old_absolute,167,27,25,27,25
deepseek-v4-flash-0731,expgym,tuning,cost_tight,single,gap,deepseek_original,old_absolute,178,27,25,27,25
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,deepseek_rerun_20260912,rerun_aggregate,2,13,13,13,13
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,deepseek_rerun_20260912,rerun_aggregate,6,13,13,13,13
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,evidence_acc_mv,deepseek_rerun_20260912,rerun_aggregate,10,13,13,13,13
deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,evidence_acc_mv,deepseek_rerun_20260912,rerun_aggregate,14,13,13,13,13
deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,naive,evidence_acc_mv,deepseek_rerun_20260912,rerun_aggregate,18,13,13,13,13
deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,poolact,evidence_acc_mv,deepseek_rerun_20260912,rerun_aggregate,22,13,13,13,13
deepseek-v4-flash-0731,poolact,restricted_search,cost_moderate,cached,f1_mv,deepseek_rerun_20260912,rerun_aggregate,26,39,39,39,39
deepseek-v4-flash-0731,poolact,restricted_search,cost_moderate,naive,f1_mv,deepseek_rerun_20260912,rerun_aggregate,28,39,39,39,39
deepseek-v4-flash-0731,poolact,restricted_search,cost_moderate,poolact,f1_mv,deepseek_rerun_20260912,rerun_aggregate,30,39,39,39,39
deepseek-v4-flash-0731,poolact,restricted_search,cost_tight,cached,f1_mv,deepseek_original,old_absolute,760,39,39,39,39
deepseek-v4-flash-0731,poolact,restricted_search,cost_tight,naive,f1_mv,deepseek_original,old_absolute,771,39,39,39,39
deepseek-v4-flash-0731,poolact,restricted_search,cost_tight,poolact,f1_mv,deepseek_original,old_absolute,782,39,39,39,39
deepseek-v4-flash-0731,poolact,tuning,cost_moderate,cached,gap_mi,deepseek_rerun_20260912,rerun_aggregate,34,9,9,9,9
deepseek-v4-flash-0731,poolact,tuning,cost_moderate,naive,gap_mi,deepseek_rerun_20260912,rerun_aggregate,40,9,9,9,9
deepseek-v4-flash-0731,poolact,tuning,cost_moderate,poolact,gap_mi,deepseek_rerun_20260912,rerun_aggregate,46,9,9,9,9
deepseek-v4-flash-0731,poolact,tuning,cost_tight,cached,gap_mi,deepseek_rerun_20260912,rerun_aggregate,52,9,9,9,9
deepseek-v4-flash-0731,poolact,tuning,cost_tight,naive,gap_mi,deepseek_rerun_20260912,rerun_aggregate,58,9,9,9,9
deepseek-v4-flash-0731,poolact,tuning,cost_tight,poolact,gap_mi,deepseek_rerun_20260912,rerun_aggregate,64,9,9,9,9
gemini-3.8-flash-medium,expgym,evidence_audit,cost_free,single,evidence_acc,gemini_snapshot,gemini_absolute,1,39,39,39,39
gemini-3.8-flash-medium,expgym,evidence_audit,cost_moderate,single,evidence_acc,gemini_snapshot,gemini_absolute,5,39,39,39,39
gemini-3.8-flash-medium,expgym,evidence_audit,cost_tight,single,evidence_acc,gemini_snapshot,gemini_absolute,9,39,39,39,39
gemini-3.8-flash-medium,expgym,restricted_search,cost_free,single,f1,gemini_snapshot,gemini_absolute,13,73,73,73,73
gemini-3.8-flash-medium,expgym,restricted_search,cost_moderate,single,f1,gemini_snapshot,gemini_absolute,16,73,73,73,73
