model,beta,job_id,data_source,question_index,repeat,score_status,missing_final,protocol_failure_events,evaluations,simulated_feedback_seconds,agent_wall_seconds,http_request_attempts
gpt,1,job_b7b09c7af7af30acc4bf45931b734eeb8e1b8c13efaf6fe5d31ad6b46d9fc6b0,phantom_seed2,0,R1,scored_final_answer,False,0,2,589.5610034931451,7.96006965637207,3
gpt,1,job_ec7000389c4fce6a5565e164998130e3512a7b3c365d20515de358ad86e56f62,phantom_seed2,1,R1,scored_final_answer,False,0,2,584.7077830601484,10.447696208953857,3
gpt,1,job_1e714c78ac7db2a42e709d2b9b0908d7504ca7227708ef32cd3c206c3626e0e0,phantom_seed2,2,R1,scored_final_answer,False,0,2,572.5318704731762,18.86368489265442,3
gpt,1,job_2ab04ab77b38b0ad674c5b8c5c1e27968903d129265784ce14e14b48d50fc7b7,phantom_seed2,3,R1,scored_final_answer,False,0,1,304.8936764523387,4.164380311965942,2
gpt,1,job_16475da9fd7811c986dfdacd02b6697e503202ab295b6ced41c4cdb2177fa440,phantom_seed2,4,R1,scored_final_answer,False,0,2,593.6921899393201,8.158265590667725,3
gpt,1,job_49a8991d9b5978c9bc9cc86a7ec8e226a0199cc8846564212ef0279abb414016,phantom_seed2,5,R1,scored_final_answer,False,0,1,311.36265710927546,5.467798233032227,2
gpt,1,job_89a643a23d7c99c90c78ab558c8e8fd42838c29d53c36dc9624309b89c4d6a94,phantom_seed2,6,R1,scored_final_answer,False,0,2,586.6580055560917,8.76598858833313,3
gpt,1,job_edafcdd6df6585296b149b9ca09c2c18d512f6d8c9e58f6d17ea2d45a93f4f55,phantom_seed2,7,R1,scored_final_answer,False,0,3,592.0543637033552,11.480842113494873,4
gpt,1,job_0da2fc3e39e00128692f6f0f50376846a40c3d6c0ad21d5cb35999c4690503d2,phantom_seed2,8,R1,scored_final_answer,False,0,2,586.6191869974136,9.391854763031006,3
gpt,1,job_dfcf25069883ca8e7f7db8843567a66c715539298b030bad0257f29ea0d842ff,phantom_seed2,9,R1,scored_final_answer,False,0,3,569.1061324253678,12.72761583328247,4
gpt,1,job_cd89358a7cba8d5f8bce814e41fc7452b59fbcbabf9e176907c3c89141c39f5f,phantom_seed2,10,R1,scored_final_answer,False,0,1,298.51371257565916,17.93303918838501,2
gpt,1,job_cd94af96e9e1f07ec8ae56560b553a4746816634ff8f50dabaca55ae1f2d17a8,phantom_seed2,11,R1,scored_final_answer,False,0,2,571.7640029918402,8.764989137649536,3
gpt,1,job_d072b53ee2d3732607b2ab7842b672fba64152e7769bf44e1f73e9520a881725,phantom_seed2,12,R1,scored_final_answer,False,0,2,572.5318704731762,13.247744083404541,3
gpt,1,job_06ffd6624c1fbf7cf0f581c87a9f9fc751d2c44813b61a8c9690ec61ae35bc20,phantom_seed2,13,R1,scored_final_answer,False,0,1,311.4834354259074,5.155923366546631,2
gpt,1,job_3bdbc6bd3a23e6cb7c555806363f69899400db4d09452ed378770571b40a7392,phantom_seed2,14,R1,scored_final_answer,False,0,2,584.7077830601484,11.057351350784302,3
gpt,1,job_ac965b8461f76021011ef6fff40b053365fa53076cc9aebb2bccff44f267e547,phantom_seed2,15,R1,scored_final_answer,False,0,1,310.21571821533144,6.184230327606201,2
gpt,1,job_2dff5c22eb85501a6da28e93dc1c8d452e795cfb3f3e512345ef671f91fb38ab,phantom_seed2,16,R1,scored_final_answer,False,0,1,304.8936764523387,34.483423709869385,2
gpt,1,job_216ec39ce38477dfbd68d723683076e8d5c55557bf6ab3ce788cc57bf00280f1,phantom_seed2,17,R1,scored_final_answer,False,0,1,305.89832997880876,4.020236968994141,2
gpt,1,job_f877a1c5014bbb17672153c59683038884d5f42f81ef0297ebdc36979c3e4f6b,phantom_seed2,18,R1,scored_final_answer,False,0,1,307.8906704671681,5.724891662597656,2
gpt,1,job_0aad66f2dce8f08c420df00ea7d9e4aa1432902c8b5e9b6d89fa099026947655,phantom_seed2,19,R1,scored_final_answer,False,0,1,309.8758999723941,22.04620099067688,2
gpt,1,job_5a49591882b89ea244f90a6d5b50a53eaa5a3e984bfc3136b276111d94d3e1cf,phantom_seed3,0,R1,scored_final_answer,False,0,1,306.48579951375723,11.935852289199829,2
gpt,1,job_0bbf4995a6f101e906ac9b133174986f3cd9accfdf709e54972f388c708c8b53,phantom_seed3,1,R1,scored_final_answer,False,0,1,305.1142273657024,5.39880633354187,2
gpt,1,job_3a454b10e14645a3e6545d6d31c9c87a03adf56483dec2930d5a2a1cf70688fe,phantom_seed3,2,R1,scored_final_answer,False,0,2,598.2240247353911,9.0262930393219,3
gpt,1,job_da372adb3b704316fd039ed42db4171d30f297f210907ce245dfbf34e7231951,phantom_seed3,3,R1,scored_final_answer,False,0,2,597.1539952699095,15.670962572097778,3
gpt,1,job_088772c6153e721b13a1fa2226a5059b095e4cdf6fcd9e56f82ec576889f065f,phantom_seed3,4,R1,scored_final_answer,False,0,1,301.32070708088577,5.417744398117065,2
gpt,1,job_4ec982840e606b966df0db976094bb5e88712a95efd62a10a8e8262942eef69f,phantom_seed3,5,R1,scored_final_answer,False,0,1,317.30108419433236,5.722013473510742,2
gpt,1,job_b6e807dbf2455732377c40a7a1012593d06cd5c2a6966bd06686ed521858b83c,phantom_seed3,6,R1,scored_final_answer,False,0,1,308.3650519605726,6.556096792221069,2
gpt,1,job_8ad50fe66cfb8299629bac3fe2fa4ca161120d4102214781aa2bd08485468389,phantom_seed3,7,R1,scored_final_answer,False,0,2,593.4711376018822,21.36593985557556,3
