scientific_slot_id,source_scientific_slot_id,study_group,scenario,regime,strategy,reported_agents,effort,cohort,item,repeat,derivation,metrics,job_id,logical_additive_cost
slot_6ff72018376238be2c332b2fed719d7ce606ff8717a87f8a8b885c38e35757b4,slot_6ff72018376238be2c332b2fed719d7ce606ff8717a87f8a8b885c38e35757b4,thinking_same_version,restricted_search,cost_tight,single,1,low,same_version_low,phantom_seed2/q11,0,direct,"{""F1"": 0.0}",job_8eeebaea1e86cb6f9e86e2f2c82e303dbdd566d5f9455f538c2fc303f59de40a,"{""cached_input_tokens"": null, ""input_tokens"": 3251.0, ""output_tokens"": 369.0, ""reasoning_tokens"": 256.0, ""total_tokens"": 3620.0}"
slot_b8f487206251780b3617a679a79ef758ad3ea259e36dbb6496633e6e2588dd64,slot_b8f487206251780b3617a679a79ef758ad3ea259e36dbb6496633e6e2588dd64,thinking_same_version,restricted_search,cost_tight,single,1,max,same_version_max,phantom_seed2/q11,0,direct,"{""F1"": 0.0}",job_f7d166d33f95178c932ad22cb2549da613a8439a440f4ee13cf5f85cc5190dd5,"{""cached_input_tokens"": null, ""input_tokens"": 5364.0, ""output_tokens"": 2364.0, ""reasoning_tokens"": 2155.0, ""total_tokens"": 7728.0}"
slot_6c6b5284f8de733fd3ba4ba730b38c9d8e7c2e1112aa350186fa9aa21bbc02ec,slot_6c6b5284f8de733fd3ba4ba730b38c9d8e7c2e1112aa350186fa9aa21bbc02ec,thinking_same_version,restricted_search,cost_free,single,1,low,same_version_low,phantom_seed3/q20,0,direct,"{""F1"": 0.8571428571428571}",job_84b0e53f2a733c25a90ddf537d925da945e9e787e962801b3498a96747b974ef,"{""cached_input_tokens"": null, ""input_tokens"": 15095.0, ""output_tokens"": 341.0, ""reasoning_tokens"": 174.0, ""total_tokens"": 15436.0}"
slot_015f9b4483225f0cdde589a64d772834a9473b07e3a7c2661fbc7c96d150c5ff,slot_015f9b4483225f0cdde589a64d772834a9473b07e3a7c2661fbc7c96d150c5ff,thinking_same_version,restricted_search,cost_free,single,1,max,same_version_max,phantom_seed3/q20,0,direct,"{""F1"": 0.4}",job_27931b52510c467eb9292fe33c874a20f69824ccccdb965e9d5c2cb91caef960,"{""cached_input_tokens"": null, ""input_tokens"": 63479.0, ""output_tokens"": 36092.0, ""reasoning_tokens"": 35941.0, ""total_tokens"": 99571.0}"
slot_1f77c0fc8a1acd6fa426828e7e03c18fe9ba8ac314a9c8b41200cb0a7ba75162,slot_1f77c0fc8a1acd6fa426828e7e03c18fe9ba8ac314a9c8b41200cb0a7ba75162,thinking_same_version,tuning,cost_tight,single,1,low,same_version_low,hpobench:nasbench201:cifar10-valid,0,direct,"{""Gap"": 82.31154476532424, ""Gap0"": 82.31154476532424, ""RawPerf"": 0.9019866665364583}",job_4580e6fe6458e84752b0ab9e30cb05601eabab165e8dbc1b77c9d0e0cb790d81,"{""cached_input_tokens"": null, ""input_tokens"": 4052.0, ""output_tokens"": 373.0, ""reasoning_tokens"": 47.0, ""total_tokens"": 4425.0}"
slot_5a151ea66164cf9d24eda7e7598e2aa2a72280b1b1033177a5f44aeeb4fc04f9,slot_5a151ea66164cf9d24eda7e7598e2aa2a72280b1b1033177a5f44aeeb4fc04f9,thinking_same_version,tuning,cost_tight,single,1,max,same_version_max,hpobench:nasbench201:cifar10-valid,0,direct,"{""Gap"": 82.31154476532424, ""Gap0"": 82.31154476532424, ""RawPerf"": 0.9019866665364583}",job_b05a9e4d4e3a81e58b60cf06d5b3f5e359b3ad3bac09b91b23b2fbc8c7231bb3,"{""cached_input_tokens"": null, ""input_tokens"": 14005.0, ""output_tokens"": 3736.0, ""reasoning_tokens"": 2878.0, ""total_tokens"": 17741.0}"
slot_b1cde389612cc70ae5c6eadeeaebf0792b6eea97f87ea1f66f647105bcc18d90,slot_b1cde389612cc70ae5c6eadeeaebf0792b6eea97f87ea1f66f647105bcc18d90,thinking_same_version,restricted_search,cost_tight,single,1,low,same_version_low,phantom_seed2/q28,0,direct,"{""F1"": 0.0}",job_47a21e835ee05b0f86dfeb8e9ee6e2356231d11a01a79d79b1d1667db1682744,"{""cached_input_tokens"": null, ""input_tokens"": 2805.0, ""output_tokens"": 162.0, ""reasoning_tokens"": 120.0, ""total_tokens"": 2967.0}"
slot_1c4d59680a00562d95ca7396b029fc6f7f88315a630dd0be91bf4fe0a3cb97dc,slot_1c4d59680a00562d95ca7396b029fc6f7f88315a630dd0be91bf4fe0a3cb97dc,thinking_same_version,restricted_search,cost_tight,single,1,max,same_version_max,phantom_seed2/q28,0,direct,"{""F1"": 0.0}",job_213120e72781a4e4242d9b922a41ed2da9ae8431477a4a813a682dd9302bca0a,"{""cached_input_tokens"": null, ""input_tokens"": 10864.0, ""output_tokens"": 7610.0, ""reasoning_tokens"": 7545.0, ""total_tokens"": 18474.0}"
slot_ad5c922f14a27406c2a85793a1f33d291a51cd5522ba836875501263da92fbf2,slot_ad5c922f14a27406c2a85793a1f33d291a51cd5522ba836875501263da92fbf2,thinking_same_version,restricted_search,cost_moderate,single,1,low,same_version_low,phantom_seed3/q1,0,direct,"{""F1"": 0.6666666666666666}",job_f11e5df5ee7ea19bf60af56a218975daa1dfe1a978bc1698545658568a5f212b,"{""cached_input_tokens"": null, ""input_tokens"": 2013.0, ""output_tokens"": 75.0, ""reasoning_tokens"": 47.0, ""total_tokens"": 2088.0}"
slot_073c072baa62e0e2fe4353ab2bc25efe5c336848c226ffe53c402a3006d9ea50,slot_073c072baa62e0e2fe4353ab2bc25efe5c336848c226ffe53c402a3006d9ea50,thinking_same_version,restricted_search,cost_moderate,single,1,max,same_version_max,phantom_seed3/q1,0,direct,"{""F1"": 1.0}",job_320ae7db27d4246079d83a379b6213c34fbc436bf8213749cf5a6746e5da610d,"{""cached_input_tokens"": null, ""input_tokens"": 10701.0, ""output_tokens"": 2137.0, ""reasoning_tokens"": 1774.0, ""total_tokens"": 12838.0}"
slot_e7338bd92d5e8ac68b2c76f21b1e29c98f0342be7c3447cb088d1f976b282a6a,slot_e7338bd92d5e8ac68b2c76f21b1e29c98f0342be7c3447cb088d1f976b282a6a,thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,contract-nli/index9,0,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_2dba2a2449d445b2013da4eebbc269656910634b489548d2435642c70779a552,"{""cached_input_tokens"": null, ""input_tokens"": 123955.0, ""output_tokens"": 2553.0, ""reasoning_tokens"": 1451.0, ""total_tokens"": 126508.0}"
slot_bb7e9f9786f8ec26cb529fbec1497b2462d4fc46a2c97a9efc6f053cc7b57902,slot_bb7e9f9786f8ec26cb529fbec1497b2462d4fc46a2c97a9efc6f053cc7b57902,thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,contract-nli/index9,0,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_3008f595f76e1d740822e8f8eb7d635b64b69586f85d15ac92cb5a637ed0988d,"{""cached_input_tokens"": null, ""input_tokens"": 1483625.0, ""output_tokens"": 75371.0, ""reasoning_tokens"": 72518.0, ""total_tokens"": 1558996.0}"
slot_5d74b3b45f985648c83032e16d8dbf164e7317fcf5dd5afaa8c86ae74ef7cd48,slot_5d74b3b45f985648c83032e16d8dbf164e7317fcf5dd5afaa8c86ae74ef7cd48,thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,contract-nli/index9,1,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_3afb924cc21175daab4dc5e27d20e17058148e1e95abd0872c0d78240477efa8,"{""cached_input_tokens"": null, ""input_tokens"": 135159.0, ""output_tokens"": 2982.0, ""reasoning_tokens"": 1615.0, ""total_tokens"": 138141.0}"
