model,system,scenario,regime,strategy,metric,slice_kind,slice,source_input,source_row,selected,cohort_id,reason
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,budget_utilization,all,all,old_absolute,568,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,duplicate_action_attempts,all,all,old_absolute,569,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mi,all,all,old_absolute,570,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,all,all,old_absolute,571,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,feedback_attempts,all,all,old_absolute,572,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,feedback_cost_seconds,all,all,old_absolute,573,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,feedback_visible,all,all,old_absolute,574,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,input_tokens,all,all,old_absolute,575,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,label_acc_mi,all,all,old_absolute,576,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,label_acc_mv,all,all,old_absolute,577,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,output_tokens,all,all,old_absolute,578,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,protocol_failure_rate,all,all,old_absolute,579,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,cached,wall_time_seconds,all,all,old_absolute,580,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,budget_utilization,all,all,old_absolute,581,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,duplicate_action_attempts,all,all,old_absolute,582,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mi,all,all,old_absolute,583,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,all,all,old_absolute,584,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,feedback_attempts,all,all,old_absolute,585,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,feedback_cost_seconds,all,all,old_absolute,586,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,feedback_visible,all,all,old_absolute,587,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,input_tokens,all,all,old_absolute,588,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,label_acc_mi,all,all,old_absolute,589,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,label_acc_mv,all,all,old_absolute,590,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,naive,output_tokens,all,all,old_absolute,591,False,deepseek_original,entire_registered_three_strategy_cell_superseded_by_20260912_rerun
