table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
absolute_settings.csv,1,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.6395173453996983,0.6395173453996983,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,2,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,all,all,label_acc,full_mean,0.6681749622926093,0.6681749622926093,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,3,deepseek-v4-flash-0731,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.5867269984917044,0.5867269984917044,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,4,deepseek-v4-flash-0731,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,full_mean,0.7556561085972852,0.755656108597285,False,-1.1102230246251565e-16,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,5,deepseek-v4-flash-0731,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.47511312217194573,0.4751131221719457,False,-5.551115123125783e-17,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,6,deepseek-v4-flash-0731,expgym,evidence_audit,cost_tight,single,all,all,label_acc,full_mean,0.702865761689291,0.702865761689291,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,7,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,family,evidence_audit,evidence_acc,full_mean,0.6395173453996983,0.6395173453996983,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,8,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,family,evidence_audit,label_acc,full_mean,0.6681749622926093,0.6681749622926093,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,9,deepseek-v4-flash-0731,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,evidence_acc,full_mean,0.5867269984917044,0.5867269984917044,False,0.0,published-297c3d0-historical-scoring,official-protocol-repair-v1
absolute_settings.csv,10,deepseek-v4-flash-0731,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,label_acc,full_mean,0.7556561085972852,0.755656108597285,False,-1.1102230246251565e-16,published-297c3d0-historical-scoring,official-protocol-repair-v1
