kind,path,recorded_sha256,actual_sha256,match
task_configuration,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-deepseek-flash-20260911/configs/hpobench_tasks.yaml,fdbf6640aeb5a699bf1e512e3c3cfdf1d24d44d98ab3a03b2986d24c992cc36f,fdbf6640aeb5a699bf1e512e3c3cfdf1d24d44d98ab3a03b2986d24c992cc36f,True
budget_oracle,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-deepseek-flash-20260911/data/hpo_tuning/oracle3.json,f6a38069eb6d376a045562e8a17e67e600150c7a7b0ee994e46837679fcdb69e,f6a38069eb6d376a045562e8a17e67e600150c7a7b0ee994e46837679fcdb69e,True
table,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/nasbench_101_compact.pkl,09271ca32f545aac7718be80a0109f79c6244e7853d2f8989aed3b614c590178,09271ca32f545aac7718be80a0109f79c6244e7853d2f8989aed3b614c590178,True
decoder_source,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-deepseek-flash-20260911/expgym/compact_nasbench101.py,f8633c9744f58a3b87b704ac21e6063c667da84085dea3f3aea39689b14a2bbc,f8633c9744f58a3b87b704ac21e6063c667da84085dea3f3aea39689b14a2bbc,True
table_manifest,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/nasbench_101_compact.manifest.json,dd7358114de89adc38c684aa6d181d33c0b1d9bd3c64d3c90a9053e3fbc62f1c,dd7358114de89adc38c684aa6d181d33c0b1d9bd3c64d3c90a9053e3fbc62f1c,True
table,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/nasbench_201_compact/cifar10-valid.pkl,c7983f199b89e1e0dc52c7963f850f8162095b2bbf0c090fb9a4d543bea8616e,c7983f199b89e1e0dc52c7963f850f8162095b2bbf0c090fb9a4d543bea8616e,True
decoder_source,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-deepseek-flash-20260911/expgym/compact_nasbench201.py,eb549e5c179050998e2f87387c8ddeb99f01fd8d703c74908fbd927242935eed,eb549e5c179050998e2f87387c8ddeb99f01fd8d703c74908fbd927242935eed,True
table_manifest,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/nasbench_201_compact/manifest.json,0b705ba5e5c210cec2a93825310b67b4361f94547f6ca8b1f9d8985f1e28dcdf,0b705ba5e5c210cec2a93825310b67b4361f94547f6ca8b1f9d8985f1e28dcdf,True
table,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/nasbench_201_compact/cifar100.pkl,c941f8c94feb0f9f1985669f160b931a25929e51de7a845a26e76612ac2688aa,c941f8c94feb0f9f1985669f160b931a25929e51de7a845a26e76612ac2688aa,True
table,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/nasbench_201_compact/imagenet16-120.pkl,8a1b743aef5cf74a4867147d5d60d6bed0d1e1b74485e7a0a5bf592d259cb4d3,8a1b743aef5cf74a4867147d5d60d6bed0d1e1b74485e7a0a5bf592d259cb4d3,True
objective_surrogate,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/Surrogates/rf_surrogate_paramnet_adult.pkl,a8d382a511c7a17c36315199f7485b0cfc86b21f2074d79e1ec0655ffd385bca,a8d382a511c7a17c36315199f7485b0cfc86b21f2074d79e1ec0655ffd385bca,True
cost_surrogate,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/Surrogates/rf_cost_surrogate_paramnet_adult.pkl,4ae88b9b86d80c42856bb5479b26b2c8c2742f279a149a9426c8b258a9e131a0,4ae88b9b86d80c42856bb5479b26b2c8c2742f279a149a9426c8b258a9e131a0,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_de0a4d658b46de7abac0163b7e7402f9032b14c7be003431279e99029332695a/runtime/hpobench/config/.hpobenchrc,51a0a3518e1ad409cfaeb093ca181d44c6823fa59621fc433453128a8856fdcb,51a0a3518e1ad409cfaeb093ca181d44c6823fa59621fc433453128a8856fdcb,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7482acf9cef53882aac400879463d92aff245751253683154fe424d109e7bc21/runtime/hpobench/config/.hpobenchrc,e34b7084bd3a33e47faff2588a72f9cd01ec9da52f96f4a80fa533fe2d43dc05,e34b7084bd3a33e47faff2588a72f9cd01ec9da52f96f4a80fa533fe2d43dc05,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7a6a49c55e98094eec9f3ef1e615f2d30d7353b23c2bcacc72ddd21d2c381386/runtime/hpobench/config/.hpobenchrc,94871b32900477a2c32e8d9bc616fdeb5c4080c3613d07a0eaf1bb7856f7713d,94871b32900477a2c32e8d9bc616fdeb5c4080c3613d07a0eaf1bb7856f7713d,True
objective_surrogate,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/Surrogates/rf_surrogate_paramnet_higgs.pkl,276850e306ad93e5067478300099b82df501555af4fbcd3a2b12b5d8a8b34ba6,276850e306ad93e5067478300099b82df501555af4fbcd3a2b12b5d8a8b34ba6,True
cost_surrogate,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/Surrogates/rf_cost_surrogate_paramnet_higgs.pkl,0c8eee26b2e2ffcccefb2d98ccf78577c90e2beccbb7bda3c36291843f6024d2,0c8eee26b2e2ffcccefb2d98ccf78577c90e2beccbb7bda3c36291843f6024d2,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_45ab8f8a00ce37e1afa3b2dddcc6200536f648de6368b68d0e5f05dd29584628/runtime/hpobench/config/.hpobenchrc,f46b29e9d647aa87bc5584a6ec1a0f20a80f402cdca984f5e099c048d4b877b8,f46b29e9d647aa87bc5584a6ec1a0f20a80f402cdca984f5e099c048d4b877b8,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_597787beba86cea6f6388be48ef5dbd3f31fdc5cbf04fd240c21a6971ed1e480/runtime/hpobench/config/.hpobenchrc,cc52bd575c4478f8cf97889490a02898e2da3f1f599b6fa0aaee358fd9e68a18,cc52bd575c4478f8cf97889490a02898e2da3f1f599b6fa0aaee358fd9e68a18,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4cf2ec828974ad1e6a3677b057592a289e6d6fa5bc44c5f689330872422f8a39/runtime/hpobench/config/.hpobenchrc,bed823a4f6c4d0c2efb223580b4b7eb08e732e130e918cf275482e32b363ed66,bed823a4f6c4d0c2efb223580b4b7eb08e732e130e918cf275482e32b363ed66,True
objective_surrogate,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/Surrogates/rf_surrogate_paramnet_letter.pkl,984478cb9ba3ad1115d1d93b8a86f1fedb13e1fad1b6568dcc79d91a8df54c27,984478cb9ba3ad1115d1d93b8a86f1fedb13e1fad1b6568dcc79d91a8df54c27,True
cost_surrogate,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/data/hpo_tuning/hpobench_data/Surrogates/rf_cost_surrogate_paramnet_letter.pkl,f7f064e84f9c7ed8cc3196224d49eb7c1872bf4ab13a984a4dd8148c133bd054,f7f064e84f9c7ed8cc3196224d49eb7c1872bf4ab13a984a4dd8148c133bd054,True
hpobench_configuration,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_50baffd390b25117d80db6711bca908a648c85fd1a12111d9d6b3d5b19172006/runtime/hpobench/config/.hpobenchrc,c11552c34dfbf9961d1ff50dbfb4823a980f864f49b0df50f7eb4e097c7d552d,c11552c34dfbf9961d1ff50dbfb4823a980f864f49b0df50f7eb4e097c7d552d,True
