cohort_id,execution_complete,family,item,metrics_json,model,order,outer_repeat,provider_cohort,regime,scenario,score_complete,seed,slot_id,strategy,system
deepseek_original,True,evidence_audit,cc-large:0,"{""evidence_acc"": 0.7058823529411765, ""label_acc"": 1.0}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,d7516c8b7b723cb235036566,single,expgym
deepseek_original,True,evidence_audit,cc-large:0,"{""evidence_acc"": 0.35294117647058826, ""label_acc"": 0.7647058823529411}",deepseek-v4-flash-0731,1,0,historical_other,cost_free,evidence_audit,True,2201,1f5ad7f5766bd28b4d63617d,single,expgym
deepseek_original,True,evidence_audit,cc-large:0,"{""evidence_acc"": 0.5882352941176471, ""label_acc"": 1.0}",deepseek-v4-flash-0731,2,0,historical_other,cost_free,evidence_audit,True,2202,4bc6433807e7a491ec0881a9,single,expgym
deepseek_original,True,evidence_audit,cc-large:1,"{""evidence_acc"": 1.0, ""label_acc"": 0.9411764705882353}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,19193789061d527701784c53,single,expgym
deepseek_original,True,evidence_audit,cc-large:1,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,1,0,historical_other,cost_free,evidence_audit,True,2201,3f42c6d29761ee5375eeac72,single,expgym
deepseek_original,True,evidence_audit,cc-large:1,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,2,0,historical_other,cost_free,evidence_audit,True,2202,3d5665bd363c2d70c0ff2a76,single,expgym
deepseek_original,True,evidence_audit,cc-large:10,"{""evidence_acc"": 0.5882352941176471, ""label_acc"": 0.8235294117647058}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,97ee48f6181ec0fd1a3f860d,single,expgym
deepseek_original,True,evidence_audit,cc-large:10,"{""evidence_acc"": 0.7647058823529411, ""label_acc"": 0.9411764705882353}",deepseek-v4-flash-0731,1,0,historical_other,cost_free,evidence_audit,True,2201,34c8519d9ac7e26afa899a9e,single,expgym
deepseek_original,True,evidence_audit,cc-large:10,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,2,0,historical_other,cost_free,evidence_audit,True,2202,3acf599ce8059fb8cc4badfc,single,expgym
deepseek_original,True,evidence_audit,cc-large:11,"{""evidence_acc"": 0.6470588235294118, ""label_acc"": 0.7647058823529411}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,16661a382899189771e7624b,single,expgym
deepseek_original,True,evidence_audit,cc-large:11,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,1,0,historical_other,cost_free,evidence_audit,True,2201,92e65d20d48627574b9fc1a4,single,expgym
deepseek_original,True,evidence_audit,cc-large:11,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,2,0,historical_other,cost_free,evidence_audit,True,2202,9d63dd75dce6fee2b76604f3,single,expgym
deepseek_original,True,evidence_audit,cc-large:12,"{""evidence_acc"": 1.0, ""label_acc"": 1.0}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,7e17f4ab23f22c65b0b987d8,single,expgym
deepseek_original,True,evidence_audit,cc-large:12,"{""evidence_acc"": 0.9411764705882353, ""label_acc"": 0.9411764705882353}",deepseek-v4-flash-0731,1,0,historical_other,cost_free,evidence_audit,True,2201,67157c72625359b71d653c9c,single,expgym
deepseek_original,True,evidence_audit,cc-large:12,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,2,0,historical_other,cost_free,evidence_audit,True,2202,730cc42d769eb84a8c01f776,single,expgym
deepseek_original,True,evidence_audit,cc-large:2,"{""evidence_acc"": 1.0, ""label_acc"": 1.0}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,e7adf01cd8cebd93935274af,single,expgym
deepseek_original,True,evidence_audit,cc-large:2,"{""evidence_acc"": 0.0, ""label_acc"": 0.0}",deepseek-v4-flash-0731,1,0,historical_other,cost_free,evidence_audit,True,2201,7e6507ffbc87bbb214732f5e,single,expgym
deepseek_original,True,evidence_audit,cc-large:2,"{""evidence_acc"": 1.0, ""label_acc"": 0.9411764705882353}",deepseek-v4-flash-0731,2,0,historical_other,cost_free,evidence_audit,True,2202,d3373a7f2a58802e9166fdf1,single,expgym
deepseek_original,True,evidence_audit,cc-large:3,"{""evidence_acc"": 1.0, ""label_acc"": 0.9411764705882353}",deepseek-v4-flash-0731,0,0,historical_other,cost_free,evidence_audit,True,2200,2ffc40e9fd1b73f2841e5acf,single,expgym
