comparison,model,system,scenario,slice_kind,slice,metric,unit,N,regime,analysis_unit,report_scale,report_score_unit,report_delta_unit,complete,naive_full_mean,naive_expected_units,naive_known_units,naive_missing_units,naive_absolute_record,naive_cohort_id,cached_full_mean,cached_expected_units,cached_known_units,cached_missing_units,cached_absolute_record,cached_cohort_id,poolact_full_mean,poolact_expected_units,poolact_known_units,poolact_missing_units,poolact_absolute_record,poolact_cohort_id,cached_minus_naive,poolact_minus_naive,poolact_minus_cached
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.667420814479638,13,13,0,116,deepseek_rerun_20260912,0.7126696832579186,13,13,0,112,deepseek_rerun_20260912,0.9468325791855203,13,13,0,120,deepseek_rerun_20260912,0.0452488687782806,0.2794117647058823,0.2341628959276017
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6097285067873303,13,13,0,128,deepseek_rerun_20260912,0.5893665158371041,13,13,0,124,deepseek_rerun_20260912,0.7058823529411764,13,13,0,132,deepseek_rerun_20260912,-0.0203619909502262,0.0961538461538461,0.1165158371040723
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6968325791855203,13,13,0,117,deepseek_rerun_20260912,0.7239819004524887,13,13,0,113,deepseek_rerun_20260912,0.9457013574660633,13,13,0,121,deepseek_rerun_20260912,0.0271493212669684,0.2488687782805430,0.2217194570135746
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6199095022624435,13,13,0,129,deepseek_rerun_20260912,0.6199095022624435,13,13,0,125,deepseek_rerun_20260912,0.7149321266968326,13,13,0,133,deepseek_rerun_20260912,0E-16,0.0950226244343891,0.0950226244343891
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8597285067873304,13,13,0,118,deepseek_rerun_20260912,0.8947963800904977,13,13,0,114,deepseek_rerun_20260912,0.9615384615384616,13,13,0,122,deepseek_rerun_20260912,0.0350678733031673,0.1018099547511312,0.0667420814479639
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8687782805429864,13,13,0,130,deepseek_rerun_20260912,0.8461538461538461,13,13,0,126,deepseek_rerun_20260912,0.9072398190045249,13,13,0,134,deepseek_rerun_20260912,-0.0226244343891403,0.0384615384615385,0.0610859728506788
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.918552036199095,13,13,0,119,deepseek_rerun_20260912,0.9321266968325792,13,13,0,115,deepseek_rerun_20260912,0.9638009049773756,13,13,0,123,deepseek_rerun_20260912,0.0135746606334842,0.0452488687782806,0.0316742081447964
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8914027149321266,13,13,0,131,deepseek_rerun_20260912,0.8959276018099547,13,13,0,127,deepseek_rerun_20260912,0.9276018099547512,13,13,0,135,deepseek_rerun_20260912,0.0045248868778281,0.0361990950226246,0.0316742081447965
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.667420814479638,13,13,0,140,deepseek_rerun_20260912,0.7126696832579186,13,13,0,136,deepseek_rerun_20260912,0.9468325791855203,13,13,0,144,deepseek_rerun_20260912,0.0452488687782806,0.2794117647058823,0.2341628959276017
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6097285067873303,13,13,0,152,deepseek_rerun_20260912,0.5893665158371041,13,13,0,148,deepseek_rerun_20260912,0.7058823529411764,13,13,0,156,deepseek_rerun_20260912,-0.0203619909502262,0.0961538461538461,0.1165158371040723
