event_id,lane,models,run_id,start_utc,end_utc,time_basis,phase,matrix,planned,execution_accounting,score_accounting,count_unit,issue_found,followup,final_selection,excluded_model_in_current_report,evidence,known_limitations,additional_accounting
k3-text-smoke,selfserve,"[""Kimi K3""]",smoke,2026-09-07T08:58:12.290653+00:00,2026-09-07T09:03:27.616265+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",smoke,Real task smoke: 9 N1 traces + 18 N2 strategy pools / 45 agent traces; 15 subprocess jobs.,"{""expgym_traces"": 9, ""poolact_agent_traces"": 36, ""poolact_paper_agent_traces"": 36, ""poolact_paper_results"": 18, ""poolact_results"": 18, ""subprocess_jobs"": 15, ""total_agent_traces"": 45}","{""completed"": 15, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 9, ""poolact_agent_traces"": 36, ""poolact_paper_agent_traces"": 36, ""poolact_paper_results"": 18, ""poolact_results"": 18, ""subprocess_jobs"": 15, ""total_agent_traces"": 45}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,During v1 full: quoted Answer marker was parsed as the final-answer start; invalid NAS101-B final configuration could raise rather than persist a scored invalid answer. NAS101 B/C prompt encoding mismatch was identified but its candidate prompt patch was not applied in this cohort.,Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/smoke/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/smoke/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-pilot,selfserve,"[""Kimi K3""]",pilot,2026-09-07T09:04:15.106146+00:00,2026-09-07T09:17:01.567751+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",smoke,"Real 30-step/N4 pilot: 42 N1 traces + 54 N4 pools / 258 agent traces; 36 subprocess jobs. Same-version pilot bytes promoted into full, not additional independent samples.","{""expgym_traces"": 42, ""poolact_agent_traces"": 216, ""poolact_paper_agent_traces"": 72, ""poolact_paper_results"": 18, ""poolact_results"": 54, ""subprocess_jobs"": 36, ""total_agent_traces"": 258}","{""completed"": 36, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 42, ""poolact_agent_traces"": 216, ""poolact_paper_agent_traces"": 72, ""poolact_paper_results"": 18, ""poolact_results"": 54, ""subprocess_jobs"": 36, ""total_agent_traces"": 258}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,During v1 full: quoted Answer marker was parsed as the final-answer start; invalid NAS101-B final configuration could raise rather than persist a scored invalid answer. NAS101 B/C prompt encoding mismatch was identified but its candidate prompt patch was not applied in this cohort.,Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/pilot/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/pilot/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-full,selfserve,"[""Kimi K3""]",full,2026-09-07T09:20:20.853925+00:00,2026-09-07T09:36:29.957007+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",formal,"Textual ReAct Custom study: N1 = 9 HPO × R3 + 35 Search + 13 Audit × 3 orders, all Free/Moderate/Tight = 303 traces; N4 = (9 HPO + 35 Search + 13 Audit) × three budgets × naive/cached/poolact = 513 pools. 342 subprocess jobs; not the later 783-slot matrix.","{""expgym_traces"": 303, ""poolact_agent_traces"": 2052, ""poolact_paper_agent_traces"": 768, ""poolact_paper_results"": 192, ""poolact_results"": 513, ""subprocess_jobs"": 342, ""total_agent_traces"": 2355}","{""completed"": 40, ""failed"": 3, ""interrupted"": 3, ""pending"": 296, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 63, ""poolact_agent_traces"": 228, ""poolact_paper_agent_traces"": 24, ""poolact_paper_results"": 6, ""poolact_results"": 57, ""subprocess_jobs"": 40, ""total_agent_traces"": 291}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,During v1 full: quoted Answer marker was parsed as the final-answer start; invalid NAS101-B final configuration could raise rather than persist a scored invalid answer. NAS101 B/C prompt encoding mismatch was identified but its candidate prompt patch was not applied in this cohort.,Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,replaced,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/full/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/full/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-smoke_v2,selfserve,"[""Kimi K3""]",smoke_v2,2026-09-07T09:39:15.910884+00:00,2026-09-07T09:44:17.284075+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",smoke,Real task smoke: 9 N1 traces + 18 N2 strategy pools / 45 agent traces; 15 subprocess jobs.,"{""expgym_traces"": 9, ""poolact_agent_traces"": 36, ""poolact_paper_agent_traces"": 36, ""poolact_paper_results"": 18, ""poolact_results"": 18, ""subprocess_jobs"": 15, ""total_agent_traces"": 45}","{""completed"": 15, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 9, ""poolact_agent_traces"": 36, ""poolact_paper_agent_traces"": 36, ""poolact_paper_results"": 18, ""poolact_results"": 18, ""subprocess_jobs"": 15, ""total_agent_traces"": 45}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,During v2 full: substring lookup could bind a previously evaluated configuration score to a contaminated multi-Answer string; independent score check failed.,Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/smoke_v2/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/smoke_v2/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-pilot_v2,selfserve,"[""Kimi K3""]",pilot_v2,2026-09-07T09:45:07.883064+00:00,2026-09-07T09:59:51.441265+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",smoke,"Real 30-step/N4 pilot: 42 N1 traces + 54 N4 pools / 258 agent traces; 36 subprocess jobs. Same-version pilot bytes promoted into full, not additional independent samples.","{""expgym_traces"": 42, ""poolact_agent_traces"": 216, ""poolact_paper_agent_traces"": 72, ""poolact_paper_results"": 18, ""poolact_results"": 54, ""subprocess_jobs"": 36, ""total_agent_traces"": 258}","{""completed"": 36, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 42, ""poolact_agent_traces"": 216, ""poolact_paper_agent_traces"": 72, ""poolact_paper_results"": 18, ""poolact_results"": 54, ""subprocess_jobs"": 36, ""total_agent_traces"": 258}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,During v2 full: substring lookup could bind a previously evaluated configuration score to a contaminated multi-Answer string; independent score check failed.,Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/pilot_v2/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/pilot_v2/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-full_v2,selfserve,"[""Kimi K3""]",full_v2,2026-09-07T10:01:55.946849+00:00,2026-09-07T10:23:20.674650+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",formal,"Textual ReAct Custom study: N1 = 9 HPO × R3 + 35 Search + 13 Audit × 3 orders, all Free/Moderate/Tight = 303 traces; N4 = (9 HPO + 35 Search + 13 Audit) × three budgets × naive/cached/poolact = 513 pools. 342 subprocess jobs; not the later 783-slot matrix.","{""expgym_traces"": 303, ""poolact_agent_traces"": 2052, ""poolact_paper_agent_traces"": 768, ""poolact_paper_results"": 192, ""poolact_results"": 513, ""subprocess_jobs"": 342, ""total_agent_traces"": 2355}","{""completed"": 45, ""failed"": 1, ""interrupted"": 0, ""pending"": 296, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 69, ""poolact_agent_traces"": 264, ""poolact_paper_agent_traces"": 24, ""poolact_paper_results"": 6, ""poolact_results"": 66, ""subprocess_jobs"": 45, ""total_agent_traces"": 333}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,During v2 full: substring lookup could bind a previously evaluated configuration score to a contaminated multi-Answer string; independent score check failed.,Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,replaced,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/full_v2/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/full_v2/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-smoke_v3,selfserve,"[""Kimi K3""]",smoke_v3,2026-09-07T10:25:28.732722+00:00,2026-09-07T10:30:26.192139+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",smoke,Real task smoke: 9 N1 traces + 18 N2 strategy pools / 45 agent traces; 15 subprocess jobs.,"{""expgym_traces"": 9, ""poolact_agent_traces"": 36, ""poolact_paper_agent_traces"": 36, ""poolact_paper_results"": 18, ""poolact_results"": 18, ""subprocess_jobs"": 15, ""total_agent_traces"": 45}","{""completed"": 15, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 9, ""poolact_agent_traces"": 36, ""poolact_paper_agent_traces"": 36, ""poolact_paper_results"": 18, ""poolact_results"": 18, ""subprocess_jobs"": 15, ""total_agent_traces"": 45}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,"Full v3 passed its frozen scoring/integrity contract. Later review identified limitations of textual protocol (native tags/missing actions, 8k text cap) and retained NAS101 B/C prompt mismatch; this is not the native reference matrix used in the latest report.",Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/smoke_v3/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/smoke_v3/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-pilot_v3,selfserve,"[""Kimi K3""]",pilot_v3,2026-09-07T10:30:48.692280+00:00,2026-09-07T10:43:27.127730+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",smoke,"Real 30-step/N4 pilot: 42 N1 traces + 54 N4 pools / 258 agent traces; 36 subprocess jobs. Same-version pilot bytes promoted into full, not additional independent samples.","{""expgym_traces"": 42, ""poolact_agent_traces"": 216, ""poolact_paper_agent_traces"": 72, ""poolact_paper_results"": 18, ""poolact_results"": 54, ""subprocess_jobs"": 36, ""total_agent_traces"": 258}","{""completed"": 36, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 42, ""poolact_agent_traces"": 216, ""poolact_paper_agent_traces"": 72, ""poolact_paper_results"": 18, ""poolact_results"": 54, ""subprocess_jobs"": 36, ""total_agent_traces"": 258}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,"Full v3 passed its frozen scoring/integrity contract. Later review identified limitations of textual protocol (native tags/missing actions, 8k text cap) and retained NAS101 B/C prompt mismatch; this is not the native reference matrix used in the latest report.",Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/pilot_v3/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/pilot_v3/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
k3-text-full_v3,selfserve,"[""Kimi K3""]",full_v3,2026-09-07T10:46:07.804011+00:00,2026-09-07T11:50:46.745903+00:00,"frozen generation progress.started_at/finished_at, not zero-call resume",formal,"Textual ReAct Custom study: N1 = 9 HPO × R3 + 35 Search + 13 Audit × 3 orders, all Free/Moderate/Tight = 303 traces; N4 = (9 HPO + 35 Search + 13 Audit) × three budgets × naive/cached/poolact = 513 pools. 342 subprocess jobs; not the later 783-slot matrix.","{""expgym_traces"": 303, ""poolact_agent_traces"": 2052, ""poolact_paper_agent_traces"": 768, ""poolact_paper_results"": 192, ""poolact_results"": 513, ""subprocess_jobs"": 342, ""total_agent_traces"": 2355}","{""completed"": 342, ""failed"": 0, ""interrupted"": 0, ""pending"": 0, ""running"": 0}","{""saved_completed_counts"": {""expgym_traces"": 303, ""poolact_agent_traces"": 2052, ""poolact_paper_agent_traces"": 768, ""poolact_paper_results"": 192, ""poolact_results"": 513, ""subprocess_jobs"": 342, ""total_agent_traces"": 2355}, ""scope"": ""progress accounting; full_v3 also had independent scoring audits""}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,"Full v3 passed its frozen scoring/integrity contract. Later review identified limitations of textual protocol (native tags/missing actions, 8k text cap) and retained NAS101 B/C prompt mismatch; this is not the native reference matrix used in the latest report.",Same-version pilot promoted into full; v1/v2 full stopped and all formal work was replaced by uniform v3. All three versions later superseded in the main comparison by native portable study.,replaced,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/reports/full_v3_generation_completed/progress.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/runs/full_v3/manifest.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/RECOVERY_PLAN.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/kimi_k3_eval/README.md""]","[""Full progress includes byte-identical pilot promotion; do not sum pilot and full as independent executions."", ""Completed job counts are not the same unit as individual traces or PoolAct strategy pools.""]",{}
portable_01,selfserve,"[""Kimi K3""]",k3_smoke_1203474_v2_protocol,2026-09-08T03:20:26.877396Z,2026-09-08T03:30:29.344043Z,原始执行开始/结束元数据,smoke,固定协议/nonce/重复性检查,"{""logical_calls"": 56}","{""http_attempts"": 56, ""logical_calls"": 56}",,Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,严格 nonce/重复性验收失败；无传输失败,保留失败；另行 native task-context 修复和开发验证,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/protocol_runs/k3_smoke_1203474_v2/report.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/protocol_runs/k3_smoke_1203474_v2/execution_receipt.json""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""protocol smoke"", ""historical_selection_note"": ""不纳入最终正式分数""}"
