comparison,task,family,n_models,included_models,excluded_models,incomplete_endpoints,free_leaders,free_best,tight_leaders,tight_best,free_leaders_tight_scores,free_tied,leader_set_changed,no_common_leader,regret_min,regret_max
same_complete_endpoint_models,hpobench:nasbench101:A,nasbench101,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,gemini-3.8-flash-medium,99.85603220121546,gpt-5.6-sol,96.61437714610061,94.2934854020858,False,True,True,2.3208917440148014,2.3208917440148014
fixed_five_models,hpobench:nasbench101:A,nasbench101,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,,qwen3.8-2.4t-a95b-fp8,99.58075287547395,gpt-5.6-sol,96.61437714610061,89.67543089383325,False,True,True,6.938946252267357,6.938946252267357
same_complete_endpoint_models,hpobench:nasbench101:B,nasbench101,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,gemini-3.8-flash-medium,98.01737836040152,gemini-3.8-flash-medium,96.87758538132299,96.87758538132299,False,False,False,0.0,0.0
fixed_five_models,hpobench:nasbench101:B,nasbench101,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,,glm-5.3,97.96934265174197,kimi-k3,95.75963768286513,89.99519151983051,False,True,True,5.76444616303462,5.76444616303462
same_complete_endpoint_models,hpobench:nasbench101:C,nasbench101,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,gemini-3.8-flash-medium:cost_tight:2/3,glm-5.3,99.62391238594967,gpt-5.6-sol,99.01547153604999,96.53248663470089,False,True,True,2.4829849013490985,2.4829849013490985
fixed_five_models,hpobench:nasbench101:C,nasbench101,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,,glm-5.3,99.62391238594967,gpt-5.6-sol,99.01547153604999,96.53248663470089,False,True,True,2.4829849013490985,2.4829849013490985
same_complete_endpoint_models,hpobench:nasbench201:cifar10-valid,nasbench201,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,kimi-k3;gemini-3.8-flash-medium,100.0,gpt-5.6-sol,97.65493971987759,90.20658129539613;95.6672219058249,True,True,True,1.9877178140526865,7.448358424481455
fixed_five_models,hpobench:nasbench201:cifar10-valid,nasbench201,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,,kimi-k3,100.0,gpt-5.6-sol,97.65493971987759,90.20658129539613,False,True,True,7.448358424481455,7.448358424481455
same_complete_endpoint_models,hpobench:nasbench201:cifar100,nasbench201,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,kimi-k3;gemini-3.8-flash-medium,100.0,gemini-3.8-flash-medium,98.58033670896867,97.47918761784821;98.58033670896867,True,True,False,0.0,1.1011490911204618
fixed_five_models,hpobench:nasbench201:cifar100,nasbench201,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,,kimi-k3,100.0,kimi-k3,97.47918761784821,97.47918761784821,False,False,False,0.0,0.0
same_complete_endpoint_models,hpobench:nasbench201:imagenet16-120,nasbench201,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,kimi-k3,99.31250369009454,kimi-k3,96.29593816583329,96.29593816583329,False,False,False,0.0,0.0
fixed_five_models,hpobench:nasbench201:imagenet16-120,nasbench201,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,,kimi-k3,99.31250369009454,kimi-k3,96.29593816583329,96.29593816583329,False,False,False,0.0,0.0
