family,scenario,regime,metric,unit,N,model,full_mean,display_value,rank,ranking_status,overall_winner,eligible_all_budgets,excluded_reason,cohort_id,source_input,source_row,planned_candidates,known_candidates
evidence_audit,evidence_audit,cost_free,evidence_acc,fraction,1,kimi-k3,0.894419306184012,89.44,3,known,False,True,,kimi_original,old_absolute,2673,6,6
evidence_audit,evidence_audit,cost_free,evidence_acc,fraction,1,glm-5.3,0.6847662141779789,68.48,5,known,False,True,,glm_original,old_absolute,1247,6,6
evidence_audit,evidence_audit,cost_free,evidence_acc,fraction,1,qwen3.8-2.4t-a95b-fp8,0.9185520361990951,91.86,2,known,False,True,,qwen_original,old_absolute,3840,6,6
evidence_audit,evidence_audit,cost_free,evidence_acc,fraction,1,deepseek-v4-flash-0731,0.6395173453996983,63.95,6,known,False,True,,deepseek_original,old_absolute,34,6,6
evidence_audit,evidence_audit,cost_free,evidence_acc,fraction,1,gpt-5.6-sol,0.7043740573152337,70.44,4,known,False,True,,gpt_original,old_absolute,2387,6,6
evidence_audit,evidence_audit,cost_free,evidence_acc,fraction,1,gemini-3.8-flash-medium,0.975867269984917,97.59,1,known,True,True,,gemini_snapshot,gemini_absolute,2,6,6
evidence_audit,evidence_audit,cost_moderate,evidence_acc,fraction,1,kimi-k3,0.6877828054298643,68.78,3,known,False,True,,kimi_original,old_absolute,2684,6,6
evidence_audit,evidence_audit,cost_moderate,evidence_acc,fraction,1,glm-5.3,0.6787330316742082,67.87,4,known,False,True,,glm_original,old_absolute,1258,6,6
evidence_audit,evidence_audit,cost_moderate,evidence_acc,fraction,1,qwen3.8-2.4t-a95b-fp8,0.7496229260935142,74.96,2,known,False,True,,qwen_original,old_absolute,3851,6,6
evidence_audit,evidence_audit,cost_moderate,evidence_acc,fraction,1,deepseek-v4-flash-0731,0.5867269984917044,58.67,6,known,False,True,,deepseek_original,old_absolute,45,6,6
evidence_audit,evidence_audit,cost_moderate,evidence_acc,fraction,1,gpt-5.6-sol,0.6591251885369532,65.91,5,known,False,True,,gpt_original,old_absolute,2389,6,6
evidence_audit,evidence_audit,cost_moderate,evidence_acc,fraction,1,gemini-3.8-flash-medium,0.828054298642534,82.81,1,known,True,True,,gemini_snapshot,gemini_absolute,6,6,6
evidence_audit,evidence_audit,cost_tight,evidence_acc,fraction,1,kimi-k3,0.5158371040723982,51.58,4,known,False,True,,kimi_original,old_absolute,2695,6,6
evidence_audit,evidence_audit,cost_tight,evidence_acc,fraction,1,glm-5.3,0.502262443438914,50.23,5,known,False,True,,glm_original,old_absolute,1269,6,6
evidence_audit,evidence_audit,cost_tight,evidence_acc,fraction,1,qwen3.8-2.4t-a95b-fp8,0.5837104072398189,58.37,2,known,False,True,,qwen_original,old_absolute,3862,6,6
evidence_audit,evidence_audit,cost_tight,evidence_acc,fraction,1,deepseek-v4-flash-0731,0.47511312217194573,47.51,6,known,False,True,,deepseek_original,old_absolute,56,6,6
evidence_audit,evidence_audit,cost_tight,evidence_acc,fraction,1,gpt-5.6-sol,0.5414781297134238,54.15,3,known,False,True,,gpt_original,old_absolute,2391,6,6
evidence_audit,evidence_audit,cost_tight,evidence_acc,fraction,1,gemini-3.8-flash-medium,0.7209653092006033,72.10,1,known,True,True,,gemini_snapshot,gemini_absolute,10,6,6
nasbench101,tuning,cost_free,gap0,Gap points,1,kimi-k3,98.69201330579891,98.69,3,known,False,True,,kimi_original,old_gap0,4,6,6
nasbench101,tuning,cost_free,gap0,Gap points,1,glm-5.3,99.05747572457256,99.06,2,known,False,True,,glm_original,old_gap0,28,6,6
nasbench101,tuning,cost_free,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,98.66176600805261,98.66,4,known,False,True,,qwen_original,old_gap0,52,6,6
nasbench101,tuning,cost_free,gap0,Gap points,1,deepseek-v4-flash-0731,60.10277211076796,60.10,6,known,False,True,,deepseek_original,old_gap0,76,6,6
nasbench101,tuning,cost_free,gap0,Gap points,1,gpt-5.6-sol,98.37784249896156,98.38,5,known,False,True,,gpt_original,old_gap0,100,6,6
nasbench101,tuning,cost_free,gap0,Gap points,1,gemini-3.8-flash-medium,99.33314374851237,99.33,1,known,True,False,"Moderate,Tight unknown 或不唯一",gemini_snapshot,gemini_metrics,"[441,1041,1188,1362,1382,1476,1522,1528,1542]",6,6
nasbench101,tuning,cost_moderate,gap0,Gap points,1,kimi-k3,97.85718108169253,97.86,2,known,False,True,,kimi_original,old_gap0,5,6,5
nasbench101,tuning,cost_moderate,gap0,Gap points,1,glm-5.3,97.73655857169163,97.74,3,known,False,True,,glm_original,old_gap0,29,6,5
nasbench101,tuning,cost_moderate,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,96.51099706037206,96.51,4,known,False,True,,qwen_original,old_gap0,53,6,5
nasbench101,tuning,cost_moderate,gap0,Gap points,1,deepseek-v4-flash-0731,71.87713482205692,71.88,5,known,False,True,,deepseek_original,old_gap0,77,6,5
nasbench101,tuning,cost_moderate,gap0,Gap points,1,gpt-5.6-sol,98.3240016602899,98.32,1,known,False,True,,gpt_original,old_gap0,101,6,5
nasbench101,tuning,cost_moderate,gap0,Gap points,1,gemini-3.8-flash-medium,,unknown,,unknown,False,False,"Moderate,Tight unknown 或不唯一",gemini_snapshot,gemini_metrics,"[250,563,591,1366,1450,1480,1558,1590,1596]",6,5
