model,regime,termination,termination_class,n
deepseek-v4-flash-0731,cost_free,aborted,other,5
deepseek-v4-flash-0731,cost_free,empty_model_response,other,12
deepseek-v4-flash-0731,cost_free,max_steps_reached,cap,8
deepseek-v4-flash-0731,cost_free,natural_answer,natural,2
deepseek-v4-flash-0731,cost_moderate,empty_model_response,other,7
deepseek-v4-flash-0731,cost_moderate,natural_answer,natural,10
deepseek-v4-flash-0731,cost_moderate,time_budget_exceeded,budget,10
deepseek-v4-flash-0731,cost_tight,aborted,other,3
deepseek-v4-flash-0731,cost_tight,empty_model_response,other,3
deepseek-v4-flash-0731,cost_tight,natural_answer,natural,9
deepseek-v4-flash-0731,cost_tight,time_budget_exceeded,budget,12
gemini-3.8-flash-medium,cost_free,max_steps_reached,cap,23
gemini-3.8-flash-medium,cost_free,natural_answer,natural,4
gemini-3.8-flash-medium,cost_moderate,max_steps_reached,cap,3
gemini-3.8-flash-medium,cost_moderate,natural_answer,natural,23
gemini-3.8-flash-medium,cost_moderate,time_budget_exceeded,budget,1
gemini-3.8-flash-medium,cost_tight,natural_answer,natural,22
gemini-3.8-flash-medium,cost_tight,time_budget_exceeded,budget,5
glm-5.3,cost_free,max_steps_reached,cap,25
glm-5.3,cost_free,natural_answer,natural,2
glm-5.3,cost_moderate,max_steps_reached,cap,1
glm-5.3,cost_moderate,natural_answer,natural,21
glm-5.3,cost_moderate,time_budget_exceeded,budget,5
glm-5.3,cost_tight,aborted,other,1
glm-5.3,cost_tight,natural_answer,natural,13
glm-5.3,cost_tight,time_budget_exceeded,budget,13
gpt-5.6-sol,cost_free,max_steps_reached,cap,5
gpt-5.6-sol,cost_free,natural_answer,natural,22
gpt-5.6-sol,cost_moderate,natural_answer,natural,26
gpt-5.6-sol,cost_moderate,time_budget_exceeded,budget,1
gpt-5.6-sol,cost_tight,natural_answer,natural,19
gpt-5.6-sol,cost_tight,time_budget_exceeded,budget,8
kimi-k3,cost_free,max_steps_reached,cap,11
kimi-k3,cost_free,natural_answer,natural,16
kimi-k3,cost_moderate,natural_answer,natural,23
kimi-k3,cost_moderate,time_budget_exceeded,budget,4
kimi-k3,cost_tight,natural_answer,natural,15
kimi-k3,cost_tight,time_budget_exceeded,budget,12
qwen3.8-2.4t-a95b-fp8,cost_free,aborted,other,1
qwen3.8-2.4t-a95b-fp8,cost_free,max_steps_reached,cap,24
qwen3.8-2.4t-a95b-fp8,cost_free,natural_answer,natural,2
qwen3.8-2.4t-a95b-fp8,cost_moderate,natural_answer,natural,25
qwen3.8-2.4t-a95b-fp8,cost_moderate,time_budget_exceeded,budget,2
qwen3.8-2.4t-a95b-fp8,cost_tight,natural_answer,natural,11
qwen3.8-2.4t-a95b-fp8,cost_tight,time_budget_exceeded,budget,16
