model,system,regime,strategy,slots,code_commit,source_tree_sha256,graph_protocol,backend,api_protocol,max_context_tokens,temperature,top_p,top_k,reasoning_effort,chat_template_kwargs,max_tokens_config,max_steps,max_evals,numpy_version,configspace_version,planned_action,prefix_collision_slots,ambiguous_path_slots,same_name_selfloop_slots,source_tree_verified_slots,full_history_estimate_max
deepseek-v4-flash-0731,expgym,cost_free,single,27,"[""5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8""]","[""b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
deepseek-v4-flash-0731,expgym,cost_moderate,single,27,"[""5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8""]","[""b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
deepseek-v4-flash-0731,expgym,cost_tight,single,27,"[""5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8""]","[""b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
deepseek-v4-flash-0731,poolact,cost_moderate,cached,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,22229
deepseek-v4-flash-0731,poolact,cost_moderate,naive,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,22253
deepseek-v4-flash-0731,poolact,cost_moderate,poolact,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",9,0,0,9,91490
deepseek-v4-flash-0731,poolact,cost_tight,cached,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,12459
deepseek-v4-flash-0731,poolact,cost_tight,naive,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,28713
deepseek-v4-flash-0731,poolact,cost_tight,poolact,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore"",""rerun""]",8,0,0,9,28834
gemini-3.8-flash-medium,expgym,cost_free,single,27,"[""None"",""de96fb644623e1eedd766bc02d86ad0f13bb7126""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""single""]","[""openrouter"",""sub2api""]","[""gemini"",""openrouter_gemini_chat""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""{}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
gemini-3.8-flash-medium,expgym,cost_moderate,single,27,"[""None"",""de96fb644623e1eedd766bc02d86ad0f13bb7126""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""single""]","[""openrouter"",""sub2api""]","[""gemini"",""openrouter_gemini_chat""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""{}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
gemini-3.8-flash-medium,expgym,cost_tight,single,27,"[""None"",""de96fb644623e1eedd766bc02d86ad0f13bb7126""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""single""]","[""openrouter"",""sub2api""]","[""gemini"",""openrouter_gemini_chat""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""{}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
gemini-3.8-flash-medium,poolact,cost_moderate,cached,9,"[""None""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""paper-graph-lock-v3""]","[""openrouter"",""sub2api""]","[""chat_completions"",""gemini""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore"",""rerun""]",0,0,0,9,55996
gemini-3.8-flash-medium,poolact,cost_moderate,naive,9,"[""None""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""paper-graph-lock-v3""]","[""openrouter"",""sub2api""]","[""chat_completions"",""gemini""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore"",""rerun""]",0,0,0,9,51901
gemini-3.8-flash-medium,poolact,cost_moderate,poolact,9,"[""None""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""paper-graph-lock-v3""]","[""openrouter"",""sub2api""]","[""chat_completions"",""gemini""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",9,9,9,9,86027
gemini-3.8-flash-medium,poolact,cost_tight,cached,9,"[""None""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""paper-graph-lock-v3""]","[""openrouter"",""sub2api""]","[""chat_completions"",""gemini""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore"",""rerun""]",0,0,0,9,51147
gemini-3.8-flash-medium,poolact,cost_tight,naive,9,"[""None""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e""]","[""paper-graph-lock-v3""]","[""sub2api""]","[""gemini""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",0,0,0,9,58000
gemini-3.8-flash-medium,poolact,cost_tight,poolact,9,"[""None""]","[""8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e"",""ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6""]","[""paper-graph-lock-v3""]","[""openrouter"",""sub2api""]","[""chat_completions"",""gemini""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",8,8,5,9,36619
glm-5.3,expgym,cost_free,single,27,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
glm-5.3,expgym,cost_moderate,single,27,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
glm-5.3,expgym,cost_tight,single,27,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
glm-5.3,poolact,cost_moderate,cached,9,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,153533
glm-5.3,poolact,cost_moderate,naive,9,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,106585
glm-5.3,poolact,cost_moderate,poolact,9,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",9,9,9,9,434964
