comparison,model,system,scenario,slice_kind,slice,metric,unit,N,regime,analysis_unit,report_scale,report_score_unit,report_delta_unit,complete,free_full_mean,free_expected_units,free_known_units,free_missing_units,free_absolute_record,free_cohort_id,moderate_full_mean,moderate_expected_units,moderate_known_units,moderate_missing_units,moderate_absolute_record,moderate_cohort_id,tight_full_mean,tight_expected_units,tight_known_units,tight_missing_units,tight_absolute_record,tight_cohort_id,naive_full_mean,naive_expected_units,naive_known_units,naive_missing_units,naive_absolute_record,naive_cohort_id,cached_full_mean,cached_expected_units,cached_known_units,cached_missing_units,cached_absolute_record,cached_cohort_id,poolact_full_mean,poolact_expected_units,poolact_known_units,poolact_missing_units,poolact_absolute_record,poolact_cohort_id,moderate_minus_free,tight_minus_free,tight_minus_moderate,cached_minus_naive,poolact_minus_naive,poolact_minus_cached
N1_budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.6395173453996983,13,13,0,1,deepseek_original,0.5867269984917044,13,13,0,3,deepseek_original,0.47511312217194573,13,13,0,5,deepseek_original,,,,,,,,,,,,,,,,,,,-0.0527903469079939,-0.16440422322775257,-0.11161387631975867,,,
N1_budget,deepseek-v4-flash-0731,expgym,restricted_search,all,all,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.4381339584401631,73,73,0,13,deepseek_original,0.42111672909416664,73,73,0,14,deepseek_original,0.16918418675066538,73,73,0,15,deepseek_original,,,,,,,,,,,,,,,,,,,-0.01701722934599646,-0.26894977168949772,-0.25193254234350126,,,
N1_budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap,Gap points,1,,single_trace,1,Gap points,Gap points,false,,27,20,7,22,deepseek_original,,27,25,2,25,deepseek_original,,27,25,2,28,deepseek_original,,,,,,,,,,,,,,,,,,,,,,,,
N1_budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap0,Gap points,1,,single_trace,1,Gap points,Gap points,true,61.093958124966825,27,27,0,23,deepseek_original,74.01985210220249,27,27,0,26,deepseek_original,75.80946916471585,27,27,0,29,deepseek_original,,,,,,,,,,,,,,,,,,,12.925893977235665,14.715511039749025,1.78961706251336,,,
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6968325791855203,13,13,0,117,deepseek_rerun_20260912,0.7239819004524887,13,13,0,113,deepseek_rerun_20260912,0.9457013574660633,13,13,0,121,deepseek_rerun_20260912,,,,0.0271493212669684,0.2488687782805430,0.2217194570135746
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6199095022624435,13,13,0,129,deepseek_rerun_20260912,0.6199095022624435,13,13,0,125,deepseek_rerun_20260912,0.7149321266968326,13,13,0,133,deepseek_rerun_20260912,,,,0E-16,0.0950226244343891,0.0950226244343891
N4_strategy,deepseek-v4-flash-0731,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6027179791885674,39,39,0,475,deepseek_rerun_20260912,0.6179989944695827,39,39,0,473,deepseek_rerun_20260912,0.613259289729878,39,39,0,477,deepseek_rerun_20260912,,,,0.0152810152810153,0.0105413105413106,-0.0047397047397047
N4_strategy,deepseek-v4-flash-0731,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.02564102564102564,39,39,0,481,deepseek_original,0.04273504273504273,39,39,0,479,deepseek_original,0.07440925087983911,39,39,0,483,deepseek_original,,,,0.01709401709401709,0.04876822523881347,0.03167420814479638
N4_strategy,deepseek-v4-flash-0731,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_moderate,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,96.72433990160577,9,9,0,737,deepseek_rerun_20260912,96.26514512867054,9,9,0,731,deepseek_rerun_20260912,98.73849270264257,9,9,0,743,deepseek_rerun_20260912,,,,-0.45919477293523,2.01415280103680,2.47334757397203
N4_strategy,deepseek-v4-flash-0731,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,83.20315718707613,9,9,0,755,deepseek_rerun_20260912,82.9839402286484,9,9,0,749,deepseek_rerun_20260912,95.29212559185709,9,9,0,761,deepseek_rerun_20260912,,,,-0.21921695842773,12.08896840478096,12.30818536320869
N4_strategy,deepseek-v4-flash-0731,poolact,tuning,all,all,gap_mi,Gap points,4,cost_moderate,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,96.72433990160577,9,9,0,739,deepseek_rerun_20260912,96.26514512867054,9,9,0,733,deepseek_rerun_20260912,98.73849270264257,9,9,0,745,deepseek_rerun_20260912,,,,-0.45919477293523,2.01415280103680,2.47334757397203
N4_strategy,deepseek-v4-flash-0731,poolact,tuning,all,all,gap_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,83.20315718707613,9,9,0,757,deepseek_rerun_20260912,82.9839402286484,9,9,0,751,deepseek_rerun_20260912,95.29212559185709,9,9,0,763,deepseek_rerun_20260912,,,,-0.21921695842773,12.08896840478096,12.30818536320869
N1_budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_x_3_fixed_orders; item_equal_weighted; not_generation_repeats,100,0–100,percentage_points,true,0.975867269984917,39,39,0,910,gemini_snapshot,0.828054298642534,39,39,0,912,gemini_snapshot,0.7209653092006033,39,39,0,914,gemini_snapshot,,,,,,,,,,,,,,,,,,,-0.147812971342383,-0.2549019607843137,-0.1070889894419307,,,
N1_budget,gemini-3.8-flash-medium,expgym,restricted_search,all,all,f1,fraction,1,,independent_single_or_N4_pool; item_equal_weighted,100,0–100,percentage_points,true,0.7202998094214854,73,73,0,1000,gemini_snapshot,0.5501892547420348,73,73,0,1001,gemini_snapshot,0.1783166068419896,73,73,0,1002,gemini_snapshot,,,,,,,,,,,,,,,,,,,-0.1701105546794506,-0.5419832025794958,-0.3718726479000452,,,
N1_budget,gemini-3.8-flash-medium,expgym,tuning,all,all,gap,Gap points,1,,independent_single_or_N4_pool; item_equal_weighted,1,Gap points,Gap points,false,,27,25,2,1228,gemini_snapshot,,27,25,2,1231,gemini_snapshot,,27,25,2,1234,gemini_snapshot,,,,,,,,,,,,,,,,,,,,,,,,
N1_budget,gemini-3.8-flash-medium,expgym,tuning,all,all,gap0,Gap points,1,,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,false,,27,25,2,1229,gemini_snapshot,,27,25,2,1232,gemini_snapshot,,27,25,2,1235,gemini_snapshot,,,,,,,,,,,,,,,,,,,,,,,,
N4_strategy,gemini-3.8-flash-medium,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,independent_single_or_N4_pool; item_equal_weighted,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.8054298642533937,13,13,0,1350,gemini_snapshot,0.8733031674208145,13,13,0,1346,gemini_snapshot,0.9773755656108597,13,13,0,1354,gemini_snapshot,,,,0.0678733031674208,0.1719457013574660,0.1040723981900452
N4_strategy,gemini-3.8-flash-medium,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,independent_single_or_N4_pool; item_equal_weighted,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6877828054298643,13,13,0,1362,gemini_snapshot,0.7149321266968326,13,13,0,1358,gemini_snapshot,0.7375565610859728,13,13,0,1366,gemini_snapshot,,,,0.0271493212669683,0.0497737556561085,0.0226244343891402
N4_strategy,gemini-3.8-flash-medium,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_moderate,independent_single_or_N4_pool; item_equal_weighted,100,0–100,percentage_points,false,,,,,,,,,,,,,,,,,,,,39,38,1,1708,gemini_snapshot,0.6810840575546458,39,39,0,1706,gemini_snapshot,0.6804328569034451,39,39,0,1710,gemini_snapshot,,,,,,-0.0006512006512007
N4_strategy,gemini-3.8-flash-medium,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_tight,independent_single_or_N4_pool; item_equal_weighted,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.20432378079436903,39,39,0,1714,gemini_snapshot,0.2089857854563737,39,39,0,1712,gemini_snapshot,0.3339941104646987,39,39,0,1716,gemini_snapshot,,,,0.00466200466200467,0.12967032967032967,0.1250083250083250
N4_strategy,gemini-3.8-flash-medium,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_moderate,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,false,,,,,,,,,,,,,,,,,,,,9,8,1,2204,gemini_snapshot,,9,7,2,2198,gemini_snapshot,,9,6,3,2210,gemini_snapshot,,,,,,
N4_strategy,gemini-3.8-flash-medium,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,false,,,,,,,,,,,,,,,,,,,95.93106912372679,9,9,0,2222,gemini_snapshot,,9,7,2,2216,gemini_snapshot,,9,8,1,2228,gemini_snapshot,,,,,,
N4_strategy,gemini-3.8-flash-medium,poolact,tuning,all,all,gap_mi,Gap points,4,cost_moderate,independent_single_or_N4_pool; item_equal_weighted,1,Gap points,Gap points,false,,,,,,,,,,,,,,,,,,,,9,8,1,2206,gemini_snapshot,,9,7,2,2200,gemini_snapshot,,9,6,3,2212,gemini_snapshot,,,,,,
N4_strategy,gemini-3.8-flash-medium,poolact,tuning,all,all,gap_mi,Gap points,4,cost_tight,independent_single_or_N4_pool; item_equal_weighted,1,Gap points,Gap points,false,,,,,,,,,,,,,,,,,,,95.93106912372677,9,9,0,2224,gemini_snapshot,,9,7,2,2218,gemini_snapshot,,9,8,1,2230,gemini_snapshot,,,,,,
N1_budget,glm-5.3,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.6847662141779789,13,13,0,2377,glm_original,0.6787330316742082,13,13,0,2379,glm_original,0.502262443438914,13,13,0,2381,glm_original,,,,,,,,,,,,,,,,,,,-0.0060331825037707,-0.1825037707390649,-0.1764705882352942,,,
N1_budget,glm-5.3,expgym,restricted_search,all,all,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.6511024967511672,73,73,0,2389,glm_original,0.5327608944768282,73,73,0,2390,glm_original,0.19234139483938034,73,73,0,2391,glm_original,,,,,,,,,,,,,,,,,,,-0.1183416022743390,-0.45876110191178686,-0.34041949963744786,,,
N1_budget,glm-5.3,expgym,tuning,all,all,gap,Gap points,1,,single_trace,1,Gap points,Gap points,true,97.91114276048467,27,27,0,2398,glm_original,96.15455969143889,27,27,0,2401,glm_original,86.06688865843708,27,27,0,2404,glm_original,,,,,,,,,,,,,,,,,,,-1.75658306904578,-11.84425410204759,-10.08767103300181,,,
N1_budget,glm-5.3,expgym,tuning,all,all,gap0,Gap points,1,,single_trace,1,Gap points,Gap points,true,97.91114276048467,27,27,0,2399,glm_original,96.15455969143889,27,27,0,2402,glm_original,86.06688865843708,27,27,0,2405,glm_original,,,,,,,,,,,,,,,,,,,-1.75658306904578,-11.84425410204759,-10.08767103300181,,,
N4_strategy,glm-5.3,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.8099547511312217,13,13,0,2493,glm_original,0.8461538461538461,13,13,0,2489,glm_original,0.9773755656108597,13,13,0,2497,glm_original,,,,0.0361990950226244,0.1674208144796380,0.1312217194570136
N4_strategy,glm-5.3,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6606334841628959,13,13,0,2505,glm_rerun_20260912,0.6561085972850679,13,13,0,2501,glm_rerun_20260912,0.8190045248868778,13,13,0,2509,glm_rerun_20260912,,,,-0.0045248868778280,0.1583710407239819,0.1628959276018099
N4_strategy,glm-5.3,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.620278196748785,39,39,0,2695,glm_original,0.6567250831956715,39,39,0,2693,glm_original,0.6574188338894221,39,39,0,2697,glm_original,,,,0.0364468864468865,0.0371406371406371,0.0006937506937506
N4_strategy,glm-5.3,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.2085972850678733,39,39,0,2701,glm_original,0.2085972850678733,39,39,0,2699,glm_original,0.30005027652086474,39,39,0,2703,glm_original,,,,0E-16,0.09145299145299144,0.09145299145299144
N4_strategy,glm-5.3,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_moderate,pool_aggregate_N4,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,97.87332960162215,9,9,0,2723,glm_original,98.06133287597413,9,9,0,2717,glm_original,98.96582781948116,9,9,0,2729,glm_original,,,,0.18800327435198,1.09249821785901,0.90449494350703
N4_strategy,glm-5.3,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,85.92950088398068,9,9,0,2741,glm_rerun_20260912,86.57074750139166,9,9,0,2735,glm_rerun_20260912,94.33103637151207,9,9,0,2747,glm_rerun_20260912,,,,0.64124661741098,8.40153548753139,7.76028887012041
