conclusion,historical,new,changed
N1 restricted_search Free-to-Tight declined models,6,6,False
N1 restricted_search Free-to-Tight unchanged models,0,0,False
N1 restricted_search Free-to-Tight improved models,0,0,False
N1 evidence_audit Free-to-Tight declined models,6,6,False
N1 evidence_audit Free-to-Tight unchanged models,0,0,False
N1 evidence_audit Free-to-Tight improved models,0,0,False
N1 tuning Free-to-Tight declined models,5,5,False
N1 tuning Free-to-Tight unchanged models,0,0,False
N1 tuning Free-to-Tight improved models,1,1,False
POOLACT all above both baselines,31,31,False
POOLACT tight above both baselines,17,17,False
Search whois cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Search whois cost_moderate highest mean,glm-5.3,glm-5.3,False
Search whois cost_tight highest mean,glm-5.3,glm-5.3,False
Search whatis cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Search whatis cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Search whatis cost_tight highest mean,deepseek-v4-flash-0731,deepseek-v4-flash-0731,False
Audit EA cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Audit EA cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Audit EA cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Audit LA cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Audit LA cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
Audit LA cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
ParamNet cost_free highest mean,gpt-5.6-sol,gpt-5.6-sol,False
ParamNet cost_moderate highest mean,gpt-5.6-sol,gpt-5.6-sol,False
ParamNet cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
NAS101 cost_free highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
NAS101 cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
NAS101 cost_tight highest mean,gpt-5.6-sol,gpt-5.6-sol,False
NAS201 cost_free highest mean,kimi-k3,kimi-k3,False
NAS201 cost_moderate highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
NAS201 cost_tight highest mean,gemini-3.8-flash-medium,gemini-3.8-flash-medium,False
