kind,model,system,scenario,slice_kind,slice,metric,unit,N,from_regime,to_regime,from_strategy,to_strategy,from_mean,to_mean,delta,display_delta,status,from_expected_units,from_known_units,from_missing_units,to_expected_units,to_known_units,to_missing_units,cohort_from,cohort_to,source_from,source_to,source_row_from,source_row_to
budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,evidence_acc,fraction,1,cost_free,cost_moderate,single,single,0.6395173453996983,0.5867269984917044,-0.05279034690799389,-5.28,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,2,13
budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,evidence_acc,fraction,1,cost_moderate,cost_tight,single,single,0.5867269984917044,0.47511312217194573,-0.11161387631975866,-11.16,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,13,24
budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,evidence_acc,fraction,1,cost_free,cost_tight,single,single,0.6395173453996983,0.47511312217194573,-0.16440422322775256,-16.44,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,2,24
budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,label_acc,fraction,1,cost_free,cost_moderate,single,single,0.6681749622926093,0.7556561085972852,0.08748114630467585,+8.75,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,7,18
budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,label_acc,fraction,1,cost_moderate,cost_tight,single,single,0.7556561085972852,0.702865761689291,-0.05279034690799411,-5.28,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,18,29
budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,label_acc,fraction,1,cost_free,cost_tight,single,single,0.6681749622926093,0.702865761689291,0.03469079939668174,+3.47,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,7,29
budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,single,single,0.6395173453996983,0.5867269984917044,-0.05279034690799389,-5.28,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,34,45
budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,single,single,0.5867269984917044,0.47511312217194573,-0.11161387631975866,-11.16,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,45,56
budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,cost_free,cost_tight,single,single,0.6395173453996983,0.47511312217194573,-0.16440422322775256,-16.44,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,34,56
budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,cost_free,cost_moderate,single,single,0.6681749622926093,0.7556561085972852,0.08748114630467585,+8.75,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,39,50
