table,group,metric,old,new,delta,changed
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",agent_steps_mean,18.074074074074073,18.074074074074073,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",agent_steps_median,18,18,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",all_attempted_cost_seconds_mean,216689.802122674,216689.802122674,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",all_attempted_cost_seconds_median,78731.9873046875,78731.9873046875,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",all_visible_cost_seconds_mean,216689.802122674,216689.802122674,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",all_visible_cost_seconds_median,78731.9873046875,78731.9873046875,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",attempted_evaluations_mean,16.40740740740741,16.40740740740741,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",attempted_evaluations_median,16,16,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",attempted_evaluations_total,443,443,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first3_mean,0.03830975844802082,0.03830975844802082,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first3_median,0.01362810825203542,0.01362810825203542,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first5_mean,0.03394086655230249,0.03394086655230249,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",best_performance_gain_after_first5_median,0.008966666547987223,0.008966666547987223,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",budget_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",cap_n,8,8,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_budget_fraction_mean,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_budget_fraction_median,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_evaluations_mean,15.296296296296296,15.296296296296296,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_evaluations_median,15,15,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",delivered_total,413,413,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",fallback_scored_denom,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",fallback_scored_n,2,2,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_above_observed_best_denom,19,19,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_above_observed_best_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_below_observed_best_denom,19,19,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_below_observed_best_n,0,0,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_json_object_denom,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",final_json_object_n,19,19,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",first_best_fraction_mean,0.7549291795785704,0.7549291795785704,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",first_best_fraction_median,0.8514492753623188,0.8514492753623188,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",model_final_present_denom,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",model_final_present_n,18,18,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",n,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",natural_n,2,2,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",natural_stop_budget_fraction_mean,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",natural_stop_budget_fraction_median,,,,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",nonfallback_terminal_scored_denom,27,27,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",nonfallback_terminal_scored_fraction,0.6666666666666666,0.6666666666666666,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",nonfallback_terminal_scored_n,18,18,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observations_after_first_best_mean,4.1923076923076925,4.1923076923076925,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observations_after_first_best_median,2.5,2.5,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first3_denom,26,26,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first3_n,6,6,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first5_denom,26,26,0.0,False
by_model_regime.csv,"{""model"": ""deepseek-v4-flash-0731"", ""regime"": ""cost_free""}",observed_best_reached_by_first5_n,9,9,0.0,False
