source_row,execution_id,model,system,scenario,family,item,regime,strategy,N,seed,agent_id,execution_complete,score_complete,score_status,terminal_classification,policy_version,terminal_origin,termination_reason,raw_answer_is_null,raw_answer_perf_is_null
10,job_fa72e32c16f92fe10bbdf449fd02bb34ad10003bd2a43417bfab6a4551699dd6,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:imagenet16-120,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
32,job_35c1e4994d04f90fa965779668cd2fae76f56cfef64a074cf30e84f62ab84c96,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:letter:steps,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,max_steps_reached,False,False
36,job_55f20ad27f0c1752132204d71aec6ffb2124d1fec21e93856e150398261aa47b,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:cifar10-valid,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
91,job_a55daa034636f2bb133265688eda70ce2bb55e5f4d34b8d81cb3732bdda66d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,naive,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
92,job_a55daa034636f2bb133265688eda70ce2bb55e5f4d34b8d81cb3732bdda66d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,naive,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
93,job_a55daa034636f2bb133265688eda70ce2bb55e5f4d34b8d81cb3732bdda66d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,naive,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
94,job_a55daa034636f2bb133265688eda70ce2bb55e5f4d34b8d81cb3732bdda66d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,naive,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
153,job_857600969f7e2d67b15d3e466e5b694a39980a8739ad07807370c2893e7d0263,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:cifar100,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
245,job_da04ed47ec495b91bd89d58bddabd4a878e28a5e2935c631e733d81ac04e0d27,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
304,job_a288a7afeefcbe7c248abc80728632c223cec04df08765a1c6e9f16256a418ed,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
