model,regime,strategy,question_index,agent_id,feedback_attempts,feedback_visible,withheld,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,invalid_payload_attempts,own_verified_correct_queries,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,final_answer_hypotheses,evidence_acc,label_acc,termination_reason,result_path
deepseek-v4-flash-0731,cost_moderate,cached,0,0,10,9,1,10,9,1,1,0,0,0,0,0,0,0,1,17,0.35294117647058826,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_17725c23dd3fceb274ab493be9a30ea0fa0be084afd107f5f4368b12767a268c/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,0,1,10,9,1,10,9,5,5,0,4,0,0,0,0,0,1,17,0.4117647058823529,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_17725c23dd3fceb274ab493be9a30ea0fa0be084afd107f5f4368b12767a268c/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,0,2,11,10,1,11,10,5,5,0,4,0,0,0,0,0,1,16,0.4117647058823529,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_17725c23dd3fceb274ab493be9a30ea0fa0be084afd107f5f4368b12767a268c/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,0,3,11,10,1,11,10,5,5,0,4,0,0,0,0,0,1,17,0.4117647058823529,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_17725c23dd3fceb274ab493be9a30ea0fa0be084afd107f5f4368b12767a268c/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,1,0,11,10,1,10,9,5,5,0,4,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_000beca28d379f1e0aa94f90237d4f0fceaa2bd8de9c7487c01d9dd5de5397d7/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,1,1,13,12,1,13,12,8,8,0,7,0,0,0,0,0,1,17,0.7647058823529411,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_000beca28d379f1e0aa94f90237d4f0fceaa2bd8de9c7487c01d9dd5de5397d7/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,1,2,11,11,0,11,11,8,8,0,8,0,0,0,0,0,1,17,0.7647058823529411,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_000beca28d379f1e0aa94f90237d4f0fceaa2bd8de9c7487c01d9dd5de5397d7/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,1,3,11,10,1,11,10,8,7,0,7,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_000beca28d379f1e0aa94f90237d4f0fceaa2bd8de9c7487c01d9dd5de5397d7/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,2,0,12,11,1,12,11,8,7,0,7,0,0,0,0,0,1,17,0.9411764705882353,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_015c98e8eb3826ba658b352b4a36bb0995791e3c75d8473500ab3fa47b8569ef/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,2,1,11,11,0,11,11,8,8,0,8,0,0,0,0,0,1,17,0.8823529411764706,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_015c98e8eb3826ba658b352b4a36bb0995791e3c75d8473500ab3fa47b8569ef/result/cached/result.json
