model,budget,gold_subset,metric,old,new,delta
ALL,cost_free,all,evidence_exact,3194,3330,136
ALL,cost_free,all,exact_seen_final_wrong,289,153,-136
ALL,cost_free,all,joint_correct,3102,3235,133
ALL,cost_free,all,label_correct,3359,3492,133
ALL,cost_free,all,missing_any,485,399,-86
ALL,cost_free,all,queried_first_correct,1616,1614,-2
ALL,cost_free,all,queried_first_wrong,1419,1421,2
ALL,cost_free,all,revised_after_wrong,1326,1328,2
ALL,cost_free,all,wrong_first_final_exact,1257,1310,53
ALL,cost_free,empty,evidence_exact,1546,1596,50
ALL,cost_free,empty,exact_seen_final_wrong,117,67,-50
ALL,cost_free,empty,joint_correct,1541,1591,50
ALL,cost_free,empty,label_correct,1541,1591,50
ALL,cost_free,empty,queried_first_correct,768,766,-2
ALL,cost_free,empty,queried_first_wrong,619,621,2
ALL,cost_free,empty,revised_after_wrong,552,554,2
ALL,cost_free,empty,wrong_first_final_exact,561,582,21
ALL,cost_free,nonempty,evidence_exact,1648,1734,86
ALL,cost_free,nonempty,exact_seen_final_wrong,172,86,-86
ALL,cost_free,nonempty,joint_correct,1561,1644,83
ALL,cost_free,nonempty,label_correct,1818,1901,83
ALL,cost_free,nonempty,missing_any,485,399,-86
ALL,cost_free,nonempty,wrong_first_final_exact,696,728,32
ALL,cost_moderate,all,evidence_exact,2778,2847,69
ALL,cost_moderate,all,exact_seen_final_wrong,36,23,-13
ALL,cost_moderate,all,extra_any,421,441,20
ALL,cost_moderate,all,joint_correct,2699,2766,67
ALL,cost_moderate,all,label_correct,3351,3440,89
ALL,cost_moderate,all,label_correct_wrong_evidence,652,674,22
ALL,cost_moderate,all,missing_any,821,778,-43
ALL,cost_moderate,all,wrong_first_final_exact,728,752,24
ALL,cost_moderate,empty,evidence_exact,1503,1532,29
ALL,cost_moderate,empty,exact_seen_final_wrong,9,6,-3
ALL,cost_moderate,empty,extra_any,216,225,9
ALL,cost_moderate,empty,joint_correct,1503,1532,29
ALL,cost_moderate,empty,label_correct,1503,1532,29
ALL,cost_moderate,empty,wrong_first_final_exact,440,451,11
ALL,cost_moderate,nonempty,evidence_exact,1275,1315,40
ALL,cost_moderate,nonempty,exact_seen_final_wrong,27,17,-10
ALL,cost_moderate,nonempty,extra_any,205,216,11
ALL,cost_moderate,nonempty,joint_correct,1196,1234,38
ALL,cost_moderate,nonempty,label_correct,1848,1908,60
ALL,cost_moderate,nonempty,label_correct_wrong_evidence,652,674,22
ALL,cost_moderate,nonempty,missing_any,821,778,-43
ALL,cost_moderate,nonempty,wrong_first_final_exact,288,301,13
ALL,cost_tight,all,evidence_exact,2214,2230,16
ALL,cost_tight,all,exact_seen_final_wrong,9,8,-1
ALL,cost_tight,all,extra_any,668,673,5
ALL,cost_tight,all,joint_correct,2153,2168,15
ALL,cost_tight,all,label_correct,3139,3167,28
ALL,cost_tight,all,label_correct_wrong_evidence,986,999,13
ALL,cost_tight,all,missing_any,1131,1123,-8
ALL,cost_tight,all,wrong_first_final_exact,303,306,3
ALL,cost_tight,empty,evidence_exact,1289,1298,9
ALL,cost_tight,empty,exact_seen_final_wrong,8,7,-1
ALL,cost_tight,empty,extra_any,371,374,3
