cohort_id,execution_complete,family,item,metrics_json,model,order,outer_repeat,provider_cohort,regime,scenario,score_complete,seed,slot_id,strategy,system
terminal_protocol_control_20260918_qwen,True,whois,phantom_seed2:12,"{""f1_mi"": 1.0, ""f1_mv"": 1.0}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,restricted_search,True,2200,17f16ab49e40134d09e4f126,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:1,"{""evidence_acc_mi"": 0.7352941176470589, ""evidence_acc_mv"": 0.7647058823529411, ""label_acc_mi"": 0.8823529411764706, ""label_acc_mv"": 0.8823529411764706}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,1af4cc84a9789c34054221ad,naive,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:9,"{""evidence_acc_mi"": 0.9411764705882353, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.8823529411764706, ""label_acc_mv"": 0.9411764705882353}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,2a395d2e30d11c9e0cd0c6d0,poolact,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:2,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,34147bb84bd134f2b3322cec,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:9,"{""evidence_acc_mi"": 0.6617647058823529, ""evidence_acc_mv"": 0.8235294117647058, ""label_acc_mi"": 0.8088235294117647, ""label_acc_mv"": 0.8235294117647058}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,45838801285306246f30f575,naive,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:8,"{""evidence_acc_mi"": 0.75, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.75, ""label_acc_mv"": 1.0}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,63286b184c2fa48ded49005b,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:2,"{""evidence_acc_mi"": 0.8823529411764706, ""evidence_acc_mv"": 0.8823529411764706, ""label_acc_mi"": 0.8529411764705882, ""label_acc_mv"": 0.8823529411764706}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,7415b559c9ae98c15b028021,naive,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:10,"{""evidence_acc_mi"": 0.6029411764705883, ""evidence_acc_mv"": 0.6470588235294118, ""label_acc_mi"": 0.9117647058823529, ""label_acc_mv"": 0.9411764705882353}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,aa8511993d6ec60b40bac3d5,poolact,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:8,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,b17fc226bb045789df8c3d49,poolact,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:11,"{""evidence_acc_mi"": 0.9558823529411764, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.9705882352941176, ""label_acc_mv"": 1.0}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,b61bf7439794536f53c71d69,poolact,poolact
