model,task,family,regime,gap0,strict_gap,strict_known,expected,gap0_complete,derivation,source_record
kimi-k3,hpobench:nasbench101:A,nasbench101,cost_free,99.25801088279468,99.25801088279468,3,3,True,complete_strict_gap_equals_gap0,3280
kimi-k3,hpobench:nasbench101:A,nasbench101,cost_moderate,98.07937050203148,98.07937050203148,3,3,True,complete_strict_gap_equals_gap0,3282
kimi-k3,hpobench:nasbench101:A,nasbench101,cost_tight,90.51709132916491,90.51709132916491,3,3,True,complete_strict_gap_equals_gap0,3284
kimi-k3,hpobench:nasbench101:B,nasbench101,cost_free,97.45403467541674,97.45403467541674,3,3,True,complete_strict_gap_equals_gap0,3286
kimi-k3,hpobench:nasbench101:B,nasbench101,cost_moderate,96.5849999942236,96.5849999942236,3,3,True,complete_strict_gap_equals_gap0,3288
kimi-k3,hpobench:nasbench101:B,nasbench101,cost_tight,95.75963768286513,95.75963768286513,3,3,True,complete_strict_gap_equals_gap0,3290
kimi-k3,hpobench:nasbench101:C,nasbench101,cost_free,99.3639943591853,99.3639943591853,3,3,True,complete_strict_gap_equals_gap0,3292
kimi-k3,hpobench:nasbench101:C,nasbench101,cost_moderate,98.90717274882253,98.90717274882253,3,3,True,complete_strict_gap_equals_gap0,3294
kimi-k3,hpobench:nasbench101:C,nasbench101,cost_tight,98.62756659006727,98.62756659006727,3,3,True,complete_strict_gap_equals_gap0,3296
kimi-k3,hpobench:nasbench201:cifar10-valid,nasbench201,cost_free,100.0,100.0,3,3,True,complete_strict_gap_equals_gap0,3298
kimi-k3,hpobench:nasbench201:cifar10-valid,nasbench201,cost_moderate,93.65717014610956,93.65717014610956,3,3,True,complete_strict_gap_equals_gap0,3300
kimi-k3,hpobench:nasbench201:cifar10-valid,nasbench201,cost_tight,90.20658129539613,90.20658129539613,3,3,True,complete_strict_gap_equals_gap0,3302
kimi-k3,hpobench:nasbench201:cifar100,nasbench201,cost_free,100.0,100.0,3,3,True,complete_strict_gap_equals_gap0,3304
kimi-k3,hpobench:nasbench201:cifar100,nasbench201,cost_moderate,100.0,100.0,3,3,True,complete_strict_gap_equals_gap0,3306
kimi-k3,hpobench:nasbench201:cifar100,nasbench201,cost_tight,97.47918761784821,97.47918761784821,3,3,True,complete_strict_gap_equals_gap0,3308
kimi-k3,hpobench:nasbench201:imagenet16-120,nasbench201,cost_free,99.31250369009454,99.31250369009454,3,3,True,complete_strict_gap_equals_gap0,3310
kimi-k3,hpobench:nasbench201:imagenet16-120,nasbench201,cost_moderate,97.57271709437138,97.57271709437138,3,3,True,complete_strict_gap_equals_gap0,3312
kimi-k3,hpobench:nasbench201:imagenet16-120,nasbench201,cost_tight,96.29593816583329,96.29593816583329,3,3,True,complete_strict_gap_equals_gap0,3314
kimi-k3,hpobench:paramnet:adult:steps,paramnet,cost_free,97.8569945340694,97.8569945340694,3,3,True,complete_strict_gap_equals_gap0,3316
kimi-k3,hpobench:paramnet:adult:steps,paramnet,cost_moderate,87.32925545715685,87.32925545715685,3,3,True,complete_strict_gap_equals_gap0,3318
kimi-k3,hpobench:paramnet:adult:steps,paramnet,cost_tight,77.35599318842411,77.35599318842411,3,3,True,complete_strict_gap_equals_gap0,3320
kimi-k3,hpobench:paramnet:higgs:steps,paramnet,cost_free,94.14895296787446,94.14895296787446,3,3,True,complete_strict_gap_equals_gap0,3322
kimi-k3,hpobench:paramnet:higgs:steps,paramnet,cost_moderate,89.08228548708622,89.08228548708622,3,3,True,complete_strict_gap_equals_gap0,3324
kimi-k3,hpobench:paramnet:higgs:steps,paramnet,cost_tight,66.67976613652482,66.67976613652482,3,3,True,complete_strict_gap_equals_gap0,3326
kimi-k3,hpobench:paramnet:letter:steps,paramnet,cost_free,99.22170172699158,99.22170172699158,3,3,True,complete_strict_gap_equals_gap0,3328
kimi-k3,hpobench:paramnet:letter:steps,paramnet,cost_moderate,86.85796124569212,86.85796124569212,3,3,True,complete_strict_gap_equals_gap0,3330
kimi-k3,hpobench:paramnet:letter:steps,paramnet,cost_tight,94.23169061202348,94.23169061202348,3,3,True,complete_strict_gap_equals_gap0,3332
glm-5.3,hpobench:nasbench101:A,nasbench101,cost_free,99.57917213602603,99.57917213602603,3,3,True,complete_strict_gap_equals_gap0,2434
glm-5.3,hpobench:nasbench101:A,nasbench101,cost_moderate,99.00329905793436,99.00329905793436,3,3,True,complete_strict_gap_equals_gap0,2436
