execution_id,model,system,scenario,item,family,regime,strategy,N,outerrep,order,seed,agent_id,execution_complete,score_complete,raw_answer,raw_answer_perf,terminal_status,score_status,missing_final_policy,terminal_origin,answer_score_source,agent_wall_seconds
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [44, 49, 50, 53]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [71]}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [63, 67]}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [76]}, ""nda-3"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [84, 85, 86]}, ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [25]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [37, 38]}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [60, 87]}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [59]}, ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [66]}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [25, 28, 29]}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [38]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,168.21659636497498
job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,1,2201,0,True,True,"{""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [67]}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [60, 84, 88]}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [25]}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [59]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [25]}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [76]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [60, 61, 87]}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [44, 53]}, ""nda-1"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-7"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [38, 55]}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [71]}}",0.7647058823529411,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,498.5534133911133
job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,2,2202,0,True,True,"{""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [76]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [71]}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [67]}, ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [25]}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [84, 86, 88]}, ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [25, 32]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [60, 87]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [38]}, ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [66]}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [38, 55, 42]}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [59, 60]}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [44, 53, 49, 50]}, ""nda-3"": {""label"": ""NotMentioned"", ""evidence_ids"": []}}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,197.2461395263672
job_cd38668449d4c40b9ae2d248d0899c5e416ab0df1469b8287b97c5803171c796,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc2,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [15, 16, 17]}, ""nda-2"": {""label"": ""Contradiction"", ""evidence_ids"": [18]}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [15]}, ""nda-4"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [22]}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [23]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [48]}, ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-11"": {""label"": ""Entailment"", ""evidence_ids"": [24]}, ""nda-12"": {""label"": ""Entailment"", ""evidence_ids"": [33, 37, 64]}, ""nda-13"": {""label"": ""Entailment"", ""evidence_ids"": [33, 36, 64]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [57]}, ""nda-16"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-17"": {""label"": ""Entailment"", ""evidence_ids"": [45]}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [27, 86]}, ""nda-20"": {""label"": ""Entailment"", ""evidence_ids"": [45]}}",0.9411764705882353,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,257.9000117778778
job_7f205c90c3f1cbe3573132c48a688b68266bd83375c9eb109fa244ffcae67214,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc2,evidence_audit,cost_free,single,1,0,1,2201,0,True,True,"<｜DSML｜tool_calls>
<｜DSML｜invoke name=""human_feedback"">
<｜DSML｜parameter name=""evidence_ids"" string=""false"">[44]</｜DSML｜parameter>
<｜DSML｜parameter name=""nda_id"" string=""true"">nda-17</｜DSML｜parameter>
</｜DSML｜invoke>
</｜DSML｜tool_calls>",0.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,162.17760062217712
job_f319b5386993a320945ca6e2e14df3c4889feeb8bd6bf67cab845540fedea4dd,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc2,evidence_audit,cost_free,single,1,0,2,2202,0,True,True,"nda--17 has an: [44] contains irrelevant. Let me test [45 alone — the clause that allows copies for the purpose and retained copies in backup/legal counsel.

<｜DSML｜tool_ciresponse",0.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,336.54976201057434
job_fa711c130ec49096564fdf6981208670baa684d2009618f38e17336d773cebd1,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc4,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [5]}, ""nda-8"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [13]}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [7]}, ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-1"": {""label"": ""Contradiction"", ""evidence_ids"": [7]}, ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [12]}, ""nda-7"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-20"": {""label"": ""Contradiction"", ""evidence_ids"": [11]}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-5"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}}",1.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,254.624187707901
job_d793166eda2c25d1d0bf9f3a6d39319ea2c4b40ba68efcf30b2f40c9d893bbda,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc4,evidence_audit,cost_free,single,1,0,1,2201,0,True,True,,0.0,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":1,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""model_no_answer""}",scored_empty_prediction,task-abstention-v1,normal_loop_return,offline_empty_prediction,278.4681921005249
job_bafdcedf9bfd5125c7c596e861128d201fcd92c62dd9c46b0b5c5e8770583e19,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc4,evidence_audit,cost_free,single,1,0,2,2202,0,True,True,"{
  ""nda-19"": {""label"": ""Entailment"", ""evidence_ids"": [13]},
  ""nda-8"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-1"": {""label"": ""Entailment"", ""evidence_ids"": [7]},
  ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-10"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-15"": {""label"": ""Entailment"", ""evidence_ids"": [12]},
  ""nda-20"": {""label"": ""Contradiction"", ""evidence_ids"": [11]},
  ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-7"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-5"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []},
  ""nda-4"": {""label"": ""Entailment"", ""evidence_ids"": [5]},
  ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [7]}
}",0.9411764705882353,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,328.6905505657196
job_7c8508a2b000bf16b319770281f9cccec55b21f59c45a4020f85b30e25209123,deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc5,evidence_audit,cost_free,single,1,0,0,2200,0,True,True,"{""nda-1"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-2"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-3"": {""label"": ""Entailment"", ""evidence_ids"": [5, 6]}, ""nda-4"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-5"": {""label"": ""Entailment"", ""evidence_ids"": [3]}, ""nda-7"": {""label"": ""Entailment"", ""evidence_ids"": [3]}, ""nda-8"": {""label"": ""Entailment"", ""evidence_ids"": [21]}, ""nda-10"": {""label"": ""Entailment"", ""evidence_ids"": [5, 9]}, ""nda-11"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-12"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-13"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-15"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-16"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-17"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-18"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-19"": {""label"": ""NotMentioned"", ""evidence_ids"": []}, ""nda-20"": {""label"": ""NotMentioned"", ""evidence_ids"": []}}",0.9411764705882353,"{""execution_complete"":true,""expected_model_terminals"":1,""model_no_answer_count"":0,""policy_version"":""task-abstention-v1"",""reported_model_terminals"":1,""schema_version"":""expgym.execution-terminal.v1"",""score_complete"":true,""terminal_classification"":""completed_scored""}",scored_final_answer,task-abstention-v1,normal_loop_return,answer_evaluator,150.8246133327484
