model,source,question_id,family,free_score,tight_score,score_change,free_visible,tight_visible,free_unique_articles,tight_unique_articles,shared_articles,common_article_prefix,same_first_article,tight_is_free_prefix,tight_term,free_term,free_slot_id,tight_slot_id
deepseek-v4-flash-0731,phantom_seed3,22,whatis,1.0,0.0,-1.0,7,4,7,3,3,1,True,False,time_budget_exceeded,natural_answer,f3b4d91e1df221c29d9a351f,bef4d5b9cb6d134541e0b784
deepseek-v4-flash-0731,phantom_seed2,1,whois,1.0,0.0,-1.0,12,3,12,3,3,3,True,True,time_budget_exceeded,natural_answer,f727097811f8c1ed04fb789c,f02bfbb67d5ecda7f30a6a78
deepseek-v4-flash-0731,phantom_seed2,10,whois,0.4,0.0,-0.4,11,11,5,3,1,3,True,False,time_budget_exceeded,natural_answer,351ea4040f4855610b97884b,b2fdff20de9fb942403ea461
deepseek-v4-flash-0731,phantom_seed3,12,whois,0.0,0.0,0.0,29,5,10,2,2,3,True,False,time_budget_exceeded,max_steps_reached,c3d94676b75aeddd0444bd6a,e9faf35b4d7321721ff8fe76
deepseek-v4-flash-0731,phantom_seed2,4,whois,0.6666666666666666,0.6666666666666666,0.0,14,2,11,2,2,2,True,True,time_budget_exceeded,natural_answer,384e0072cbf2c2bad74598df,191c1614db532429c7a9f86a
deepseek-v4-flash-0731,phantom_seed2,20,whatis,1.0,0.0,-1.0,6,3,6,3,3,3,True,True,time_budget_exceeded,natural_answer,34b0257f1e5187db3ef8ab3f,1ffc8267f37e2b5afc18e38b
deepseek-v4-flash-0731,phantom_seed2,30,whatis,0.13333333333333333,0.0,-0.13333333333333333,24,3,16,3,3,3,True,True,time_budget_exceeded,aborted,6f3be9d3394c32669d31846d,8fa0ca84072025ad50cdee53
deepseek-v4-flash-0731,phantom_seed3,35,whatis,0.0,0.0,0.0,30,3,10,2,2,1,True,False,time_budget_exceeded,max_steps_reached,0bc4ff8a78a7581b779d3af2,92b6803f1710b2f82eee4143
deepseek-v4-flash-0731,phantom_seed2,27,whatis,0.0,0.0,0.0,29,2,25,2,2,2,True,True,time_budget_exceeded,max_steps_reached,0e62b2a52f2578a7ac7d5101,23eb64f6ecda858c8f3ab0f4
deepseek-v4-flash-0731,phantom_seed3,6,whois,0.0,0.0,0.0,6,10,4,3,2,4,True,False,time_budget_exceeded,empty_model_response,b234d4c1dcaab12c7fd59fad,7a0f822cda571b8fddca0abb
deepseek-v4-flash-0731,phantom_seed3,27,whatis,0.0,0.0,0.0,29,3,24,3,3,1,True,False,time_budget_exceeded,max_steps_reached,2e49d0579fb3835c1d2332f2,df6b70928b28f89d77b66f95
deepseek-v4-flash-0731,phantom_seed2,14,whois,1.0,0.5,-0.5,18,4,14,3,3,2,True,False,time_budget_exceeded,natural_answer,cbe65c1196eb2c096227b491,adcdd5f28837de38597611aa
deepseek-v4-flash-0731,phantom_seed3,23,whatis,0.0,0.0,0.0,4,3,4,3,3,3,True,True,time_budget_exceeded,empty_model_response,7ddc018a0f92dce62e2797d1,ec2db17dd2e2da780b053b00
deepseek-v4-flash-0731,phantom_seed2,16,whois,1.0,0.0,-1.0,26,2,15,2,2,2,True,True,time_budget_exceeded,natural_answer,0457b06132de8adc0938278e,cc6a46535f14bf5f4da63348
deepseek-v4-flash-0731,phantom_seed2,9,whois,0.0,0.0,0.0,7,4,7,3,3,1,True,False,time_budget_exceeded,empty_model_response,dc5432d38a6737ddff60dc8e,c3b622409814b7d1d790ec80
deepseek-v4-flash-0731,phantom_seed3,36,whatis,0.0,0.0,0.0,30,12,8,3,3,3,True,False,time_budget_exceeded,max_steps_reached,8cd36bfbecef30acd2bda060,e25eedeb52111be21e3bac27
deepseek-v4-flash-0731,phantom_seed2,0,whois,1.0,1.0,0.0,4,3,4,3,3,3,True,True,natural_answer,natural_answer,017ef0eb204d227151ee5927,1a636084208d057bacd3c04b
deepseek-v4-flash-0731,phantom_seed2,25,whatis,0.0,0.0,0.0,4,2,4,2,2,2,True,True,time_budget_exceeded,natural_answer,aa2a4a88b04cfed276893eb8,9fca5f4d1140f30a6dda4f42
deepseek-v4-flash-0731,phantom_seed2,5,whois,1.0,0.0,-1.0,29,2,23,2,2,2,True,True,time_budget_exceeded,max_steps_reached,1c7419af40f9a1d0b579dc5c,410566f7952f037b3a9b0c26
deepseek-v4-flash-0731,phantom_seed2,11,whois,0.0,0.0,0.0,30,4,13,3,3,1,True,False,time_budget_exceeded,max_steps_reached,8aac8c12a9808e798466a0fd,1039f158dac64a615512f650
deepseek-v4-flash-0731,phantom_seed3,0,whois,1.0,0.4,-0.6,6,3,6,3,3,2,True,False,time_budget_exceeded,natural_answer,2f7c8b6ea25b02a5efd6758e,7105c317cbc27e16b6b467fe
deepseek-v4-flash-0731,phantom_seed3,21,whatis,0.5,0.5,0.0,19,3,11,3,3,3,True,True,time_budget_exceeded,natural_answer,e51db5011703c42006a27c81,3486a01418b04c6856facff1
deepseek-v4-flash-0731,phantom_seed3,18,whois,0.0,0.0,0.0,16,6,8,2,2,1,True,False,time_budget_exceeded,empty_model_response,c525cea93e6101c2872e752a,dd4d0bba60364d736cceee83
deepseek-v4-flash-0731,phantom_seed2,6,whois,1.0,0.0,-1.0,23,2,19,2,2,2,True,True,time_budget_exceeded,aborted,ba55b2794e49e6d3071dfb0c,765e9fc3c913ae6d5e524574
deepseek-v4-flash-0731,phantom_seed3,28,whatis,1.0,0.0,-1.0,21,3,15,3,3,2,True,False,time_budget_exceeded,empty_model_response,2a365558c772733dab6791b5,948ff44aaf4a4b52a9477b93
deepseek-v4-flash-0731,phantom_seed3,3,whois,0.0,0.8,0.8,23,3,15,3,3,3,True,True,time_budget_exceeded,natural_answer,0b7d7cdde4a9359d8e8bf51e,b5988f2098814e3376548ac9
deepseek-v4-flash-0731,phantom_seed2,29,whatis,0.0,0.0,0.0,29,7,13,2,2,3,True,False,time_budget_exceeded,max_steps_reached,8a9b7b9a94a419e3ebe38ddb,6e847df44e2cc0a49b076e0f
deepseek-v4-flash-0731,phantom_seed3,7,whois,1.0,0.0,-1.0,17,3,14,3,3,1,True,False,time_budget_exceeded,natural_answer,688e522cfbec5296d5a12100,4a109edcd91adade335c9c14
deepseek-v4-flash-0731,phantom_seed2,21,whatis,1.0,0.0,-1.0,13,3,13,3,3,3,True,True,time_budget_exceeded,natural_answer,0e7dc2b2715f80f50ae78a28,e7bd05bdd081b72e9887a5f9
deepseek-v4-flash-0731,phantom_seed2,23,whatis,0.6666666666666666,0.6666666666666666,0.0,6,3,6,3,3,2,True,False,natural_answer,natural_answer,f23a600e52ce8472924ba82a,3970c024256559b7b74fa413
deepseek-v4-flash-0731,phantom_seed2,32,whatis,0.0,0.0,0.0,30,7,13,3,3,3,True,False,time_budget_exceeded,max_steps_reached,879500432b3a5b5dcef722ea,f3c304b076040c213f4a8d1c
deepseek-v4-flash-0731,phantom_seed2,35,whatis,0.0,0.0,0.0,29,2,13,2,2,2,True,True,time_budget_exceeded,max_steps_reached,f6788eb4854ffda504b7e71b,8dcba41ad208441b5f461ce6
deepseek-v4-flash-0731,phantom_seed3,24,whatis,0.0,0.0,0.0,29,3,21,3,3,3,True,True,time_budget_exceeded,max_steps_reached,18bcbe92e817a52e7f8d4516,e2b7284a8237b98aee62fdbb
deepseek-v4-flash-0731,phantom_seed2,26,whatis,0.0,0.0,0.0,29,3,22,3,3,2,True,False,empty_model_response,max_steps_reached,166e8b4b86bbfd8325e5878e,58da55ccc4e2635e87ff91a6
deepseek-v4-flash-0731,phantom_seed3,4,whois,1.0,1.0,0.0,6,3,6,3,3,3,True,True,time_budget_exceeded,natural_answer,90c9a788e41593cb403b5d83,8842259261509275bd520040
deepseek-v4-flash-0731,phantom_seed2,8,whois,0.6666666666666666,0.6666666666666666,0.0,24,3,19,3,3,2,True,False,time_budget_exceeded,natural_answer,a31ed3d40b42b4b078e53e31,d3ea15affab5af1d784e92ac
deepseek-v4-flash-0731,phantom_seed3,14,whois,1.0,0.0,-1.0,9,2,9,2,2,2,True,True,time_budget_exceeded,natural_answer,aec7b651ca60a70cd4874cbc,d7522e26c16fd5189fb2a35e
deepseek-v4-flash-0731,phantom_seed3,1,whois,0.6666666666666666,0.6666666666666666,0.0,2,2,2,2,2,2,True,True,time_budget_exceeded,natural_answer,882b83383e8a40ebdac82135,87436d26103ef78dee5c2503
deepseek-v4-flash-0731,phantom_seed3,5,whois,1.0,0.0,-1.0,25,3,16,3,3,3,True,True,time_budget_exceeded,natural_answer,999495b54f93999d440b1bce,079c52ae125d219a1350cda2
deepseek-v4-flash-0731,phantom_seed2,17,whois,0.0,0.0,0.0,17,3,13,3,3,3,True,True,time_budget_exceeded,empty_model_response,9b0bce3a565b5ded4575e90b,b26bd63ce2f5b8bb13795c03
deepseek-v4-flash-0731,phantom_seed2,3,whois,0.0,0.0,0.0,24,2,13,2,2,2,True,True,time_budget_exceeded,empty_model_response,d41c8118c2aa4f52c3ddb68e,e5c58170149344b2abb30117
deepseek-v4-flash-0731,phantom_seed3,34,whatis,0.0,0.0,0.0,12,5,5,3,3,1,True,False,time_budget_exceeded,empty_model_response,8846243f8259821ee2497a5f,1514096cbc3abeace924b0f3
deepseek-v4-flash-0731,phantom_seed3,25,whatis,0.18181818181818182,0.18181818181818182,0.0,22,3,17,3,3,1,True,False,time_budget_exceeded,aborted,524cc1d409f3eee59fb8ccdb,ee7a45b8e9da0ab8c1572f53
deepseek-v4-flash-0731,phantom_seed2,24,whatis,0.6666666666666666,0.6666666666666666,0.0,2,2,2,2,2,2,True,True,time_budget_exceeded,natural_answer,24ab8ffd331b09af49bf577b,ed63f67cca1d3f538ca03b18
deepseek-v4-flash-0731,phantom_seed3,2,whois,1.0,0.0,-1.0,19,3,8,3,3,3,True,True,time_budget_exceeded,natural_answer,de6257af7e8f4bf8dd02d868,6b2f70b62253d91c4cfb0b95
deepseek-v4-flash-0731,phantom_seed2,28,whatis,0.5,0.0,-0.5,29,2,18,2,2,2,True,True,time_budget_exceeded,max_steps_reached,8a99ccb632766e4bae2f9783,11f7747fc31c358a588d57ed
deepseek-v4-flash-0731,phantom_seed3,33,whatis,0.0,0.0,0.0,29,2,15,2,2,2,True,True,aborted,max_steps_reached,1add6b093c618686e11d4ca9,6e6951f177fae81c71aa88f9
