model,cohort,task,family,regime,seed,rep,termination,termination_class,answer_source,score_cost_basis,answer_score_source,score_status,score_complete,max_steps,max_evaluations,agent_steps,attempted_evaluations,delivered_evaluations,unique_delivered_configs,repeated_delivered_evaluations,withheld_evaluations,visible_error_results,limit_seconds,delivered_cost_seconds,delivered_budget_fraction,best_observed_performance,first_best_observation_index,first_best_fraction,observations_after_first_best,strict_record_improvements,best_performance_gain_after_first3,best_performance_gain_after_first5,observed_best_reached_by_first3,observed_best_reached_by_first5,observed_best_reached_in_first_half,final_performance,final_below_observed_best,final_above_observed_best,trace_path,trace_sha256,slot_id,is_new,all_attempt_cost_seconds,all_attempt_budget_fraction,validation_passed,numeric_final_score,answer_present,answer_json_object,legacy_best_evaluated_fallback,offline_final_answer,score_zero,source_score_complete,result_validation_method,visible_results,all_attempted_cost_seconds,all_visible_cost_seconds,model_final_present,submitted_configuration_scored,nonfallback_terminal_scored,submitted_json_object_scored,final_json_object,fallback_scored
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_free,2200,0,max_steps_reached,cap,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,30,29,27,27,0,0,2,,142057.3420715332,,0.941038986047109,24,0.8888888888888888,3,8,0.05869390567143762,0.03692573308944702,False,False,False,0.941038986047109,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/89c9112cc92151495e485abb.json,d2ff72dbb62df9bd601f8981f602727b1da5376d6a848e6a0dcfe718a88d328d,89c9112cc92151495e485abb,False,142057.3420715332,,True,True,True,True,False,False,False,True,repository_score_recompute,29,142057.3420715332,142057.3420715332,True,True,True,True,True,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_free,2204,0,natural_answer,natural,natural_model_answer,offline_final_answer,offline_final_answer,scored_final_answer,True,30,30,1,0,0,0,0,0,0,,0,,,,,,0,,,,,,0.0,,,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/3e3dc1bbb05a0b2fb57e1299.json,f3a7984f5532e53e46c6ab8d840276353d1ad93bc9a857120cb3f8e6ac77c50b,3e3dc1bbb05a0b2fb57e1299,False,0,,True,True,True,False,False,True,True,True,repository_score_recompute,0,0,0,True,True,True,False,False,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_free,2208,0,aborted,other,,unscored_terminal,,unscorable_missing_configuration,False,30,30,16,14,13,13,0,0,1,,99759.34362792969,,0.8903245131174723,7,0.5384615384615384,6,3,0.0410990913709004,0.0410990913709004,False,False,True,,,,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/bd8dc3368f85d96aa8038571.json,cba57b66f5b1722848c458f201fa38fda60b858e8c918fcae9d96ce49aed6409,bd8dc3368f85d96aa8038571,False,99759.34362792969,,False,False,False,False,False,False,False,False,explicit_model_terminal_unscored,14,99759.34362792969,99759.34362792969,False,False,False,False,False,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_moderate,2200,0,time_budget_exceeded,budget,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,7,6,4,4,0,1,1,49441.52099609375,38683.03271484375,0.7823997307425069,0.8982371886571249,4,1.0,0,3,0.0016693472862243652,0.0,False,True,False,0.8982371886571249,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/0016121d751a9d44a44dd77a.json,99cc2846f1190309d9744b2c3134ea5598412147ac1794cca94a614686a94ec1,0016121d751a9d44a44dd77a,False,54877.3349609375,1.1099443110836582,True,True,True,True,False,False,False,True,repository_score_recompute,5,54877.3349609375,38683.03271484375,True,True,True,True,True,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_moderate,2204,0,time_budget_exceeded,budget,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,6,5,4,4,0,1,0,49441.52099609375,45735.12060546875,0.9250346608285406,0.9406049648920695,4,1.0,0,2,0.00714476903279615,0.0,False,True,False,0.9406049648920695,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/bd500d31c50418ea04277a7b.json,de33163457de952aea45ec12028ddfdfe51c64e63e6e5d5c095327018211cc57,bd500d31c50418ea04277a7b,False,60231.2509765625,1.2182321612096283,True,True,True,True,False,False,False,True,repository_score_recompute,4,60231.2509765625,45735.12060546875,True,True,True,True,True,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_moderate,2208,0,natural_answer,natural,natural_model_answer,offline_final_answer,offline_final_answer,scored_final_answer,True,30,30,1,0,0,0,0,0,0,49441.52099609375,0,0.0,,,,,0,,,,,,0.0,,,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/e49629a3ed66653d979389f9.json,ae46d93e69a72824b6d07d1c75b305ed1b9fd8d1d33cade5e320e1ed4d6c2ca0,e49629a3ed66653d979389f9,False,0,0.0,True,True,True,False,False,True,True,True,repository_score_recompute,0,0,0,True,True,True,False,False,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_tight,2200,0,natural_answer,natural,best_evaluated_fallback,matching_tool_call,best_evaluated_fallback,scored_final_answer,True,30,30,5,3,3,3,0,0,0,14832.456298828125,14729.357452392578,0.9930491049925634,0.845886747042338,3,1.0,0,1,0.0,0.0,True,True,False,0.845886747042338,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/647826dc5fe48b22f0a4c82f.json,4ff4f035174606019c9574fe76e0c9756e21fd1985378bdbc8befceb2f1a2746,647826dc5fe48b22f0a4c82f,False,14729.357452392578,0.9930491049925634,True,True,True,True,True,False,False,True,repository_score_recompute,3,14729.357452392578,14729.357452392578,False,False,False,False,True,True
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_tight,2204,0,natural_answer,natural,natural_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,7,5,5,5,0,0,0,14832.456298828125,13537.74203491211,0.9127107312618,0.9380007982254028,5,1.0,0,3,0.10396633545557654,0.0,False,True,False,0.9380007982254028,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/0defdd7dc02dfb5da59dd731.json,a5caa497c91a0fcace257cca7352f931b0f1f83d550770715c03e3b5874d6fb1,0defdd7dc02dfb5da59dd731,False,13537.74203491211,0.9127107312618,True,True,True,True,False,False,False,True,repository_score_recompute,5,13537.74203491211,13537.74203491211,True,True,True,True,True,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_tight,2208,0,time_budget_exceeded,budget,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,4,3,1,1,0,1,1,14832.456298828125,13875.8564453125,0.9355063089859766,0.845886747042338,1,1.0,0,0,0.0,0.0,True,True,True,0.845886747042338,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/f308767c5cdebb261e46e256.json,380c04d4fee89f7cef780bbaf88aabd093260b90bcd6a7f7bc824265bfb364b2,f308767c5cdebb261e46e256,False,19110.529296875,1.2884264690794927,True,True,True,True,False,False,False,True,repository_score_recompute,2,19110.529296875,13875.8564453125,True,True,True,True,True,False
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:B,nasbench101,cost_free,2200,0,max_steps_reached,cap,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,30,29,27,27,0,0,2,,204150.50915527344,,0.9356971184412638,26,0.9629629629629629,1,6,0.030048072338104248,0.030048072338104248,False,False,False,0.9356971184412638,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/7bebb7ba98193f9b1673a1b8.json,465ef6fe34cf1031f1bdceb46efcb413e3b6853b84e86a54a13f66d79726e3a3,7bebb7ba98193f9b1673a1b8,False,204150.50915527344,,True,True,True,True,False,False,False,True,repository_score_recompute,29,204150.50915527344,204150.50915527344,True,True,True,True,True,False
