slot_id,model,scenario,regime,strategy,source_sha256,historical_aggregate_metrics,terminal_extraction_only_metrics,plus_payload_policy_metrics,plus_vote_policy_metrics,extraction_only_score_changed,payload_policy_score_changed,vote_policy_score_changed,vote_policy_answer_changed
37360edf6099ac1c16dd4453,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,"{""evidence_acc"":0.4117647058823529,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.4117647058823529,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.4117647058823529,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.4117647058823529,""label_acc"":0.9411764705882353,""verification_eff"":0.0}",False,False,False,False
5752d6b9d08c767a3bc5ba01,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,"{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.0}",False,False,False,False
5f907bcfab5918ad34dd4725,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,02bc1ccff76364b134673ef8e10cafc4477e28ebf66d926ee8c74de60b8a390c,"{""evidence_acc"":0.47058823529411764,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.47058823529411764,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.47058823529411764,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.47058823529411764,""label_acc"":0.8823529411764706,""verification_eff"":0.0}",False,False,False,False
a79e92f58cc8d123944c9f49,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,22a1da388068fdcda485ad159f1be28fc4d772ba136335057555662241f1fc22,"{""evidence_acc"":0.5882352941176471,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.5882352941176471,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.5882352941176471,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.5882352941176471,""label_acc"":0.9411764705882353,""verification_eff"":0.0}",False,False,False,False
be82eaadb4725b7e49ff62ba,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,3cf4f17614c95b7f69cce77c701528496ddce7ada286a60769a321e1c988e7c3,"{""evidence_acc"":0.5294117647058824,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.5294117647058824,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.5294117647058824,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":0.5294117647058824,""label_acc"":0.8823529411764706,""verification_eff"":0.0}",False,False,False,False
3e5564dd85b405949523f2b4,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,"{""evidence_acc"":0.9411764705882353,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.9411764705882353,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.9411764705882353,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":0.9411764705882353,""label_acc"":0.9411764705882353,""verification_eff"":0.0}",False,False,False,False
b6ceab17a23b23daaf14bbf2,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,6e5f2028a25ca444ffad065e1b30f009ef93b813bf8815c074cc749123b1b76f,"{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.0}",False,False,False,False
9fcfa71d788aaa0a1907d487,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,a1fa6268a33e838f3d547623b58e6749080697ba60511da867c6d6c1956e9091,"{""evidence_acc"":0.8235294117647058,""label_acc"":1.0,""verification_eff"":0.0}","{""evidence_acc"":0.8235294117647058,""label_acc"":1.0,""verification_eff"":0.0}","{""evidence_acc"":0.8235294117647058,""label_acc"":1.0,""verification_eff"":0.0}","{""evidence_acc"":0.8235294117647058,""label_acc"":1.0,""verification_eff"":0.0}",False,False,False,False
1d44a8e0af6a07fecd6384f1,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,f6e1c41f34cd8d682e70e23b058caff839fd02667bd5212f6e27626fa65c91c6,"{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.0}",False,False,False,False
a05dfbc248daac8c4d1f8630,deepseek-v4-flash-0731,evidence_audit,cost_moderate,cached,372fe053d2a4a9126627de5aac4bd0f431587005875e44ef1ef55ee69b23e729,"{""evidence_acc"":0.7647058823529411,""label_acc"":1.0,""verification_eff"":0.0}","{""evidence_acc"":0.7647058823529411,""label_acc"":1.0,""verification_eff"":0.0}","{""evidence_acc"":0.7647058823529411,""label_acc"":1.0,""verification_eff"":0.0}","{""evidence_acc"":0.7647058823529411,""label_acc"":1.0,""verification_eff"":0.0}",False,False,False,False
