model,regime,strategy,metric,old,new,delta
deepseek-v4-flash-0731,cost_tight,cached,mean_evidence_acc,0.6199095022624435,0.6244343891402715,0.004524886877828038
deepseek-v4-flash-0731,cost_tight,cached,mean_final_answer_parsed,3.923076923076923,4,0.0769230769230771
gemini-3.8-flash-medium,cost_moderate,cached,mean_evidence_acc,0.8733031674208145,0.8868778280542986,0.013574660633484115
gemini-3.8-flash-medium,cost_moderate,cached,mean_final_answer_parsed,3.6923076923076925,4,0.3076923076923075
gemini-3.8-flash-medium,cost_moderate,naive,mean_evidence_acc,0.8054298642533937,0.8099547511312217,0.004524886877828038
gemini-3.8-flash-medium,cost_moderate,naive,mean_final_answer_parsed,3.3076923076923075,4,0.6923076923076925
gemini-3.8-flash-medium,cost_moderate,naive,mean_label_acc,0.9140271493212669,0.9095022624434389,-0.004524886877828038
gemini-3.8-flash-medium,cost_moderate,poolact,mean_agents_with_peer_only_nonempty_final_match,3.8461538461538463,4,0.15384615384615374
gemini-3.8-flash-medium,cost_moderate,poolact,mean_final_answer_parsed,3.8461538461538463,4,0.15384615384615374
gemini-3.8-flash-medium,cost_moderate,poolact,mean_final_matches_peer_only_verified,24.923076923076923,26.153846153846153,1.23076923076923
gemini-3.8-flash-medium,cost_moderate,poolact,mean_final_matches_peer_only_verified_nonempty,19.23076923076923,20,0.76923076923077
gemini-3.8-flash-medium,cost_tight,cached,mean_final_answer_parsed,3.769230769230769,4,0.23076923076923084
gemini-3.8-flash-medium,cost_tight,naive,mean_final_answer_parsed,3.8461538461538463,4,0.15384615384615374
glm-5.3,cost_moderate,cached,mean_evidence_acc,0.8461538461538461,0.832579185520362,-0.013574660633484115
glm-5.3,cost_moderate,cached,mean_final_answer_parsed,3.230769230769231,3.6153846153846154,0.3846153846153846
glm-5.3,cost_moderate,naive,mean_evidence_acc,0.8099547511312217,0.8144796380090498,0.004524886877828038
glm-5.3,cost_moderate,naive,mean_final_answer_parsed,3.3076923076923075,3.6923076923076925,0.384615384615385
glm-5.3,cost_moderate,poolact,mean_agents_with_peer_only_nonempty_final_match,3.1538461538461537,3.6923076923076925,0.5384615384615388
glm-5.3,cost_moderate,poolact,mean_evidence_acc,0.9773755656108597,0.9819004524886877,0.004524886877828038
glm-5.3,cost_moderate,poolact,mean_final_answer_parsed,3.230769230769231,3.769230769230769,0.5384615384615383
glm-5.3,cost_moderate,poolact,mean_final_matches_peer_only_verified,20.615384615384617,25.076923076923077,4.46153846153846
glm-5.3,cost_moderate,poolact,mean_final_matches_peer_only_verified_nonempty,14.307692307692308,17.307692307692307,2.9999999999999982
glm-5.3,cost_tight,naive,mean_final_answer_parsed,3.923076923076923,4,0.0769230769230771
glm-5.3,cost_tight,poolact,mean_agents_with_peer_only_nonempty_final_match,2.6923076923076925,2.8461538461538463,0.15384615384615374
glm-5.3,cost_tight,poolact,mean_evidence_acc,0.8190045248868778,0.8280542986425339,0.009049773755656076
glm-5.3,cost_tight,poolact,mean_final_answer_parsed,3.6923076923076925,3.923076923076923,0.2307692307692304
glm-5.3,cost_tight,poolact,mean_final_matches_peer_only_verified,5.384615384615385,6,0.615384615384615
glm-5.3,cost_tight,poolact,mean_final_matches_peer_only_verified_nonempty,5.153846153846154,5.769230769230769,0.615384615384615
kimi-k3,cost_moderate,cached,mean_evidence_acc,0.7647058823529411,0.7737556561085973,0.009049773755656187
kimi-k3,cost_moderate,cached,mean_final_answer_parsed,3.1538461538461537,3.769230769230769,0.6153846153846154
kimi-k3,cost_moderate,cached,mean_label_acc,0.9366515837104072,0.9457013574660633,0.009049773755656076
kimi-k3,cost_moderate,naive,mean_evidence_acc,0.7375565610859728,0.7194570135746606,-0.018099547511312153
kimi-k3,cost_moderate,naive,mean_final_answer_parsed,3.6923076923076925,3.923076923076923,0.2307692307692304
kimi-k3,cost_moderate,poolact,mean_agents_with_peer_only_nonempty_final_match,3.3076923076923075,3.769230769230769,0.4615384615384617
kimi-k3,cost_moderate,poolact,mean_evidence_acc,0.9366515837104072,0.9547511312217195,0.018099547511312264
kimi-k3,cost_moderate,poolact,mean_final_answer_parsed,3.3846153846153846,3.8461538461538463,0.4615384615384617
kimi-k3,cost_moderate,poolact,mean_final_matches_peer_only_verified,26.615384615384617,29.384615384615383,2.7692307692307665
kimi-k3,cost_moderate,poolact,mean_final_matches_peer_only_verified_nonempty,13.76923076923077,15.76923076923077,2.0
kimi-k3,cost_tight,cached,mean_final_answer_parsed,3.769230769230769,3.923076923076923,0.15384615384615374
kimi-k3,cost_tight,naive,mean_evidence_acc,0.5520361990950227,0.5475113122171946,-0.004524886877828038
kimi-k3,cost_tight,naive,mean_final_answer_parsed,3.6153846153846154,4,0.3846153846153846
kimi-k3,cost_tight,poolact,mean_agents_with_peer_only_nonempty_final_match,0.9230769230769231,1,0.07692307692307687
kimi-k3,cost_tight,poolact,mean_final_answer_parsed,3.769230769230769,3.8461538461538463,0.0769230769230771
kimi-k3,cost_tight,poolact,mean_final_matches_peer_only_verified,3.769230769230769,4,0.23076923076923084
kimi-k3,cost_tight,poolact,mean_final_matches_peer_only_verified_nonempty,1.7692307692307692,1.9230769230769231,0.15384615384615397
kimi-k3,cost_tight,poolact,mean_label_acc,0.8733031674208145,0.8687782805429864,-0.004524886877828038
qwen3.8-2.4t-a95b-fp8,cost_moderate,cached,mean_final_answer_parsed,3.923076923076923,4,0.0769230769230771
