order_index,model,beta,budget_seconds,data_source,question_index,rep,seed,score_f1,status,slot_id,source_job_id,source_cohort,native_source_id,trajectory_file,trajectory_bytes,trajectory_sha256,original_result_path,api_dump_root,first_two_messages_sha256,question_file_sha256,corpus_file_sha256,report_commit
0,gemini-3.8-flash-medium,10,3000,phantom_seed3,17,0,2200,0.0,completed,0593c85eac4b9ba6ffbeb34b,job_09b1e780bf658f263e8f8a0fe22a41e079711a353ae4d51a3a08e96606e4e521,gemini_snapshot,gemini38_flash_medium_refmatrix_20260911_v3,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/0593c85eac4b9ba6ffbeb34b.json,247806,dc48f618804dc3b9bcc54e9dbcf8a20a1bb7f9225b3434154a13865f5e6c260a,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_09b1e780bf658f263e8f8a0fe22a41e079711a353ae4d51a3a08e96606e4e521/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed3_17_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_09b1e780bf658f263e8f8a0fe22a41e079711a353ae4d51a3a08e96606e4e521/api_dump,4a840dd79aae6fe194c405bab2c3220ff68574add494878d1ec1ef01ac8bc743,43bb9b2a09a5230abdacbd175ebb7328b0703e9c6d99707ed1494a82a6624581,37b26d5c06fed0a3dc4b49f38804603ba199a461b6c483516a472189c77861c8,ad03e8c42ca501016176ee1bc407b38499178506
1,gemini-3.8-flash-medium,10,3000,phantom_seed2,2,0,2200,1.0,completed,714d8d07e246d2fec5c2a831,job_e441fca6aa9d36d8bad21fd68421b77a61372a80b859ba88b6c872b3d84357ce,gemini_snapshot,gemini38_flash_medium_refmatrix_20260911_v3,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/714d8d07e246d2fec5c2a831.json,111562,ad2b6d6f32e051ac415b132fd51861f3d68697e48ef7987e49ad7ac1fb46acdd,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_e441fca6aa9d36d8bad21fd68421b77a61372a80b859ba88b6c872b3d84357ce/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed2_2_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_e441fca6aa9d36d8bad21fd68421b77a61372a80b859ba88b6c872b3d84357ce/api_dump,5ec506bab3907bb6d1769e67597d03899fe8073ad711be666058e6231f2abfc2,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,3d896ca3bbb740f21aa6c9d3ccc82062a7664a0141e96bf749290b1789b26f33,ad03e8c42ca501016176ee1bc407b38499178506
2,gemini-3.8-flash-medium,10,3000,phantom_seed2,12,0,2200,1.0,completed,d9642b3717ed619eac35d0b2,job_2cdeefce3c4931a1ec941fad3132416616d8610d1176dd17223254dc6d1cfa69,gemini_snapshot,gemini38_flash_medium_refmatrix_20260911_v3,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/d9642b3717ed619eac35d0b2.json,92601,a4a31cf5f2b93ae31e99d36bc1f2d80f246d87de84adb577d09790eb94a3f3bd,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_2cdeefce3c4931a1ec941fad3132416616d8610d1176dd17223254dc6d1cfa69/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed2_12_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_2cdeefce3c4931a1ec941fad3132416616d8610d1176dd17223254dc6d1cfa69/api_dump,9b7e876be35ed5b829a6865839b9bf42bac57101e8de221169893096a48e9495,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,3d896ca3bbb740f21aa6c9d3ccc82062a7664a0141e96bf749290b1789b26f33,ad03e8c42ca501016176ee1bc407b38499178506
3,gemini-3.8-flash-medium,10,3000,phantom_seed2,8,0,2200,0.6666666666666666,completed,c1c9b08ea11e54a993ebaa08,job_dd2c2f99262b63c0fd14086a7d3b2a5aa7ac7a7f447b9c5f8f000caf9ea7f9b7,gemini_snapshot,gemini38_flash_medium_refmatrix_20260911_v3,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/c1c9b08ea11e54a993ebaa08.json,90252,aaa491a7919fedea56e09dbec1f7aeedc5a4e69c3f35d1aede9a03bf908fcb09,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_dd2c2f99262b63c0fd14086a7d3b2a5aa7ac7a7f447b9c5f8f000caf9ea7f9b7/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed2_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_dd2c2f99262b63c0fd14086a7d3b2a5aa7ac7a7f447b9c5f8f000caf9ea7f9b7/api_dump,5db80eccdd3953947331b76a8468bf1226f7a51420fc3a6a78c6609cf2078dcd,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,3d896ca3bbb740f21aa6c9d3ccc82062a7664a0141e96bf749290b1789b26f33,ad03e8c42ca501016176ee1bc407b38499178506
4,gemini-3.8-flash-medium,10,3000,phantom_seed3,0,0,2200,1.0,completed,2788a8157a2e71e49219ba28,job_7e2e6aee2e4fbe8504aa2a4456045b458ecab3954eb1e947260fdbf1fb1f68b2,gemini_snapshot,gemini38_flash_medium_refmatrix_20260911_v3,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/2788a8157a2e71e49219ba28.json,112024,f2601ac267569b3749408b4e12b214d29258b281019fed9bc6c695cc19a669c4,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_7e2e6aee2e4fbe8504aa2a4456045b458ecab3954eb1e947260fdbf1fb1f68b2/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed3_0_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_7e2e6aee2e4fbe8504aa2a4456045b458ecab3954eb1e947260fdbf1fb1f68b2/api_dump,4a63261eaecc88b6ba4fabb77c3e8fb5c407394b7c7f0c04bdb1cb83ce6e6543,43bb9b2a09a5230abdacbd175ebb7328b0703e9c6d99707ed1494a82a6624581,37b26d5c06fed0a3dc4b49f38804603ba199a461b6c483516a472189c77861c8,ad03e8c42ca501016176ee1bc407b38499178506
5,gemini-3.8-flash-medium,10,3000,phantom_seed2,14,0,2200,1.0,completed,3cf2f34c25e604c214e9c169,job_c99f325ffe952a1d0e7950fea176cb935c8ba64b6458d8c2fcca99f0b7cb9f9d,gemini_snapshot,gemini38_flash_medium_refmatrix_recovery_20260911_v1,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/3cf2f34c25e604c214e9c169.json,92914,e90f8bc746defa08dca3e087bc511d743dbbebc59d285d2ea6b8c0755701a093,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_c99f325ffe952a1d0e7950fea176cb935c8ba64b6458d8c2fcca99f0b7cb9f9d/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed2_14_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_c99f325ffe952a1d0e7950fea176cb935c8ba64b6458d8c2fcca99f0b7cb9f9d/api_dump,e3cacd674a2a8a7bc19e84979db827732aa325cf63c88fb3cebc15fc33055ee9,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,3d896ca3bbb740f21aa6c9d3ccc82062a7664a0141e96bf749290b1789b26f33,ad03e8c42ca501016176ee1bc407b38499178506
6,gemini-3.8-flash-medium,10,3000,phantom_seed3,10,0,2200,0.23529411764705882,completed,10c261a65b027e26e24e26a2,job_815ad2965617285ce77d126d35f2f6111fbef6e2e5dec8636c1e12f6f885183e,gemini_snapshot,gemini38_flash_medium_refmatrix_recovery_20260911_v1,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/10c261a65b027e26e24e26a2.json,35895,e293139fabcb0523f94b4586ffcc72ab9ed94bf7295bc06d3a4b60d4da77f776,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_815ad2965617285ce77d126d35f2f6111fbef6e2e5dec8636c1e12f6f885183e/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed3_10_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_815ad2965617285ce77d126d35f2f6111fbef6e2e5dec8636c1e12f6f885183e/api_dump,2764e4a056d1213c038be1d0d055a1c14948b7323935117b1667ecdb7332cb58,43bb9b2a09a5230abdacbd175ebb7328b0703e9c6d99707ed1494a82a6624581,37b26d5c06fed0a3dc4b49f38804603ba199a461b6c483516a472189c77861c8,ad03e8c42ca501016176ee1bc407b38499178506
7,gemini-3.8-flash-medium,10,3000,phantom_seed2,10,0,2200,0.0,completed,6e502d18165ccb2e20ea76d6,job_19e42dcace115df133ae677d4520659ea9f1a5212ee9319caa342a22815bcaba,gemini_snapshot,gemini38_flash_medium_refmatrix_recovery_20260911_v1,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/6e502d18165ccb2e20ea76d6.json,256044,7e5c9323b3377a0d8af0ce27f74fee5819931fe2c7b8f421afdd93e792a2fc36,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_19e42dcace115df133ae677d4520659ea9f1a5212ee9319caa342a22815bcaba/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed2_10_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_19e42dcace115df133ae677d4520659ea9f1a5212ee9319caa342a22815bcaba/api_dump,498614129a7ce0a9670f96e14919ae6e251550b2002fb7ed2a62f8f748671bff,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,3d896ca3bbb740f21aa6c9d3ccc82062a7664a0141e96bf749290b1789b26f33,ad03e8c42ca501016176ee1bc407b38499178506
8,gemini-3.8-flash-medium,10,3000,phantom_seed3,12,0,2200,0.0,completed,e720ece9ce55a9f03ca98212,job_14d29330b23a08669f1ca7c8f24aa2595d1daa34be8e628902147ff4b8fb2d67,gemini_snapshot,gemini38_flash_medium_refmatrix_recovery_20260911_v1,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/e720ece9ce55a9f03ca98212.json,248211,71989a2b2c1a44286c7b07386b17ee42ac21bb5e76c11db93aeef6c09a0ed085,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_14d29330b23a08669f1ca7c8f24aa2595d1daa34be8e628902147ff4b8fb2d67/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed3_12_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_14d29330b23a08669f1ca7c8f24aa2595d1daa34be8e628902147ff4b8fb2d67/api_dump,9d554d23264156a379322a714306c5a35b77a95722b8b1924e66914249637e62,43bb9b2a09a5230abdacbd175ebb7328b0703e9c6d99707ed1494a82a6624581,37b26d5c06fed0a3dc4b49f38804603ba199a461b6c483516a472189c77861c8,ad03e8c42ca501016176ee1bc407b38499178506
9,gemini-3.8-flash-medium,10,3000,phantom_seed2,19,0,2200,0.0,completed,d6ec87c3a4b5afd694aaea8c,job_60ee96793e02c380a2ad5ff16b50977118a4f2f2730bc9fb0558fa700af04e52,gemini_snapshot,gemini38_flash_medium_refmatrix_recovery_20260911_v1,deliveries/paper-ad03e8c-20260916/trajectories/gemini-3.8-flash-medium/expgym/d6ec87c3a4b5afd694aaea8c.json,124074,85db629cdddbdea3cf24a9a9e6caa1ac29db25a3b7d4781966aa48d3fd2389cb,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_60ee96793e02c380a2ad5ff16b50977118a4f2f2730bc9fb0558fa700af04e52/result/gemini-3.8-flash-medium_cost_moderate/traces-v2/restricted_search_phantom_seed2_19_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_60ee96793e02c380a2ad5ff16b50977118a4f2f2730bc9fb0558fa700af04e52/api_dump,f3844bc411e7e46b067b6b9cbc6ddb59e10c11e279659a63e05a7ebe1b1482e9,0bac202d2a2fed310d2cdae4d75a344011d108dc3f21231310692e864d28a795,3d896ca3bbb740f21aa6c9d3ccc82062a7664a0141e96bf749290b1789b26f33,ad03e8c42ca501016176ee1bc407b38499178506
