model,budget,doc_index,doc_id,order,source_cohort,trace_path,hypothesis,position,gold_label,gold_nonempty,gold_size,submitted_size,valid_hypothesis_submission,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_count,extra_count,overlap_count,missing_any,extra_any,evidence_precision,evidence_recall,feedback_calls,visible_feedback_calls,queried,ever_exact_proposal,submitted_exactly_verified,first_proposal_exact,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,final_changed_from_first,gold_evidence_ids,submitted_evidence_ids,first_visible_evidence_ids,first_visible_feedback_status
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-13,0,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-10,1,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-12,2,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-16,3,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-3,4,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[7],[7],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-17,5,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-15,6,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-2,7,Entailment,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,1.0,1,0,0,0,0,,0,0,0,0,[3],[3],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-19,8,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-18,9,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
