model,system,scenario,slice_kind,slice,regime,strategy,metric,N,unit,higher_is_better,scope,comparison_axis,baseline,target,effect_definition,baseline_full_mean,target_full_mean,effect,utility_effect,known_paired_subset_effect,relative_effect_percent,expected_outcomes,known_outcomes,missing_outcomes,expected_items,known_items,complete_items,min_repeats_per_item,max_repeats_per_item,source_input,source_row,source_url,derivation,source_row_target
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,duplicate_action_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_moderate,baseline_minus_target,0.1282051282051282,0.0,0.1282051282051282,,0.1282051282051282,100.0,13,13,0,13,13,13,1,1,deep_contrasts,2,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,duplicate_action_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_tight,baseline_minus_target,0.1282051282051282,0.0,0.1282051282051282,,0.1282051282051282,100.0,13,13,0,13,13,13,1,1,deep_contrasts,3,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,evidence_acc,1,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_moderate,baseline_minus_target,0.6395173453996983,0.5867269984917044,0.05279034690799394,0.05279034690799394,0.05279034690799394,8.254716981132072,13,13,0,13,13,13,1,1,deep_contrasts,6,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,evidence_acc,1,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_tight,baseline_minus_target,0.6395173453996983,0.47511312217194573,0.16440422322775264,0.16440422322775264,0.16440422322775264,25.70754716981132,13,13,0,13,13,13,1,1,deep_contrasts,7,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_moderate,baseline_minus_target,23.12820512820513,9.743589743589745,13.384615384615385,,13.384615384615385,57.871396895787136,13,13,0,13,13,13,1,1,deep_contrasts,10,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_tight,baseline_minus_target,23.12820512820513,3.0,20.12820512820513,,20.12820512820513,87.02882483370288,13,13,0,13,13,13,1,1,deep_contrasts,11,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_cost_seconds,1,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_moderate,baseline_minus_target,6914.979494934997,2904.364756115545,4010.614738819452,,4010.614738819452,57.998938995511125,13,13,0,13,13,13,1,1,deep_contrasts,14,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_cost_seconds,1,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_tight,baseline_minus_target,6914.979494934997,886.3310503257582,6028.648444609238,,6028.648444609238,87.18244861065794,13,13,0,13,13,13,1,1,deep_contrasts,15,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_visible,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_moderate,baseline_minus_target,23.12820512820513,9.179487179487179,13.948717948717949,,13.948717948717949,60.31042128603104,13,13,0,13,13,13,1,1,deep_contrasts,18,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_visible,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,regime,cost_free,cost_tight,baseline_minus_target,23.12820512820513,2.333333333333333,20.794871794871792,,20.794871794871792,89.91130820399111,13,13,0,13,13,13,1,1,deep_contrasts,19,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/contrasts.csv,unchanged native frozen paired contrast,
