study_id,model,system,scenario,budget,strategy,N,metric,endpoint,unit,primary,slice,comparison_axis,baseline,target,direction,baseline_full_mean,target_full_mean,effect,known_paired_subset_effect,relative_effect_percent,expected_outcomes,known_outcomes,missing_outcomes,expected_items,known_items,complete_items,min_repeats_per_item,max_repeats_per_item
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,all,budget,cost_free,cost_moderate,baseline_minus_target; positive means budget degradation,0.7043740573152337,0.6591251885369532,0.045248868778280556,0.045248868778280556,6.423982869379018,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,all,budget,cost_free,cost_tight,baseline_minus_target; positive means budget degradation,0.7043740573152337,0.5414781297134238,0.16289592760180996,0.16289592760180996,23.126338329764454,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,contract_nli,budget,cost_free,cost_moderate,baseline_minus_target; positive means budget degradation,0.7043740573152337,0.6591251885369532,0.045248868778280556,0.045248868778280556,6.423982869379018,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,EA,single,fraction,True,contract_nli,budget,cost_free,cost_tight,baseline_minus_target; positive means budget degradation,0.7043740573152337,0.5414781297134238,0.16289592760180996,0.16289592760180996,23.126338329764454,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,all,budget,cost_free,cost_moderate,baseline_minus_target; positive means budget degradation,0.8597285067873303,0.8793363499245852,-0.019607843137254895,-0.019607843137254895,-2.280701754385964,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,all,budget,cost_free,cost_tight,baseline_minus_target; positive means budget degradation,0.8597285067873303,0.7873303167420814,0.07239819004524888,0.07239819004524888,8.421052631578949,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,contract_nli,budget,cost_free,cost_moderate,baseline_minus_target; positive means budget degradation,0.8597285067873303,0.8793363499245852,-0.019607843137254895,-0.019607843137254895,-2.280701754385964,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,LA,single,fraction,False,contract_nli,budget,cost_free,cost_tight,baseline_minus_target; positive means budget degradation,0.8597285067873303,0.7873303167420814,0.07239819004524888,0.07239819004524888,8.421052631578949,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,EA,single,fraction,True,all,budget,cost_moderate,cost_tight,baseline_minus_target; positive means budget degradation,0.6591251885369532,0.5414781297134238,0.11764705882352941,0.11764705882352941,17.848970251716246,39,39,0,13,13,13,3,3
gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,EA,single,fraction,True,contract_nli,budget,cost_moderate,cost_tight,baseline_minus_target; positive means budget degradation,0.6591251885369532,0.5414781297134238,0.11764705882352941,0.11764705882352941,17.848970251716246,39,39,0,13,13,13,3,3
