slot_id,model,budget,strategy,metric,old,new,delta,source_sha256,reason
00f8e194c1badaa56bf899c5,deepseek-v4-flash-0731,cost_tight,cached,evidence_acc,0.35294117647058826,0.4117647058823529,0.05882352941176466,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,member_terminal_extraction_and_common_audit_wrapper_acceptance
00f8e194c1badaa56bf899c5,deepseek-v4-flash-0731,cost_tight,cached,final_answer_parsed,3,4,1,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,member_terminal_extraction_and_common_audit_wrapper_acceptance
0378b8ca3bf694b4e76f59bb,kimi-k3,cost_tight,naive,final_answer_parsed,3,4,1,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,member_terminal_extraction_and_common_audit_wrapper_acceptance
0a6e880236b69718a2b28aa5,kimi-k3,cost_moderate,naive,final_answer_parsed,3,4,1,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,agents_with_peer_only_nonempty_final_match,3,4,1,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,final_answer_parsed,3,4,1,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified,18,23,5,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified_nonempty,13,16,3,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,agents_with_peer_only_nonempty_final_match,2,3,1,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,evidence_acc,0.5882352941176471,0.7058823529411765,0.11764705882352944,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,final_answer_parsed,2,3,1,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,final_matches_peer_only_verified,11,17,6,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,final_matches_peer_only_verified_nonempty,9,14,5,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,member_terminal_extraction_and_common_audit_wrapper_acceptance
1abacb6f1add6c58a89fbbf8,gemini-3.8-flash-medium,cost_moderate,naive,evidence_acc,1.0,0.9411764705882353,-0.05882352941176472,08b4c61a39f71e09d54eb616c370983af390ea72b2ca84dfc3dad81a1ec91e01,member_terminal_extraction_and_common_audit_wrapper_acceptance
1abacb6f1add6c58a89fbbf8,gemini-3.8-flash-medium,cost_moderate,naive,final_answer_parsed,3,4,1,08b4c61a39f71e09d54eb616c370983af390ea72b2ca84dfc3dad81a1ec91e01,member_terminal_extraction_and_common_audit_wrapper_acceptance
1abacb6f1add6c58a89fbbf8,gemini-3.8-flash-medium,cost_moderate,naive,label_acc,0.9411764705882353,0.8823529411764706,-0.05882352941176472,08b4c61a39f71e09d54eb616c370983af390ea72b2ca84dfc3dad81a1ec91e01,member_terminal_extraction_and_common_audit_wrapper_acceptance
1da8580854b3f826b41a662f,glm-5.3,cost_moderate,poolact,agents_with_peer_only_nonempty_final_match,2,3,1,57c0f75360b05dc8e1d2e824b77f62dffde8d780c0e76ec95ccfeada41dd792b,member_terminal_extraction_and_common_audit_wrapper_acceptance
1da8580854b3f826b41a662f,glm-5.3,cost_moderate,poolact,final_answer_parsed,2,3,1,57c0f75360b05dc8e1d2e824b77f62dffde8d780c0e76ec95ccfeada41dd792b,member_terminal_extraction_and_common_audit_wrapper_acceptance
1da8580854b3f826b41a662f,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified,22,32,10,57c0f75360b05dc8e1d2e824b77f62dffde8d780c0e76ec95ccfeada41dd792b,member_terminal_extraction_and_common_audit_wrapper_acceptance
1da8580854b3f826b41a662f,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified_nonempty,5,8,3,57c0f75360b05dc8e1d2e824b77f62dffde8d780c0e76ec95ccfeada41dd792b,member_terminal_extraction_and_common_audit_wrapper_acceptance
1e47a5e5c7ab9576ffe33a31,gemini-3.8-flash-medium,cost_moderate,cached,final_answer_parsed,3,4,1,8d93a788a32c057b00069c0f4098f9163b5a6a27e15d785dfb0a6bb0dd169875,member_terminal_extraction_and_common_audit_wrapper_acceptance
27abe04a82360e4d5e11cdf0,gemini-3.8-flash-medium,cost_moderate,naive,final_answer_parsed,3,4,1,3ae54557e1a717e63fb4c4ef35d405021a77af9a6b736c271c071d2696a8deb0,member_terminal_extraction_and_common_audit_wrapper_acceptance
