model,cohort,task,family,regime,seed,rep,termination,termination_class,answer_source,score_cost_basis,answer_score_source,score_status,score_complete,max_steps,max_evaluations,agent_steps,attempted_evaluations,delivered_evaluations,unique_delivered_configs,repeated_delivered_evaluations,withheld_evaluations,visible_error_results,limit_seconds,delivered_cost_seconds,delivered_budget_fraction,best_observed_performance,first_best_observation_index,first_best_fraction,observations_after_first_best,strict_record_improvements,best_performance_gain_after_first3,best_performance_gain_after_first5,observed_best_reached_by_first3,observed_best_reached_by_first5,observed_best_reached_in_first_half,final_performance,final_below_observed_best,final_above_observed_best,trace_path,trace_sha256
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_free,2200,0,max_steps_reached,cap,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,30,29,27,27,0,0,2,,142057.3420715332,,0.941038986047109,24,0.8888888888888888,3,8,0.05869390567143762,0.03692573308944702,False,False,False,0.941038986047109,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3c813f46fbcb140deee3a084f5768c40149b2648c2019588ecff4ea427b9eed4/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_A_r0_s2200.json,d2ff72dbb62df9bd601f8981f602727b1da5376d6a848e6a0dcfe718a88d328d
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_free,2204,0,natural_answer,natural,natural_model_answer,offline_final_answer,offline_final_answer,scored_final_answer,True,30,30,1,0,0,0,0,0,0,,0,,,,,,0,,,,,,0.0,,,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3335fac2e8e3175e790f143039faa05469a5f4ffb2d25a479b726eb8c86c2926/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_A_r0_s2204.json,f3a7984f5532e53e46c6ab8d840276353d1ad93bc9a857120cb3f8e6ac77c50b
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_free,2208,0,aborted,other,,unscored_terminal,,unscorable_missing_configuration,False,30,30,16,14,13,13,0,0,1,,99759.34362792969,,0.8903245131174723,7,0.5384615384615384,6,3,0.0410990913709004,0.0410990913709004,False,False,True,,,,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_8e759c39518933ead644cea62844b3a9a52d7dcfb91ec43a4de183b57b1ee786/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_A_r0_s2208.json,cba57b66f5b1722848c458f201fa38fda60b858e8c918fcae9d96ce49aed6409
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_moderate,2200,0,time_budget_exceeded,budget,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,7,6,4,4,0,1,1,49441.52099609375,38683.03271484375,0.7823997307425069,0.8982371886571249,4,1.0,0,3,0.0016693472862243652,0.0,False,True,False,0.8982371886571249,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4d5b0ebf8f4fbe0a47bd219c2251b25a20c15f1e8bc5411c85916191a81f6754/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/tuning_hpobench_nasbench101_A_r0_s2200.json,99cc2846f1190309d9744b2c3134ea5598412147ac1794cca94a614686a94ec1
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_moderate,2204,0,time_budget_exceeded,budget,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,6,5,4,4,0,1,0,49441.52099609375,45735.12060546875,0.9250346608285406,0.9406049648920695,4,1.0,0,2,0.00714476903279615,0.0,False,True,False,0.9406049648920695,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_ed7da084057a1551663a759f9d5801bb0dff47d68b35573ac8366076818e7981/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/tuning_hpobench_nasbench101_A_r0_s2204.json,de33163457de952aea45ec12028ddfdfe51c64e63e6e5d5c095327018211cc57
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_moderate,2208,0,natural_answer,natural,natural_model_answer,offline_final_answer,offline_final_answer,scored_final_answer,True,30,30,1,0,0,0,0,0,0,49441.52099609375,0,0.0,,,,,0,,,,,,0.0,,,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_6c6bc98add8a6dbcf8780aacf0d2baaae2a61321c3ed6b8a877cdf39cc45ebc1/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/tuning_hpobench_nasbench101_A_r0_s2208.json,ae46d93e69a72824b6d07d1c75b305ed1b9fd8d1d33cade5e320e1ed4d6c2ca0
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_tight,2200,0,natural_answer,natural,best_evaluated_fallback,matching_tool_call,best_evaluated_fallback,scored_final_answer,True,30,30,5,3,3,3,0,0,0,14832.456298828125,14729.357452392578,0.9930491049925634,0.845886747042338,3,1.0,0,1,0.0,0.0,True,True,False,0.845886747042338,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_f568dd4bd3e41d4ce8536abd6d20a44184ddd84d15305717b2792ca32ed0f5d6/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_A_r0_s2200.json,4ff4f035174606019c9574fe76e0c9756e21fd1985378bdbc8befceb2f1a2746
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_tight,2204,0,natural_answer,natural,natural_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,7,5,5,5,0,0,0,14832.456298828125,13537.74203491211,0.9127107312618,0.9380007982254028,5,1.0,0,3,0.10396633545557654,0.0,False,True,False,0.9380007982254028,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9cb608375968d0750d6653305ca49f3242684fb372dbccffdcaa947724270146/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_A_r0_s2204.json,a5caa497c91a0fcace257cca7352f931b0f1f83d550770715c03e3b5874d6fb1
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:A,nasbench101,cost_tight,2208,0,time_budget_exceeded,budget,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,4,3,1,1,0,1,1,14832.456298828125,13875.8564453125,0.9355063089859766,0.845886747042338,1,1.0,0,0,0.0,0.0,True,True,True,0.845886747042338,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7ffef7c7136569f8e056919cb2e2ed45575a76ead9eb4818a713bbcd98a7c508/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench101_A_r0_s2208.json,380c04d4fee89f7cef780bbaf88aabd093260b90bcd6a7f7bc824265bfb364b2
deepseek-v4-flash-0731,deepseek_original,hpobench:nasbench101:B,nasbench101,cost_free,2200,0,max_steps_reached,cap,forced_model_answer,matching_tool_call,matching_tool_call,scored_final_answer,True,30,30,30,29,27,27,0,0,2,,204150.50915527344,,0.9356971184412638,26,0.9629629629629629,1,6,0.030048072338104248,0.030048072338104248,False,False,False,0.9356971184412638,False,False,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_ede4d6c529bf2246a634ab6dff8cdb7e04b01b20a636ed1229002b7930e187aa/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench101_B_r0_s2200.json,465ef6fe34cf1031f1bdceb46efcb413e3b6853b84e86a54a13f66d79726e3a3
