family,scenario,metric,unit,N,from_regime,to_regime,model,from_rank,to_rank,rank_change,eligible_models,excluded_models,excluded_reasons,cohort_from,cohort_to
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,kimi-k3,3,3,0,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,kimi_original,kimi_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,glm-5.3,5,4,1,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,glm_original,glm_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,qwen3.8-2.4t-a95b-fp8,2,2,0,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,qwen_original,qwen_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,deepseek-v4-flash-0731,6,6,0,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,deepseek_original,deepseek_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,gpt-5.6-sol,4,5,-1,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,gpt_original,gpt_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,gemini-3.8-flash-medium,1,1,0,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,gemini_snapshot,gemini_snapshot
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,kimi-k3,3,4,-1,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,kimi_original,kimi_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,glm-5.3,4,5,-1,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,glm_original,glm_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,qwen3.8-2.4t-a95b-fp8,2,2,0,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,qwen_original,qwen_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,deepseek-v4-flash-0731,6,6,0,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,deepseek_original,deepseek_original
evidence_audit,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,gpt-5.6-sol,5,3,2,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,,gpt_original,gpt_original
