dimension,model,regime,metric,score,unit,complete,known_units,expected_units,source_file,source_record
Search whois,kimi-k3,cost_free,f1,65.88618353324236,0-100,True,39,39,absolute_settings.csv,3241
Search whois,kimi-k3,cost_moderate,f1,57.30039024156671,0-100,True,39,39,absolute_settings.csv,3242
Search whois,kimi-k3,cost_tight,f1,17.013574660633484,0-100,True,39,39,absolute_settings.csv,3243
Search whois,glm-5.3,cost_free,f1,68.26510091215974,0-100,True,39,39,absolute_settings.csv,2395
Search whois,glm-5.3,cost_moderate,f1,64.2842148105306,0-100,True,39,39,absolute_settings.csv,2396
Search whois,glm-5.3,cost_tight,f1,23.057530704589528,0-100,True,39,39,absolute_settings.csv,2397
Search whois,qwen3.8-2.4t-a95b-fp8,cost_free,f1,64.11018175724058,0-100,True,39,39,absolute_settings.csv,3586
Search whois,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1,61.128348775407595,0-100,True,39,39,absolute_settings.csv,3587
Search whois,qwen3.8-2.4t-a95b-fp8,cost_tight,f1,22.56913021618904,0-100,True,39,39,absolute_settings.csv,3588
Search whois,deepseek-v4-flash-0731,cost_free,f1,49.8340874811463,0-100,True,39,39,absolute_settings.csv,19
Search whois,deepseek-v4-flash-0731,cost_moderate,f1,49.74861739567622,0-100,True,39,39,absolute_settings.csv,20
Search whois,deepseek-v4-flash-0731,cost_tight,f1,17.782805429864254,0-100,True,39,39,absolute_settings.csv,21
Search whois,gpt-5.6-sol,cost_free,f1,62.782805429864254,0-100,True,39,39,absolute_settings.csv,2896
Search whois,gpt-5.6-sol,cost_moderate,f1,59.74861739567622,0-100,True,39,39,absolute_settings.csv,2897
Search whois,gpt-5.6-sol,cost_tight,f1,17.013574660633484,0-100,True,39,39,absolute_settings.csv,2898
Search whois,gemini-3.8-flash-medium,cost_free,f1,73.86339151045034,0-100,True,39,39,absolute_settings.csv,1006
Search whois,gemini-3.8-flash-medium,cost_moderate,f1,62.76652541358424,0-100,True,39,39,absolute_settings.csv,1007
Search whois,gemini-3.8-flash-medium,cost_tight,f1,20.4323780794369,0-100,True,39,39,absolute_settings.csv,1008
Search whatis,kimi-k3,cost_free,f1,60.95842882607588,0-100,True,34,34,absolute_settings.csv,3238
Search whatis,kimi-k3,cost_moderate,f1,40.803412274000515,0-100,True,34,34,absolute_settings.csv,3239
Search whatis,kimi-k3,cost_tight,f1,14.313725490196077,0-100,True,34,34,absolute_settings.csv,3240
Search whatis,glm-5.3,cost_free,f1,61.49144972674384,0-100,True,34,34,absolute_settings.csv,2392
Search whatis,glm-5.3,cost_moderate,f1,40.649122119710356,0-100,True,34,34,absolute_settings.csv,2393
Search whatis,glm-5.3,cost_tight,f1,14.84848484848485,0-100,True,34,34,absolute_settings.csv,2394
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_free,f1,51.310331825037714,0-100,True,34,34,absolute_settings.csv,3583
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1,39.34509118332648,0-100,True,34,34,absolute_settings.csv,3584
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_tight,f1,13.770053475935828,0-100,True,34,34,absolute_settings.csv,3585
Search whatis,deepseek-v4-flash-0731,cost_free,f1,36.90730837789661,0-100,True,34,34,absolute_settings.csv,16
Search whatis,deepseek-v4-flash-0731,cost_moderate,f1,33.35164835164836,0-100,True,34,34,absolute_settings.csv,17
Search whatis,deepseek-v4-flash-0731,cost_tight,f1,15.926916221033869,0-100,True,34,34,absolute_settings.csv,18
Search whatis,gpt-5.6-sol,cost_free,f1,65.42057999670456,0-100,True,34,34,absolute_settings.csv,2893
Search whatis,gpt-5.6-sol,cost_moderate,f1,45.387700534759354,0-100,True,34,34,absolute_settings.csv,2894
Search whatis,gpt-5.6-sol,cost_tight,f1,13.868092691622103,0-100,True,34,34,absolute_settings.csv,2895
Search whatis,gemini-3.8-flash-medium,cost_free,f1,69.92695117262592,0-100,True,34,34,absolute_settings.csv,1003
Search whatis,gemini-3.8-flash-medium,cost_moderate,f1,46.131972602560836,0-100,True,34,34,absolute_settings.csv,1004
Search whatis,gemini-3.8-flash-medium,cost_tight,f1,14.84848484848485,0-100,True,34,34,absolute_settings.csv,1005
Audit evidence accuracy,kimi-k3,cost_free,evidence_acc,89.4419306184012,0-100,True,13,13,absolute_settings.csv,3229
Audit evidence accuracy,kimi-k3,cost_moderate,evidence_acc,68.77828054298642,0-100,True,13,13,absolute_settings.csv,3231
Audit evidence accuracy,kimi-k3,cost_tight,evidence_acc,51.58371040723983,0-100,True,13,13,absolute_settings.csv,3233
Audit evidence accuracy,glm-5.3,cost_free,evidence_acc,68.47662141779789,0-100,True,13,13,absolute_settings.csv,2383
Audit evidence accuracy,glm-5.3,cost_moderate,evidence_acc,67.87330316742081,0-100,True,13,13,absolute_settings.csv,2385
Audit evidence accuracy,glm-5.3,cost_tight,evidence_acc,50.2262443438914,0-100,True,13,13,absolute_settings.csv,2387
Audit evidence accuracy,qwen3.8-2.4t-a95b-fp8,cost_free,evidence_acc,91.8552036199095,0-100,True,13,13,absolute_settings.csv,3574
Audit evidence accuracy,qwen3.8-2.4t-a95b-fp8,cost_moderate,evidence_acc,74.96229260935142,0-100,True,13,13,absolute_settings.csv,3576
Audit evidence accuracy,qwen3.8-2.4t-a95b-fp8,cost_tight,evidence_acc,58.37104072398189,0-100,True,13,13,absolute_settings.csv,3578
Audit evidence accuracy,deepseek-v4-flash-0731,cost_free,evidence_acc,63.95173453996983,0-100,True,13,13,absolute_settings.csv,7
Audit evidence accuracy,deepseek-v4-flash-0731,cost_moderate,evidence_acc,58.67269984917044,0-100,True,13,13,absolute_settings.csv,9
Audit evidence accuracy,deepseek-v4-flash-0731,cost_tight,evidence_acc,47.51131221719457,0-100,True,13,13,absolute_settings.csv,11
Audit evidence accuracy,gpt-5.6-sol,cost_free,evidence_acc,70.43740573152337,0-100,True,13,13,absolute_settings.csv,2884
Audit evidence accuracy,gpt-5.6-sol,cost_moderate,evidence_acc,65.91251885369532,0-100,True,13,13,absolute_settings.csv,2886
Audit evidence accuracy,gpt-5.6-sol,cost_tight,evidence_acc,54.14781297134238,0-100,True,13,13,absolute_settings.csv,2888
Audit evidence accuracy,gemini-3.8-flash-medium,cost_free,evidence_acc,97.5867269984917,0-100,True,39,39,absolute_settings.csv,916
Audit evidence accuracy,gemini-3.8-flash-medium,cost_moderate,evidence_acc,82.8054298642534,0-100,True,39,39,absolute_settings.csv,918
Audit evidence accuracy,gemini-3.8-flash-medium,cost_tight,evidence_acc,72.09653092006033,0-100,True,39,39,absolute_settings.csv,920
Audit label accuracy,kimi-k3,cost_free,label_acc,92.60935143288084,0-100,True,13,13,absolute_settings.csv,3230
Audit label accuracy,kimi-k3,cost_moderate,label_acc,85.36953242835595,0-100,True,13,13,absolute_settings.csv,3232
Audit label accuracy,kimi-k3,cost_tight,label_acc,79.48717948717949,0-100,True,13,13,absolute_settings.csv,3234
Audit label accuracy,glm-5.3,cost_free,label_acc,69.23076923076923,0-100,True,13,13,absolute_settings.csv,2384
Audit label accuracy,glm-5.3,cost_moderate,label_acc,76.01809954751131,0-100,True,13,13,absolute_settings.csv,2386
Audit label accuracy,glm-5.3,cost_tight,label_acc,73.60482654600301,0-100,True,13,13,absolute_settings.csv,2388
Audit label accuracy,qwen3.8-2.4t-a95b-fp8,cost_free,label_acc,94.7209653092006,0-100,True,13,13,absolute_settings.csv,3575
Audit label accuracy,qwen3.8-2.4t-a95b-fp8,cost_moderate,label_acc,88.23529411764706,0-100,True,13,13,absolute_settings.csv,3577
Audit label accuracy,qwen3.8-2.4t-a95b-fp8,cost_tight,label_acc,83.10708898944193,0-100,True,13,13,absolute_settings.csv,3579
Audit label accuracy,deepseek-v4-flash-0731,cost_free,label_acc,66.81749622926093,0-100,True,13,13,absolute_settings.csv,8
Audit label accuracy,deepseek-v4-flash-0731,cost_moderate,label_acc,75.56561085972852,0-100,True,13,13,absolute_settings.csv,10
Audit label accuracy,deepseek-v4-flash-0731,cost_tight,label_acc,70.2865761689291,0-100,True,13,13,absolute_settings.csv,12
Audit label accuracy,gpt-5.6-sol,cost_free,label_acc,85.97285067873302,0-100,True,13,13,absolute_settings.csv,2885
Audit label accuracy,gpt-5.6-sol,cost_moderate,label_acc,87.93363499245852,0-100,True,13,13,absolute_settings.csv,2887
Audit label accuracy,gpt-5.6-sol,cost_tight,label_acc,78.73303167420815,0-100,True,13,13,absolute_settings.csv,2889
Audit label accuracy,gemini-3.8-flash-medium,cost_free,label_acc,97.28506787330316,0-100,True,39,39,absolute_settings.csv,917
Audit label accuracy,gemini-3.8-flash-medium,cost_moderate,label_acc,92.3076923076923,0-100,True,39,39,absolute_settings.csv,919
Audit label accuracy,gemini-3.8-flash-medium,cost_tight,label_acc,88.23529411764706,0-100,True,39,39,absolute_settings.csv,921
ParamNet,kimi-k3,cost_free,gap0,97.07588307631181,Gap points,True,9,9,absolute_settings.csv,3272
ParamNet,kimi-k3,cost_moderate,gap0,87.7565007299784,Gap points,True,9,9,absolute_settings.csv,3275
ParamNet,kimi-k3,cost_tight,gap0,79.42248331232413,Gap points,True,9,9,absolute_settings.csv,3278
ParamNet,glm-5.3,cost_free,gap0,96.03878841246782,Gap points,True,9,9,absolute_settings.csv,2426
ParamNet,glm-5.3,cost_moderate,gap0,94.24026889615324,Gap points,True,9,9,absolute_settings.csv,2429
ParamNet,glm-5.3,cost_tight,gap0,79.40189205611205,Gap points,True,9,9,absolute_settings.csv,2432
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,95.2822905852123,Gap points,True,9,9,absolute_settings.csv,3617
