model,beta,expected_items,old_score_known,new_score_known,old_mean_f1,new_mean_f1,delta_mean_f1,answer_changed_items,score_changed_items,old_missing_final_items,new_missing_final_items,main_overlap_items,provider_cohort
gpt,1,39,39,39,0.06837606837606837,0.06837606837606837,0.0,0,0,0,0,0,historical_original_provider
gpt,5,39,39,39,0.36867054514113334,0.36867054514113334,0.0,0,0,0,0,0,historical_original_provider
gpt,10,39,39,39,0.5974861739567621,0.5974861739567621,0.0,0,0,0,0,39,historical_original_provider
gpt,15,39,39,39,0.6316742081447964,0.6316742081447964,0.0,0,0,0,0,0,historical_original_provider
gpt,20,39,39,39,0.6326510091215974,0.6326510091215974,0.0,0,0,0,0,0,historical_original_provider
kimi,1,39,39,39,0.06837606837606837,0.06837606837606837,0.0,0,0,1,1,0,historical_original_provider
kimi,5,39,39,39,0.32190619837678663,0.32190619837678663,0.0,0,0,0,0,0,historical_original_provider
kimi,10,39,39,39,0.573003902415667,0.573003902415667,0.0,1,0,0,0,39,historical_original_provider
kimi,15,39,39,39,0.6520242284948167,0.6520242284948167,0.0,0,0,0,0,0,historical_original_provider
kimi,20,39,39,39,0.6434772199478082,0.6434772199478082,0.0,0,0,0,0,0,historical_original_provider
glm,1,39,39,39,0.07692307692307693,0.07692307692307693,0.0,0,0,2,2,0,historical_original_provider
glm,5,39,39,39,0.3624656389362272,0.3624656389362272,0.0,0,0,2,2,0,historical_original_provider
glm,10,39,39,39,0.6428421481053059,0.6428421481053059,0.0,0,0,1,1,39,historical_original_provider
glm,15,39,39,39,0.6579257343963226,0.6579257343963226,0.0,0,0,2,2,0,historical_original_provider
glm,20,39,39,39,0.6902634821186858,0.6902634821186858,0.0,1,0,1,1,0,historical_original_provider
qwen,1,39,39,39,0.07264957264957264,0.07264957264957264,0.0,0,0,1,1,0,historical_original_provider
qwen,5,39,39,39,0.3778169542875425,0.3778169542875425,0.0,0,0,1,1,0,historical_original_provider
qwen,10,39,39,39,0.611283487754076,0.611283487754076,0.0,0,0,0,0,39,historical_original_provider
qwen,15,39,39,39,0.6121381886087768,0.6121381886087768,0.0,0,0,0,0,0,historical_original_provider
qwen,20,39,39,39,0.6149057913763796,0.6149057913763796,0.0,0,0,0,0,0,historical_original_provider
deepseek,1,39,39,39,0.05555555555555555,0.05555555555555555,0.0,0,0,6,6,0,historical_original_provider
deepseek,5,39,39,39,0.3398549163255045,0.3398549163255045,0.0,0,0,1,1,0,historical_original_provider
deepseek,10,39,39,39,0.4974861739567621,0.4974861739567621,0.0,0,0,0,0,39,historical_original_provider
deepseek,15,39,39,39,0.6211328976034857,0.6211328976034857,0.0,0,0,0,0,0,historical_original_provider
deepseek,20,39,39,39,0.6121196885902768,0.6121196885902768,0.0,0,0,0,0,0,historical_original_provider
gemini,1,39,39,39,0.08717948717948718,0.08717948717948718,0.0,0,0,0,0,0,openrouter
gemini,5,39,39,39,0.40086427733486557,0.40086427733486557,0.0,0,0,0,0,0,openrouter
gemini,10,39,39,39,0.6276652541358424,0.6276652541358424,0.0,0,0,0,0,39,historical_sub2api
gemini,15,39,39,39,0.6709019691116878,0.6709019691116878,0.0,0,0,0,0,0,openrouter
gemini,20,39,39,39,0.7243310066839479,0.7243310066839479,0.0,0,0,0,0,0,openrouter
