model,budget,doc_index,doc_id,order,source_cohort,trace_path,trace_sha256,trace_bytes,hypothesis_count,label_acc,evidence_acc,joint_acc,label_correct_wrong_evidence_rate,correct_label_wrong_evidence_conditional,tool_calls,visible_tool_calls,distinct_hypotheses,repeat_calls,gold_nonempty_query_calls,gold_empty_query_calls,feedback_correct,feedback_incomplete,feedback_irrelevant,first_fixed_example,last_feedback_not_exact,termination_reason,answer_source,agent_steps,simulated_feedback_cost,budget_limit,budget_fraction,residual_less_than_min_call,residual_at_least_max_call,zero_feedback,visible_distinct_hypotheses,visible_repeat_calls,visible_feedback_correct,visible_feedback_incomplete,visible_feedback_irrelevant,visible_last_feedback_not_exact,hidden_result_count,natural_answer,time_budget_exceeded,max_steps_reached,visible_nonempty_query_calls,nonempty_n,nonempty_label_correct,nonempty_evidence_exact,nonempty_joint_correct,nonempty_label_correct_wrong_evidence,nonempty_missing_any,nonempty_extra_any,nonempty_evidence_precision,nonempty_evidence_recall,nonempty_queried,nonempty_correct_label_wrong_evidence_conditional,empty_n,empty_label_correct,empty_evidence_exact,empty_joint_correct,empty_label_correct_wrong_evidence,empty_missing_any,empty_extra_any,empty_evidence_precision,empty_evidence_recall,empty_queried,empty_correct_label_wrong_evidence_conditional
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,a09c88c002c55fb638b6399a8bc0d24eef1e59670c5f2f196522e505724d4439,76442,17,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.058823529411764705,0.06666666666666667,3,2,3,0,2,1,2,0,1,1,0,time_budget_exceeded,forced_model_answer,4,903.2147073093802,900.0,1.0035718970104224,1,0,0,2,0,1,0,1,0,1,0,1,0,1,4,0.75,0.75,0.5,0.25,0.25,0,1.0,0.875,0.25,0.3333333333333333,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0,0,0.07692307692307693,0.9230769230769231,1.0,0.07692307692307693,0.0
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,230eca73c091fc38b914ac9dd040bc20bc4253ee24ffaa78d212f3cf02644541,159609,17,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.0,0.0,10,10,5,5,7,3,5,1,4,1,0,natural_answer,natural_model_answer,12,2993.6362499836832,3000.0,0.997878749994561,1,0,0,5,5,5,1,4,0,0,1,0,0,7,4,0.5,1,0.5,0,0,0,1.0,1.0,0.75,0.0,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0,0,0.07692307692307693,0.9230769230769231,1.0,0.15384615384615385,0.0
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,62bed784d79bc0f1ea48c47da220e20320dadc339baef19a5032bbd504aded41,146082,17,0.8823529411764706,0.7058823529411765,0.6470588235294118,0.23529411764705882,0.26666666666666666,3,3,3,0,3,0,3,0,0,0,0,natural_answer,natural_model_answer,5,866.198665201664,900.0,0.9624429613351821,1,0,0,3,0,3,0,0,0,0,1,0,0,3,14,0.9285714285714286,0.7142857142857143,0.6428571428571429,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.8928571428571429,0.8095238095238095,0.21428571428571427,0.3076923076923077,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.3333333333333333,0.6666666666666666,1.0,0,0.0
deepseek-v4-flash-0731,cost_free,11,24,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_06583c2b1026b83051ad653b5e53088a4c0167cb87fffb8455989fc42a1cd090/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,255af2387639ddaa4cc240708a0489707f76d713692198312f8d812c1c92e520,344769,17,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.11764705882352941,0.15384615384615385,21,21,8,13,17,4,7,5,9,1,1,empty_model_response,forced_model_answer,23,6289.657207857817,,,,,0,8,13,7,5,9,1,0,0,0,0,17,10,0.8,0.6,0.6,0.2,0.4,0.1,0.8,0.69,0.6,0.25,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0,0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.0
deepseek-v4-flash-0731,cost_moderate,11,24,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_09d364107d4d5fd6e0fb319b04d3e3ffd6341a311fec87df2f19b275c5574510/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_11_r2_s2202.json,abe220ab4a5d1b73523c8de1c2c9aaba5ce4e673a05236a0d6fcbb44afe5ce42,194063,17,0.8823529411764706,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.5333333333333333,5,5,2,3,0,5,1,0,4,1,0,empty_model_response,forced_model_answer,7,1504.4055673666298,3000.0,0.5014685224555433,0,1,0,2,3,1,0,4,0,0,0,0,0,0,10,0.9,0.1,0.1,0.8,0.9,0.2,0.825,0.44,0,0.8888888888888888,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,0,0.14285714285714285,0.8571428571428571,1.0,0.2857142857142857,0.0
deepseek-v4-flash-0731,cost_tight,9,22,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_0b66dd3ae5b6cfa4f65d75a408f9542a27866960095d49b05ec8b7afad02901e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r2_s2202.json,ae04035edbed348a5da3d2c28003fa83c03c0e82543359da992a4d505f5be47d,155130,17,0.8235294117647058,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.42857142857142855,3,2,2,1,0,3,1,0,2,1,1,time_budget_exceeded,forced_model_answer,4,905.6231601815671,900.0,1.0062479557572968,1,0,0,1,1,1,0,1,0,1,0,1,0,0,12,0.75,0.3333333333333333,0.25,0.5,0.6666666666666666,0,0.8333333333333334,0.5694444444444444,0,0.6666666666666666,5,1,1,1,0,0,0,1.0,1.0,0.2,0.0
deepseek-v4-flash-0731,cost_tight,8,21,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_131087daf453a35618766aa2b7a503e353f010337871bd5c9cb8e6a4fd75ccd0/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r2_s2202.json,2544eee91c474c62c61c06e5f2988fdc139111bbcb23a0099d398c50d57bf796,122530,17,0.0,0.0,0.0,0.0,,2,2,1,1,2,0,1,1,0,0,0,natural_answer,natural_model_answer,4,601.202052384615,900.0,0.66800228042735,0,0,0,1,1,1,1,0,0,0,1,0,0,2,12,0,0,0,0,1,0,0.0,0.0,0.08333333333333333,,5,0,0,0,0,0,0,1.0,1.0,0,
deepseek-v4-flash-0731,cost_tight,2,4,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_1398fbcdbded7fa33e7f074eee785e2d9a165fb26a97893c0079ead6ec8c3536/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_2_r1_s2201.json,a0154d114a4bbcef5892099d64e1ea46fafff998271b052936d74ccb49d968ae,182562,17,0.0,0.0,0.0,0.0,,3,2,2,1,0,3,1,0,2,1,1,time_budget_exceeded,forced_model_answer,4,902.8073438536376,900.0,1.0031192709484862,1,0,0,1,1,1,0,1,0,1,0,1,0,0,6,0,0,0,0,1,0,0.0,0.0,0,,11,0,0,0,0,0,0,1.0,1.0,0.09090909090909091,
deepseek-v4-flash-0731,cost_tight,12,25,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_16209251fa00b89b92846052f938b660949ed07a90b90cac6fca95a158f75f89/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r2_s2202.json,116d6cf3a8982d67dfcd6c64933e7c34887d1d105efed30e00c1dca66d50366c,111763,17,0.8235294117647058,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.42857142857142855,3,2,2,1,1,2,2,0,1,1,0,time_budget_exceeded,forced_model_answer,4,921.6089695040137,900.0,1.0240099661155708,1,0,0,1,1,1,0,1,0,1,0,1,0,0,7,1,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.9285714285714286,0.6428571428571429,0,0.8571428571428571,10,0.7,0.7,0.7,0,0,0.3,0.7,1.0,0.1,0.0
deepseek-v4-flash-0731,cost_moderate,5,8,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_162c51c36321eacefb2aab8389eca5609d162c23801b44cf5adfb4e98c1d5fdd/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r2_s2202.json,a615e024c95c382d25281ffe4e9182d45e49528cda07d06571d255fb611c54fd,142421,17,0.7647058823529411,0.8823529411764706,0.7647058823529411,0.0,0.0,10,9,5,5,8,2,5,1,4,1,0,time_budget_exceeded,forced_model_answer,10,3014.362415969372,3000.0,1.0047874719897907,1,0,0,5,4,4,1,4,1,1,0,1,0,7,4,0.5,1,0.5,0,0,0,1.0,1.0,1,0.0,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,0,0,0.15384615384615385,0.8461538461538461,1.0,0.07692307692307693,0.0
