model,system,scenario,regime,strategy,N,metric,unit,higher_is_better,scope,slice_kind,slice,outerrep,seed_labels,expected_outcomes,known_outcomes,missing_outcomes,expected_items,known_items,complete_items,full_mean,known_subset_item_weighted_mean,known_component_subset_item_weighted_mean,expected_components,known_components,missing_components,min_repeats_per_item,max_repeats_per_item
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.02564102564102564,0.02564102564102564,0.02564102564102564,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.02564102564102564,0.02564102564102564,0.02564102564102564,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.9185520361990951,0.9185520361990951,0.9185520361990951,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.9185520361990951,0.9185520361990951,0.9185520361990951,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,27.82051282051282,27.82051282051282,27.82051282051282,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,27.82051282051282,27.82051282051282,27.82051282051282,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,feedback_cost_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,8356.558677457178,8356.558677457178,8356.558677457178,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,feedback_cost_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,8356.558677457178,8356.558677457178,8356.558677457178,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,feedback_visible,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,27.82051282051282,27.82051282051282,27.82051282051282,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,feedback_visible,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,27.82051282051282,27.82051282051282,27.82051282051282,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,input_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,307147.28205128206,307147.28205128206,307147.28205128206,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,input_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,307147.28205128206,307147.28205128206,307147.28205128206,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,label_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.947209653092006,0.947209653092006,0.947209653092006,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,label_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.947209653092006,0.947209653092006,0.947209653092006,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,output_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,13626.307692307691,13626.307692307691,13626.307692307691,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,output_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,13626.307692307691,13626.307692307691,13626.307692307691,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,protocol_failure_rate,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.01858998428890902,0.01858998428890902,0.01858998428890902,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,protocol_failure_rate,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.01858998428890902,0.01858998428890902,0.01858998428890902,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,wall_time_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,562.4607949745961,562.4607949745961,562.4607949745961,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,1,wall_time_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,562.4607949745961,562.4607949745961,562.4607949745961,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,budget_utilization,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.9808441458054238,0.9808441458054238,0.9808441458054238,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,budget_utilization,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.9808441458054238,0.9808441458054238,0.9808441458054238,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.0,0.0,0.0,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.0,0.0,0.0,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.7496229260935142,0.7496229260935142,0.7496229260935142,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.7496229260935142,0.7496229260935142,0.7496229260935142,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,9.76923076923077,9.76923076923077,9.76923076923077,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,9.76923076923077,9.76923076923077,9.76923076923077,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,feedback_cost_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,2942.532437416271,2942.532437416271,2942.532437416271,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,feedback_cost_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,2942.532437416271,2942.532437416271,2942.532437416271,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,feedback_visible,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,9.35897435897436,9.35897435897436,9.35897435897436,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,feedback_visible,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,9.35897435897436,9.35897435897436,9.35897435897436,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,input_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,95237.23076923077,95237.23076923077,95237.23076923077,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,input_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,95237.23076923077,95237.23076923077,95237.23076923077,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,label_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.8823529411764706,0.8823529411764706,0.8823529411764706,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,label_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.8823529411764706,0.8823529411764706,0.8823529411764706,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,output_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,12671.25641025641,12671.25641025641,12671.25641025641,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,output_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,12671.25641025641,12671.25641025641,12671.25641025641,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,protocol_failure_rate,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.004273504273504273,0.004273504273504273,0.004273504273504273,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,protocol_failure_rate,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.004273504273504273,0.004273504273504273,0.004273504273504273,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,wall_time_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,464.6790272639348,464.6790272639348,464.6790272639348,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,1,wall_time_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,464.6790272639348,464.6790272639348,464.6790272639348,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,budget_utilization,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,1.0177269709930672,1.0177269709930672,1.0177269709930672,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,budget_utilization,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,1.0177269709930672,1.0177269709930672,1.0177269709930672,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.0,0.0,0.0,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.0,0.0,0.0,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,0.5837104072398189,0.5837104072398189,0.5837104072398189,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,family,evidence_audit,0,"[2200,2201,2202]",13,13,0,13,13,13,0.5837104072398189,0.5837104072398189,0.5837104072398189,39,39,0,1,1
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,1,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,all,all,0,"[2200,2201,2202]",13,13,0,13,13,13,3.051282051282051,3.051282051282051,3.051282051282051,39,39,0,1,1
