model,system,scenario,item,family,regime,strategy,N,outerrep,metric,unit,higher_is_better,scope,analysis_id,value,known_component_subset_mean,expected_components,known_components,missing_components,components,orders,seed_labels
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,duplicate_action_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,0.0,0.0,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":0},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":0},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":0}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,evidence_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,0.5490196078431373,0.5490196078431373,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":0.7058823529411765},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":0.35294117647058826},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":0.5882352941176471}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,feedback_attempts,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,20.666666666666668,20.666666666666668,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":30.0},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":2.0},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":30.0}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,feedback_cost_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,6259.038199515392,6259.038199515392,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":9072.357673030347},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":622.8957481030375},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":9081.861177412793}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,feedback_visible,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,20.666666666666668,20.666666666666668,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":30.0},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":2.0},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":30.0}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,input_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,300649.0,300649.0,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":392048},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":134951},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":374948}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,label_acc,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,0.9215686274509803,0.9215686274509803,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":1.0},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":0.7647058823529411},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":1.0}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,output_tokens,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,25446.0,25446.0,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":13617},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":46100},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":16621}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,protocol_failure_rate,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,0.13333333333333333,0.13333333333333333,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":0.0},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":0.4},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":0.0}]","[0,1,2]","[2200,2201,2202]"
deepseek-v4-flash-0731,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,wall_time_seconds,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,analysis_409179d92c6d1f508506c6b1a4971f4793979e217f9f5dd8ef9e345df59a3bd8,288.0053830941518,288.0053830941518,3,3,0,"[{""execution_id"":""job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e"",""order"":0,""seed"":2200,""value"":168.21659636497498},{""execution_id"":""job_67596b609ebe9bb0b3761770302bfbd31bd8b91fbae03769473dc3aa67596586"",""order"":1,""seed"":2201,""value"":498.5534133911133},{""execution_id"":""job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d"",""order"":2,""seed"":2202,""value"":197.2461395263672}]","[0,1,2]","[2200,2201,2202]"
