model,system,scenario,slice_kind,slice,regime,strategy,metric,N,unit,higher_is_better,scope,outerrep,seed_labels,expected_outcomes,known_outcomes,missing_outcomes,expected_items,known_items,complete_items,full_mean,known_subset_item_weighted_mean,known_component_subset_item_weighted_mean,expected_components,known_components,missing_components,min_repeats_per_item,max_repeats_per_item,source_input,source_row,source_url,native_slice,analysis_unit,original_logical_rows,known_source_logical_rows
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,duplicate_action_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.1282051282051282,0.1282051282051282,0.1282051282051282,39,39,0,1,1,deep_blocks,2,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,evidence_acc,1,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.6395173453996983,0.6395173453996983,0.6395173453996983,39,39,0,1,1,deep_blocks,4,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,23.12820512820513,23.12820512820513,23.12820512820513,39,39,0,1,1,deep_blocks,6,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_cost_seconds,1,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,6914.979494934997,6914.979494934997,6914.979494934997,39,39,0,1,1,deep_blocks,8,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,feedback_visible,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,23.12820512820513,23.12820512820513,23.12820512820513,39,39,0,1,1,deep_blocks,10,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,input_tokens,1,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,366150.87179487175,366150.87179487175,366150.87179487175,39,39,0,1,1,deep_blocks,12,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,label_acc,1,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.6681749622926093,0.6681749622926093,0.6681749622926093,39,39,0,1,1,deep_blocks,14,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,output_tokens,1,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,21262.4358974359,21262.4358974359,21262.4358974359,39,39,0,1,1,deep_blocks,16,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,protocol_failure_rate,1,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.10971678234562922,0.10971678234562922,0.10971678234562922,39,39,0,1,1,deep_blocks,18,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_free,single,wall_time_seconds,1,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,241.6739446750054,241.6739446750054,241.6739446750054,39,39,0,1,1,deep_blocks,20,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,budget_utilization,1,fraction,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.9681215853718483,0.9681215853718483,0.9681215853718483,39,39,0,1,1,deep_blocks,22,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,duplicate_action_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.0,0.0,0.0,39,39,0,1,1,deep_blocks,24,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,evidence_acc,1,fraction,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,0.5867269984917044,0.5867269984917044,0.5867269984917044,39,39,0,1,1,deep_blocks,26,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,feedback_attempts,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,9.743589743589745,9.743589743589745,9.743589743589745,39,39,0,1,1,deep_blocks,28,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,feedback_cost_seconds,1,seconds,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,2904.364756115545,2904.364756115545,2904.364756115545,39,39,0,1,1,deep_blocks,30,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,feedback_visible,1,count,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,9.179487179487179,9.179487179487179,9.179487179487179,39,39,0,1,1,deep_blocks,32,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
deepseek-v4-flash-0731,expgym,evidence_audit,all,all,cost_moderate,single,input_tokens,1,tokens,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0,"[2200,2201,2202]",13,13,0,13,13,13,137147.05128205128,137147.05128205128,137147.05128205128,39,39,0,1,1,deep_blocks,34,https://github.com/tiannuo-yang/LLM_ExpGym/blob/8c79111de3398d12fb36ba349d8f4266f2330200/results/deepseek-flash-0731-20260911/analysis/full_v2/by_outerseed.csv,all,document_mean_3_fixed_orders,,
