model,system,scenario,regime,strategy,item,outer_repeat,order,seed,N,cohort_id,expected,execution_complete,score_complete,status,result_path,result_sha256,result_bytes,trace_paths_json,source_job_id,api_dump_root,source_metadata,source_row,native_source_id,primary_metrics_json,archive_source_identity,snapshot_cutoff_utc
kimi-k3,poolact,tuning,cost_tight,naive,hpobench:nasbench101:A,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/result.json,98833a4a7318d051c6d1c3782573f757ddd27de498ea8787a5cf9c9471847bf3,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_3.json""]",0432553a0e1b2ebd78c9eaf6a1f04c8bb1761d338bbcf8eac402f2c3354f28ac,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/0432553a0e1b2ebd78c9eaf6a1f04c8bb1761d338bbcf8eac402f2c3354f28ac,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,cached,hpobench:nasbench101:C,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/cached/cached/result.json,563dea2ef73177904003860b69181db10ac91c80f80dae51725357abfb87128e,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/cached/cached/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/cached/cached/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/cached/cached/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/cached/cached/agents/agent_3.json""]",bd93c61bfb683e9ada84ba6e4208c47e36f19d991b9298ff83788d2c9749956c,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/bd93c61bfb683e9ada84ba6e4208c47e36f19d991b9298ff83788d2c9749956c,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:A,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/poolact/poolact/result.json,eea025be35202e84156bd4c8fda32399eaedf53178a535fe60b36aa269fbd10c,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/poolact/poolact/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/poolact/poolact/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/poolact/poolact/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/poolact/poolact/agents/agent_3.json""]",f37bf991f27c2b8150732ceaa1e862b48a7ec0859e95bcaef96fd5b119195f3d,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/f37bf991f27c2b8150732ceaa1e862b48a7ec0859e95bcaef96fd5b119195f3d,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,cached,hpobench:nasbench101:A,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/cached/cached/result.json,6590b669c39b77aa8ac620b9c53eca87b854b97c96d950aa7f6c474217f07f6c,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/cached/cached/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/cached/cached/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/cached/cached/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_A/cost_tight/cached/cached/agents/agent_3.json""]",f97aeb2a6093e4af5c2697e14f31776df23f09d52732f6dbbaab9ef5f9599895,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/f97aeb2a6093e4af5c2697e14f31776df23f09d52732f6dbbaab9ef5f9599895,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,naive,hpobench:nasbench101:B,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/naive/naive/result.json,febaea64515d8583b0f4aa541a27bd9d34e312fb5fc9f2f0e361ac111c327300,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/naive/naive/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/naive/naive/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/naive/naive/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/naive/naive/agents/agent_3.json""]",bc154ac8222ca6cb05a4af02cf164978a99b8c3c631533f78472db299f0e7406,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/bc154ac8222ca6cb05a4af02cf164978a99b8c3c631533f78472db299f0e7406,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,cached,hpobench:nasbench101:B,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/cached/cached/result.json,7ca7d2a85522197166f0f387035d0e7f50ca0cc9c7e7d9fb47ea0e22471a77a5,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/cached/cached/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/cached/cached/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/cached/cached/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/cached/cached/agents/agent_3.json""]",825f743e5ef2cf5f970f6bd05e742fe60cc230384952b5af546b8b66239dba35,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/825f743e5ef2cf5f970f6bd05e742fe60cc230384952b5af546b8b66239dba35,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:B,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/poolact/poolact/result.json,a8d9d23a723e138eca9fa4c3a1289b8d75baae403e63d4ce6dab5bf510e7af92,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/poolact/poolact/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/poolact/poolact/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/poolact/poolact/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_B/cost_tight/poolact/poolact/agents/agent_3.json""]",7883526160f5fb675b8c19e82525b9d7df3b9235b5c8240a2f6dcee65a90531b,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/7883526160f5fb675b8c19e82525b9d7df3b9235b5c8240a2f6dcee65a90531b,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,naive,hpobench:nasbench101:C,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/naive/naive/result.json,3ae1b16b7901935139cbc0240c11f028bd51faa73c546c79d64aaf56d6666746,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/naive/naive/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/naive/naive/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/naive/naive/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/naive/naive/agents/agent_3.json""]",143783267ab563efe2fc95a9b60062ff634fb132d646b94240b8639813ac7dea,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/143783267ab563efe2fc95a9b60062ff634fb132d646b94240b8639813ac7dea,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:C,0,,2200,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/poolact/poolact/result.json,93457a33bd9551e2c1f78e7c57cb6b291d9a33a34eb88c0233a3f873a5a87c5a,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/poolact/poolact/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/poolact/poolact/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/poolact/poolact/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00000/poolact/tuning/hpobench_nasbench101_C/cost_tight/poolact/poolact/agents/agent_3.json""]",d96da7c85164e6e5c4dbbf7f0b73c495ae5c903566d94ba21f984ac8c246c3f6,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/d96da7c85164e6e5c4dbbf7f0b73c495ae5c903566d94ba21f984ac8c246c3f6,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
kimi-k3,poolact,tuning,cost_tight,naive,hpobench:nasbench101:A,1,,2204,4,kimi_original,True,True,True,completed,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00001/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/result.json,c5fb1fd6b04836b61b6c4227b4b1a51c5bb01aaa6957ee9d254221e855436937,,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00001/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_0.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00001/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_1.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00001/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_2.json"",""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/results/restart-20260909-v5-kimi-k3-formal/kimi-k3/outer_00001/poolact/tuning/hpobench_nasbench101_A/cost_tight/naive/naive/agents/agent_3.json""]",f7146d15ab8475e7ac61c2afb3865dc65daca20a57b8a01330442dfff26240c2,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/dumps/restart-20260909-v5-kimi-k3-formal/f7146d15ab8475e7ac61c2afb3865dc65daca20a57b8a01330442dfff26240c2,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json,,restart-20260909-v5-kimi-k3-formal,{},kimi_original,
